,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.1587,0.05,rain,22.49,22.97,19.53,0.83,1008.3,1.89,2.35,123,0.35,10,11.693,262.5
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.2963,0.06,rain,23.33,23.93,20.61,0.85,1007.3,1.85,2.12,117,0.4,9,11.945,263.2
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.4702,0.07,rain,23.3,24.03,21.52,0.9,1006.2,1.71,1.78,107,0.44,7,13.171,264.2
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6123,0.07,rain,22.58,23.46,22.31,0.98,1005.6,1.56,1.58,99,0.48,5,13.903,264.8
4,2020-09-05 16:00:00,Partly Cloudy,partly-cloudy-day,0.6815,0.08,rain,21.69,22.75,21.69,1.0,1005.2,1.42,1.56,94,0.55,3,13.799,264.8
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.684,0.09,rain,20.54,21.72,20.54,1.0,1005.1,1.28,1.64,85,0.61,1,13.812,264.6
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.5929,0.08,rain,19.56,20.7,19.56,1.0,1005.4,1.17,1.61,72,0.58,0,14.964,264.7
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.4025,0.08,rain,18.65,19.68,18.65,1.0,1006.2,1.11,1.39,48,0.44,0,16.093,265.4
8,2020-09-05 20:00:00,Clear,clear-night,0.2127,0.07,rain,17.94,18.81,17.94,1.0,1007.4,1.09,1.15,22,0.26,0,16.093,266.0
9,2020-09-05 21:00:00,Clear,clear-night,0.1081,0.06,rain,17.24,17.95,17.24,1.0,1008.4,1.1,1.1,4,0.14,0,16.093,265.7
10,2020-09-05 22:00:00,Clear,clear-night,0.0619,0.04,rain,16.71,17.26,16.71,1.0,1008.9,1.15,1.24,358,0.09,0,16.093,263.8
11,2020-09-05 23:00:00,Clear,clear-night,0.0382,0.04,rain,16.34,16.71,16.34,1.0,1008.9,1.21,1.5,357,0.08,0,16.093,261.5
12,2020-09-06 00:00:00,Clear,clear-night,0.0285,0.03,rain,16.18,16.43,15.96,0.99,1008.9,1.28,1.71,357,0.1,0,16.093,260.4
13,2020-09-06 01:00:00,Clear,clear-night,0.0272,0.03,rain,16.14,16.31,15.45,0.96,1008.8,1.33,1.86,355,0.16,0,16.093,260.7
14,2020-09-06 02:00:00,Clear,clear-night,0.0303,0.03,rain,16.08,16.19,15.08,0.94,1008.6,1.38,1.98,355,0.23,0,16.093,261.5
15,2020-09-06 03:00:00,Clear,clear-night,0.0289,0.03,rain,15.97,16.01,14.52,0.91,1008.5,1.42,2.04,354,0.27,0,16.093,262.3
16,2020-09-06 04:00:00,Clear,clear-night,0.0222,0.02,rain,15.6,15.59,13.8,0.89,1008.4,1.46,2.04,353,0.26,0,16.093,262.9
17,2020-09-06 05:00:00,Clear,clear-night,0.0164,0.02,rain,15.29,15.29,13.4,0.89,1008.3,1.48,1.98,354,0.22,0,16.093,263.4
18,2020-09-06 06:00:00,Clear,clear-day,0.011,0.02,rain,15.25,15.25,13.47,0.89,1008.0,1.44,1.81,11,0.19,0,16.093,263.9
19,2020-09-06 07:00:00,Clear,clear-day,0.0058,0.01,rain,16.05,16.09,14.51,0.91,1008.3,1.29,1.47,47,0.15,1,16.093,264.4
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,17.47,17.67,16.18,0.92,1008.9,1.13,1.14,90,0.11,2,16.093,264.6
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,,18.91,19.23,17.37,0.91,1009.0,1.14,1.14,54,0.1,5,16.093,264.2
22,2020-09-06 10:00:00,Clear,clear-day,0.0179,0.03,rain,20.14,20.52,18.14,0.88,1008.8,1.39,1.4,67,0.09,8,16.093,262.8
23,2020-09-06 11:00:00,Clear,clear-day,0.0737,0.04,rain,21.83,22.25,18.89,0.83,1008.3,1.71,1.8,126,0.11,11,16.093,261.0
24,2020-09-06 12:00:00,Clear,clear-day,0.1778,0.06,rain,23.11,23.62,19.94,0.82,1007.1,1.89,2.07,123,0.19,11,15.53,259.9
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.3406,0.07,rain,23.68,24.32,21.02,0.85,1006.2,1.87,2.05,119,0.34,10,13.927,259.6
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.5494,0.08,rain,23.19,23.98,21.93,0.93,1005.2,1.77,1.94,111,0.51,7,12.502,259.7
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7131,0.09,rain,22.32,23.28,22.32,1.0,1004.8,1.67,1.85,103,0.65,5,11.103,259.9
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.7826,0.09,rain,21.46,22.61,21.46,1.0,1004.7,1.55,1.87,98,0.73,3,9.42,260.3
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.7813,0.09,rain,20.62,21.85,20.62,1.0,1005.0,1.43,1.9,90,0.78,1,8.152,260.9
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.7254,0.09,rain,19.69,20.89,19.69,1.0,1005.6,1.31,1.81,75,0.75,0,8.565,261.1
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.6226,0.09,rain,18.94,19.98,18.94,1.0,1006.8,1.2,1.52,50,0.61,0,12.057,260.9
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.4825,0.08,rain,18.2,19.07,18.2,1.0,1008.1,1.12,1.2,22,0.43,0,16.093,260.5
33,2020-09-06 21:00:00,Clear,clear-night,0.325,0.08,rain,17.45,18.17,17.45,1.0,1009.0,1.1,1.1,5,0.3,0,16.093,260.1
34,2020-09-06 22:00:00,Clear,clear-night,0.1545,0.06,rain,16.85,17.41,16.85,1.0,1009.4,1.17,1.19,1,0.24,0,16.093,259.7
35,2020-09-06 23:00:00,Clear,clear-night,0.042,0.05,rain,16.42,16.83,16.42,1.0,1009.8,1.28,1.4,2,0.21,0,16.093,259.3
36,2020-09-07 00:00:00,Clear,clear-night,0.0073,0.02,rain,16.18,16.46,16.18,1.0,1009.3,1.35,1.53,2,0.17,0,16.093,259.1
37,2020-09-07 01:00:00,Clear,clear-night,0.0,0.0,,16.0,16.2,15.59,0.97,1008.5,1.35,1.53,0,0.11,0,16.093,259.2
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,15.8,15.94,15.17,0.96,1008.1,1.33,1.49,358,0.05,0,16.093,259.4
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,15.68,15.75,14.69,0.94,1008.3,1.33,1.5,357,0.02,0,16.093,259.7
40,2020-09-07 04:00:00,Clear,clear-night,0.0056,0.01,rain,15.38,15.39,14.2,0.93,1008.4,1.38,1.6,352,0.01,0,16.093,260.0
41,2020-09-07 05:00:00,Clear,clear-night,0.0076,0.02,rain,15.18,15.17,14.0,0.93,1008.6,1.43,1.71,349,0.02,0,16.093,260.3
42,2020-09-07 06:00:00,Clear,clear-day,0.0086,0.02,rain,15.22,15.24,14.2,0.94,1008.8,1.43,1.73,6,0.06,0,16.093,260.7
43,2020-09-07 07:00:00,Clear,clear-day,0.0065,0.02,rain,16.09,16.24,15.27,0.95,1009.2,1.34,1.6,47,0.13,1,16.093,261.3
44,2020-09-07 08:00:00,Clear,clear-day,0.0106,0.03,rain,17.54,17.84,16.82,0.96,1009.8,1.25,1.44,95,0.21,2,16.093,261.7
45,2020-09-07 09:00:00,Clear,clear-day,0.0366,0.04,rain,18.96,19.35,17.93,0.94,1010.5,1.27,1.41,119,0.26,5,16.093,261.6
46,2020-09-07 10:00:00,Clear,clear-day,0.1132,0.06,rain,20.19,20.66,18.77,0.92,1009.7,1.46,1.61,127,0.26,8,15.583,260.6
47,2020-09-07 11:00:00,Clear,clear-day,0.2518,0.08,rain,21.81,22.32,19.53,0.87,1008.8,1.69,1.86,125,0.26,10,15.501,259.5
