,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0514,0.03,rain,24.32,24.5,17.22,0.65,1008.5,2.61,2.67,59,0.25,10,16.093,265.3
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.1529,0.06,rain,24.43,24.65,17.67,0.66,1007.4,2.71,2.8,59,0.41,9,16.093,265.7
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.3321,0.07,rain,23.77,24.04,18.04,0.7,1006.3,2.79,2.89,57,0.59,6,16.093,266.2
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.5136,0.08,rain,23.05,23.39,18.54,0.76,1005.6,2.79,2.9,57,0.69,4,14.909,266.5
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.6464,0.08,rain,22.37,22.79,19.01,0.81,1005.2,2.68,2.77,55,0.7,2,12.607,266.6
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.7218,0.09,rain,21.69,22.12,18.98,0.85,1005.0,2.53,2.57,56,0.65,1,10.963,266.6
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.6815,0.09,rain,20.92,21.33,18.6,0.87,1005.3,2.39,2.41,53,0.58,0,11.431,266.7
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.4998,0.08,rain,20.02,20.35,17.82,0.87,1006.1,2.26,2.3,40,0.45,0,14.859,267.0
8,2020-09-05 20:00:00,Clear,clear-night,0.299,0.08,rain,19.11,19.4,17.2,0.89,1007.2,2.15,2.22,19,0.31,0,16.093,267.1
9,2020-09-05 21:00:00,Clear,clear-night,0.1938,0.06,rain,18.48,18.74,16.89,0.9,1007.9,2.1,2.17,5,0.21,0,16.093,266.7
10,2020-09-05 22:00:00,Clear,clear-night,0.1571,0.05,rain,18.04,18.25,16.34,0.9,1008.2,2.11,2.16,2,0.16,0,16.093,264.9
11,2020-09-05 23:00:00,Clear,clear-night,0.1424,0.04,rain,17.78,17.91,15.79,0.88,1008.3,2.16,2.19,4,0.13,0,16.093,262.8
