,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Mostly Cloudy,partly-cloudy-day,0.3916,0.06,rain,28.13,29.92,20.2,0.62,1007.5,3.79,3.79,282,0.71,7,8.806,267.6
1,2020-09-05 13:00:00,Mostly Cloudy,partly-cloudy-day,0.6063,0.07,rain,28.4,30.38,20.54,0.62,1006.3,3.81,3.81,278,0.87,6,11.86,267.3
2,2020-09-05 14:00:00,Overcast,cloudy,0.8587,0.08,rain,27.76,29.92,21.24,0.68,1005.3,3.37,3.37,275,0.98,5,16.093,266.8
3,2020-09-05 15:00:00,Humid and Overcast,cloudy,0.9853,0.1,rain,26.92,29.36,22.67,0.78,1004.5,2.02,2.5,260,0.88,4,16.093,266.3
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8897,0.09,rain,26.5,28.91,23.49,0.84,1004.1,1.21,2.29,240,0.79,2,16.093,265.8
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7051,0.09,rain,26.27,28.38,23.21,0.83,1003.9,1.06,1.96,285,0.73,1,12.623,265.2
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5175,0.09,rain,25.79,27.26,22.79,0.84,1004.2,0.88,1.66,271,0.62,0,11.152,264.4
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3144,0.08,rain,25.24,25.98,22.49,0.85,1005.1,0.7,1.41,68,0.42,0,14.323,263.6
8,2020-09-05 20:00:00,Clear,clear-night,0.1507,0.05,rain,24.42,25.16,21.88,0.86,1006.2,0.55,1.19,77,0.19,0,16.093,262.8
9,2020-09-05 21:00:00,Clear,clear-night,0.0789,0.04,rain,23.59,24.29,21.42,0.88,1007.3,0.48,1.09,236,0.06,0,16.093,262.3
10,2020-09-05 22:00:00,Clear,clear-night,0.0777,0.05,rain,22.83,23.56,21.42,0.92,1007.7,0.5,1.15,236,0.05,0,16.093,262.6
11,2020-09-05 23:00:00,Clear,clear-night,0.105,0.07,rain,22.04,22.81,21.44,0.96,1007.6,0.56,1.28,151,0.06,0,16.093,263.0
12,2020-09-06 00:00:00,Clear,clear-night,0.1151,0.07,rain,21.23,22.01,21.16,1.0,1007.4,0.59,1.35,102,0.09,0,16.093,263.1
13,2020-09-06 01:00:00,Clear,clear-night,0.0977,0.08,rain,20.56,21.3,20.56,1.0,1007.5,0.6,1.33,87,0.18,0,16.093,262.8
14,2020-09-06 02:00:00,Clear,clear-night,0.0927,0.07,rain,19.98,20.7,19.98,1.0,1007.3,0.6,1.29,74,0.3,0,16.093,262.2
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0942,0.06,rain,19.51,20.21,19.51,1.0,1007.1,0.62,1.29,65,0.36,0,16.093,261.8
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0764,0.05,rain,18.94,19.61,18.94,1.0,1007.2,0.66,1.36,66,0.35,0,16.093,261.2
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0589,0.05,rain,18.44,19.06,18.44,1.0,1007.4,0.7,1.42,69,0.31,0,16.093,260.7
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.052,0.04,rain,18.3,18.86,18.3,1.0,1007.7,0.7,1.4,66,0.33,0,16.093,260.6
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0442,0.03,rain,18.94,19.51,18.94,1.0,1008.2,0.61,1.22,63,0.41,1,16.093,261.3
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0438,0.03,rain,20.12,20.77,19.95,0.99,1008.9,0.53,1.04,148,0.51,2,16.093,262.0
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0909,0.04,rain,21.61,22.3,20.69,0.94,1008.9,0.56,1.03,178,0.55,4,16.093,262.4
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.2622,0.06,rain,23.28,23.92,21.09,0.88,1008.0,0.78,1.26,209,0.51,7,16.093,262.2
23,2020-09-06 11:00:00,Partly Cloudy,partly-cloudy-day,0.5846,0.07,rain,25.21,26.07,21.35,0.79,1007.1,1.05,1.58,235,0.43,9,14.185,261.9
24,2020-09-06 12:00:00,Partly Cloudy,partly-cloudy-day,0.9327,0.08,rain,26.69,28.71,21.87,0.75,1006.3,1.26,1.86,248,0.4,9,9.975,261.7
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2381,0.09,rain,27.4,30.17,22.77,0.76,1005.4,1.41,2.11,245,0.43,9,7.178,261.7
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.5475,0.11,rain,27.34,30.56,23.68,0.8,1004.5,1.49,2.3,239,0.47,7,5.093,261.6
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.7267,0.11,rain,27.02,30.37,24.31,0.85,1004.0,1.46,2.34,236,0.52,5,4.041,261.4
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.6648,0.12,rain,26.65,30.13,25.02,0.91,1004.0,1.29,2.13,238,0.56,2,4.186,260.9
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.5116,0.12,rain,26.37,29.23,25.34,0.94,1004.2,1.05,1.84,239,0.6,1,5.152,260.3
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3773,0.12,rain,25.9,27.84,25.01,0.95,1004.8,0.87,1.67,236,0.63,0,6.382,260.1
31,2020-09-06 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.2483,0.11,rain,25.38,26.41,24.69,0.96,1005.8,0.76,1.65,226,0.66,0,7.77,260.4
32,2020-09-06 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.118,0.11,rain,24.65,25.7,24.1,0.97,1007.1,0.66,1.69,238,0.68,0,9.534,260.8
33,2020-09-06 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.9946,0.12,rain,23.88,24.89,23.56,0.98,1007.9,0.59,1.64,302,0.67,0,11.824,260.9
34,2020-09-06 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.8907,0.15,rain,23.11,24.11,23.11,1.0,1008.2,0.57,1.47,330,0.62,0,14.926,260.3
35,2020-09-06 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.8495,0.2,rain,22.34,23.29,22.34,1.0,1008.3,0.58,1.27,17,0.55,0,16.093,259.6
36,2020-09-07 00:00:00,Partly Cloudy,partly-cloudy-night,0.7517,0.22,rain,21.49,22.4,21.49,1.0,1008.3,0.57,1.13,41,0.47,0,16.093,259.3
37,2020-09-07 01:00:00,Partly Cloudy,partly-cloudy-night,0.5015,0.17,rain,20.75,21.59,20.75,1.0,1008.1,0.54,1.07,54,0.36,0,16.093,259.4
38,2020-09-07 02:00:00,Clear,clear-night,0.297,0.12,rain,20.1,20.9,20.1,1.0,1007.9,0.5,1.04,73,0.26,0,16.093,259.9
39,2020-09-07 03:00:00,Clear,clear-night,0.2175,0.1,rain,19.55,20.32,19.55,1.0,1007.8,0.5,1.03,94,0.22,0,16.093,260.3
40,2020-09-07 04:00:00,Clear,clear-night,0.1793,0.1,rain,18.9,19.64,18.9,1.0,1007.8,0.53,1.03,100,0.24,0,16.093,260.9
41,2020-09-07 05:00:00,Clear,clear-night,0.1683,0.1,rain,18.33,19.03,18.33,1.0,1007.9,0.57,1.06,86,0.3,0,16.093,261.7
42,2020-09-07 06:00:00,Partly Cloudy,partly-cloudy-day,0.186,0.09,rain,18.14,18.73,18.14,1.0,1008.2,0.61,1.11,87,0.33,0,16.093,262.2
43,2020-09-07 07:00:00,Partly Cloudy,partly-cloudy-day,0.2376,0.09,rain,18.62,19.18,18.62,1.0,1008.6,0.61,1.16,111,0.34,1,15.636,262.6
44,2020-09-07 08:00:00,Partly Cloudy,partly-cloudy-day,0.3324,0.09,rain,19.6,20.2,19.48,0.99,1009.1,0.64,1.25,145,0.34,2,13.235,262.7
45,2020-09-07 09:00:00,Partly Cloudy,partly-cloudy-day,0.433,0.09,rain,20.91,21.57,20.28,0.96,1009.2,0.73,1.42,170,0.33,5,11.512,262.3
46,2020-09-07 10:00:00,Clear,clear-day,0.5149,0.09,rain,22.49,23.2,21.14,0.92,1008.8,0.91,1.7,176,0.3,8,10.571,261.0
47,2020-09-07 11:00:00,Clear,clear-day,0.6202,0.09,rain,24.39,25.1,22.05,0.87,1008.1,1.12,2.01,221,0.28,10,10.195,259.4
48,2020-09-07 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7615,0.09,rain,26.1,27.35,23.11,0.84,1007.4,1.3,2.25,229,0.34,10,10.634,258.5
