,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.4298,0.06,rain,27.27,29.14,20.69,0.67,1007.4,1.5,1.95,276,0.34,10,11.126,267.6
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.6505,0.07,rain,27.83,29.95,21.09,0.67,1006.3,1.6,2.21,272,0.52,8,15.043,267.3
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.8924,0.08,rain,27.43,29.6,21.47,0.7,1005.3,1.62,2.4,267,0.72,6,16.093,267.0
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,1.0009,0.1,rain,26.62,28.54,21.69,0.74,1004.5,1.5,2.42,255,0.81,4,16.093,266.6
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.886,0.09,rain,25.95,27.38,21.9,0.78,1004.1,1.31,2.24,242,0.79,2,16.093,266.1
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.6786,0.08,rain,25.37,26.0,21.76,0.8,1004.0,1.12,1.94,297,0.71,1,10.073,265.4
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.4782,0.08,rain,24.3,24.97,21.38,0.84,1004.2,0.94,1.66,285,0.58,0,7.902,264.5
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.2808,0.07,rain,23.21,23.9,21.19,0.88,1005.1,0.77,1.41,34,0.38,0,12.021,263.5
8,2020-09-05 20:00:00,Clear,clear-night,0.1283,0.04,rain,21.86,22.53,20.72,0.93,1006.4,0.61,1.18,110,0.17,0,16.093,262.5
9,2020-09-05 21:00:00,Clear,clear-night,0.0605,0.03,rain,20.73,21.38,20.14,0.96,1007.5,0.53,1.11,212,0.04,0,16.093,261.9
10,2020-09-05 22:00:00,Clear,clear-night,0.0469,0.04,rain,20.28,20.95,20.13,0.99,1007.8,0.56,1.25,205,0.04,0,16.093,262.3
11,2020-09-05 23:00:00,Clear,clear-night,0.0517,0.05,rain,20.13,20.84,20.13,1.0,1007.9,0.63,1.48,151,0.05,0,16.093,263.0
12,2020-09-06 00:00:00,Clear,clear-night,0.0583,0.07,rain,19.87,20.58,19.87,1.0,1007.9,0.67,1.6,122,0.07,0,16.093,263.2
13,2020-09-06 01:00:00,Clear,clear-night,0.072,0.07,rain,19.52,20.21,19.52,1.0,1007.8,0.67,1.58,105,0.18,0,16.093,262.9
14,2020-09-06 02:00:00,Clear,clear-night,0.0957,0.07,rain,19.25,19.9,19.25,1.0,1007.4,0.67,1.52,89,0.31,0,16.093,262.2
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.1077,0.06,rain,19.08,19.68,19.08,1.0,1007.0,0.69,1.5,78,0.38,0,16.093,261.7
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0934,0.05,rain,18.8,19.33,18.68,0.99,1007.3,0.74,1.56,79,0.37,0,16.093,261.1
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0771,0.05,rain,18.4,18.87,18.16,0.98,1007.5,0.79,1.62,82,0.34,0,16.093,260.6
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0682,0.05,rain,18.3,18.73,17.86,0.97,1007.8,0.77,1.56,76,0.37,0,16.093,260.5
