,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.417,0.09,rain,27.3,34.49,27.3,1.0,1007.2,1.71,2.36,204,0.76,7,13.208,265.8
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5902,0.11,rain,26.86,33.66,26.86,1.0,1006.3,1.65,2.55,212,0.71,7,13.714,265.2
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7707,0.13,rain,25.9,28.61,25.9,1.0,1005.4,1.46,2.59,216,0.67,6,15.065,264.5
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8484,0.14,rain,24.98,24.67,24.98,1.0,1004.6,1.25,2.46,204,0.65,4,15.748,264.0
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7816,0.15,rain,24.79,25.24,24.79,1.0,1004.1,1.0,2.11,169,0.66,2,15.492,264.0
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6958,0.15,rain,24.32,26.65,24.32,1.0,1003.8,0.73,1.65,38,0.68,1,14.883,264.0
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6029,0.14,rain,23.72,25.79,23.72,1.0,1004.0,0.54,1.28,313,0.7,0,13.724,263.7
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4468,0.14,rain,23.14,25.11,23.14,1.0,1004.8,0.44,1.03,66,0.73,0,11.509,262.8
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3431,0.12,rain,22.61,24.44,22.61,1.0,1005.9,0.38,0.87,57,0.75,0,9.394,261.8
9,2020-09-05 21:00:00,Mostly Cloudy,partly-cloudy-night,0.3382,0.12,rain,22.07,23.78,22.07,1.0,1006.5,0.37,0.82,44,0.78,0,9.747,260.8
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.3689,0.12,rain,21.93,23.56,21.93,1.0,1006.6,0.43,0.95,27,0.82,0,13.665,259.9
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.4251,0.14,rain,21.86,23.38,21.86,1.0,1006.5,0.53,1.16,6,0.85,0,16.093,259.1
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.4976,0.16,rain,21.61,23.0,21.61,1.0,1006.3,0.59,1.35,350,0.83,0,16.093,258.8
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.6113,0.16,rain,21.32,22.64,21.32,1.0,1006.1,0.61,1.52,338,0.71,0,16.093,259.1
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.7332,0.15,rain,21.05,22.34,21.05,1.0,1005.8,0.63,1.66,330,0.57,0,16.093,259.7
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.7168,0.14,rain,21.01,22.29,21.01,1.0,1005.7,0.61,1.67,335,0.5,0,16.093,260.2
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.508,0.13,rain,21.06,22.35,21.06,1.0,1005.7,0.54,1.49,352,0.54,0,16.093,260.6
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.2834,0.1,rain,21.04,22.37,21.04,1.0,1005.8,0.47,1.25,18,0.62,0,16.093,261.1
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1563,0.08,rain,20.93,22.25,20.93,1.0,1006.1,0.46,1.07,53,0.72,0,16.093,261.8
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0831,0.07,rain,21.4,22.73,21.4,1.0,1006.9,0.53,0.96,103,0.83,1,16.093,262.9
20,2020-09-06 08:00:00,Humid and Overcast,cloudy,0.0442,0.05,rain,22.44,23.82,22.44,1.0,1007.9,0.64,0.92,161,0.95,2,16.093,263.9
21,2020-09-06 09:00:00,Humid and Overcast,cloudy,0.0539,0.05,rain,23.47,24.79,23.47,1.0,1008.2,0.84,1.12,198,1.0,4,16.093,264.4
22,2020-09-06 10:00:00,Humid and Overcast,cloudy,0.135,0.07,rain,24.77,26.3,24.77,1.0,1007.6,1.2,1.67,206,0.98,5,15.686,264.2
23,2020-09-06 11:00:00,Humid and Overcast,cloudy,0.3032,0.07,rain,26.36,29.68,26.36,1.0,1007.0,1.58,2.32,200,0.94,6,8.792,263.7
24,2020-09-06 12:00:00,Humid and Overcast,cloudy,0.5181,0.08,rain,27.34,33.61,26.88,0.97,1006.2,1.8,2.7,198,0.9,6,4.655,262.8
