,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.247,0.06,rain,24.62,25.64,23.9,0.96,1007.4,1.65,2.24,216,0.56,8,13.974,267.5
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3687,0.07,rain,24.64,25.74,24.44,0.99,1006.4,1.67,2.46,218,0.7,7,15.285,266.8
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5355,0.08,rain,24.16,25.41,24.16,1.0,1005.3,1.58,2.6,221,0.86,5,16.093,266.0
3,2020-09-05 15:00:00,Humid and Overcast,cloudy,0.6303,0.09,rain,23.6,25.0,23.6,1.0,1004.6,1.42,2.54,222,0.94,4,16.093,265.4
4,2020-09-05 16:00:00,Humid and Overcast,cloudy,0.5773,0.11,rain,23.22,24.75,23.22,1.0,1004.1,1.2,2.25,228,0.95,2,16.093,265.1
5,2020-09-05 17:00:00,Humid and Overcast,cloudy,0.4829,0.11,rain,22.77,24.34,22.77,1.0,1003.8,0.95,1.84,251,0.9,1,16.093,264.7
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.3865,0.11,rain,21.87,23.42,21.87,1.0,1004.0,0.74,1.51,231,0.79,0,16.093,264.4
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.2511,0.11,rain,20.95,22.5,20.95,1.0,1004.8,0.58,1.3,119,0.57,0,16.093,263.8
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1331,0.09,rain,20.28,21.81,20.28,1.0,1006.0,0.47,1.15,52,0.32,0,16.093,263.4
9,2020-09-05 21:00:00,Clear,clear-night,0.0949,0.07,rain,19.86,21.28,19.86,1.0,1006.9,0.43,1.09,303,0.17,0,16.093,262.9
10,2020-09-05 22:00:00,Clear,clear-night,0.1531,0.09,rain,19.51,20.81,19.51,1.0,1006.8,0.48,1.15,300,0.13,0,16.093,262.7
11,2020-09-05 23:00:00,Clear,clear-night,0.2641,0.1,rain,19.28,20.51,19.28,1.0,1006.9,0.58,1.27,335,0.13,0,16.093,262.5
12,2020-09-06 00:00:00,Clear,clear-night,0.2942,0.1,rain,19.01,20.19,19.01,1.0,1006.8,0.64,1.33,1,0.16,0,16.093,262.3
13,2020-09-06 01:00:00,Clear,clear-night,0.1857,0.09,rain,18.83,19.95,18.83,1.0,1006.7,0.65,1.29,5,0.25,0,16.093,262.1
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0954,0.08,rain,18.69,19.79,18.69,1.0,1006.8,0.65,1.23,8,0.36,0,16.093,262.0
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0689,0.07,rain,18.78,19.86,18.78,1.0,1006.7,0.66,1.23,9,0.41,0,16.093,261.8
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0464,0.05,rain,18.92,20.01,18.92,1.0,1006.7,0.68,1.33,5,0.38,0,16.093,261.5
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0309,0.04,rain,18.89,20.0,18.89,1.0,1006.8,0.7,1.45,7,0.32,0,16.093,261.2
18,2020-09-06 06:00:00,Clear,clear-day,0.0294,0.04,rain,18.78,19.86,18.78,1.0,1007.1,0.71,1.43,29,0.28,0,16.093,261.2
19,2020-09-06 07:00:00,Clear,clear-day,0.0271,0.04,rain,19.4,20.45,19.4,1.0,1007.8,0.68,1.2,68,0.27,1,16.093,261.7
20,2020-09-06 08:00:00,Clear,clear-day,0.031,0.03,rain,20.67,21.65,20.67,1.0,1008.5,0.67,0.96,146,0.27,2,16.093,262.4
21,2020-09-06 09:00:00,Clear,clear-day,0.0652,0.03,rain,21.96,22.91,21.96,1.0,1008.6,0.78,1.03,190,0.28,5,16.093,262.7
22,2020-09-06 10:00:00,Humid,clear-day,0.1797,0.05,rain,23.43,24.31,22.58,0.95,1007.8,1.09,1.45,206,0.27,8,16.093,262.5
23,2020-09-06 11:00:00,Humid,clear-day,0.3979,0.07,rain,24.9,25.73,22.71,0.88,1007.0,1.44,2.03,212,0.28,10,16.093,262.0
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6584,0.08,rain,25.57,26.46,23.24,0.87,1006.2,1.67,2.42,215,0.34,10,15.26,261.7
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9538,0.08,rain,25.33,26.43,24.65,0.96,1005.4,1.75,2.53,216,0.47,9,11.839,261.6
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3059,0.1,rain,24.45,25.89,24.45,1.0,1004.6,1.73,2.53,214,0.62,6,8.582,261.5
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.5141,0.13,rain,23.43,25.17,23.43,1.0,1004.1,1.62,2.44,213,0.72,4,6.998,261.3
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.4463,0.13,rain,22.84,24.78,22.84,1.0,1004.0,1.41,2.25,216,0.74,2,7.799,260.9
