,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3802,0.06,rain,27.28,29.76,22.28,0.74,1007.4,1.75,2.07,266,0.45,9,12.361,267.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.564,0.07,rain,27.68,30.61,22.74,0.75,1006.3,1.8,2.31,263,0.62,8,15.503,267.1
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7734,0.08,rain,27.19,30.01,23.15,0.79,1005.3,1.73,2.48,261,0.81,6,16.093,266.7
3,2020-09-05 15:00:00,Humid and Overcast,cloudy,0.8696,0.09,rain,26.44,28.8,23.46,0.84,1004.5,1.5,2.47,248,0.89,4,16.093,266.2
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7685,0.09,rain,25.96,27.72,23.8,0.88,1004.1,1.26,2.24,235,0.86,2,16.093,265.8
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5951,0.09,rain,25.51,26.38,23.7,0.9,1003.9,1.06,1.9,289,0.79,1,12.738,265.3
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4309,0.09,rain,24.56,25.49,23.33,0.93,1004.2,0.88,1.6,276,0.65,0,11.331,264.6
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2598,0.08,rain,23.54,24.48,23.02,0.97,1005.0,0.71,1.37,44,0.44,0,14.977,263.7
8,2020-09-05 20:00:00,Humid,clear-night,0.1247,0.05,rain,22.27,23.2,22.27,1.0,1006.2,0.56,1.18,100,0.2,0,16.093,262.9
9,2020-09-05 21:00:00,Clear,clear-night,0.0705,0.05,rain,21.37,22.3,21.37,1.0,1007.3,0.5,1.13,225,0.06,0,16.093,262.3
10,2020-09-05 22:00:00,Clear,clear-night,0.0842,0.06,rain,21.03,21.99,21.03,1.0,1007.5,0.54,1.25,223,0.05,0,16.093,262.5
11,2020-09-05 23:00:00,Clear,clear-night,0.1285,0.07,rain,20.91,21.88,20.91,1.0,1007.2,0.62,1.46,164,0.05,0,16.093,262.9
12,2020-09-06 00:00:00,Clear,clear-night,0.1442,0.08,rain,20.64,21.57,20.64,1.0,1007.2,0.67,1.57,113,0.08,0,16.093,263.0
13,2020-09-06 01:00:00,Clear,clear-night,0.1143,0.08,rain,20.23,21.11,20.23,1.0,1007.1,0.67,1.55,92,0.19,0,16.093,262.7
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0985,0.08,rain,19.87,20.74,19.87,1.0,1007.0,0.67,1.48,73,0.33,0,16.093,262.2
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0986,0.07,rain,19.65,20.49,19.65,1.0,1006.8,0.68,1.47,63,0.4,0,16.093,261.8
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.082,0.05,rain,19.4,20.2,19.4,1.0,1007.1,0.73,1.55,65,0.38,0,16.093,261.3
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0664,0.05,rain,19.02,19.78,19.02,1.0,1007.2,0.77,1.63,70,0.33,0,16.093,260.8
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0598,0.05,rain,18.9,19.61,18.9,1.0,1007.5,0.76,1.58,65,0.33,0,16.093,260.8
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0504,0.04,rain,19.75,20.44,19.75,1.0,1008.1,0.64,1.31,60,0.4,1,16.093,261.4
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0481,0.03,rain,21.35,22.07,20.82,0.97,1008.8,0.52,1.02,201,0.49,2,16.093,262.0
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0922,0.04,rain,23.07,23.78,21.53,0.91,1008.7,0.56,0.99,198,0.53,4,16.093,262.4
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.2526,0.06,rain,24.73,25.62,21.84,0.84,1007.9,0.86,1.28,221,0.49,7,16.093,262.3
23,2020-09-06 11:00:00,Partly Cloudy,partly-cloudy-day,0.5532,0.07,rain,26.41,28.26,22.01,0.77,1007.1,1.22,1.71,241,0.42,9,13.145,262.0
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8883,0.08,rain,27.54,30.27,22.51,0.74,1006.3,1.47,2.05,252,0.4,9,8.834,261.8
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2088,0.09,rain,27.82,31.24,23.45,0.77,1005.4,1.57,2.25,249,0.43,9,6.547,261.8
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.5451,0.11,rain,27.17,30.63,24.4,0.85,1004.6,1.58,2.38,243,0.48,7,5.161,261.8
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.7345,0.12,rain,26.27,28.9,25.07,0.93,1004.1,1.52,2.39,239,0.52,5,4.5,261.6
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.6619,0.12,rain,25.69,27.47,25.69,1.0,1004.0,1.34,2.2,241,0.56,2,4.568,261.0
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.5072,0.12,rain,25.14,26.4,25.14,1.0,1004.2,1.12,1.95,243,0.59,1,5.339,260.4
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3691,0.12,rain,24.25,25.57,24.25,1.0,1004.7,0.95,1.78,240,0.61,0,6.636,260.1
