,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3277,0.06,rain,27.22,30.09,23.05,0.78,1007.4,1.66,2.04,237,0.48,9,12.054,267.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5179,0.07,rain,27.62,31.07,23.72,0.79,1006.3,1.76,2.32,237,0.62,8,14.194,267.1
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7578,0.08,rain,27.04,30.34,24.34,0.85,1005.3,1.74,2.53,240,0.77,6,16.093,266.5
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.889,0.1,rain,26.25,28.8,24.84,0.92,1004.5,1.52,2.55,238,0.84,4,16.093,266.0
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8172,0.1,rain,25.75,27.5,25.25,0.97,1004.1,1.25,2.31,239,0.83,2,16.093,265.4
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6703,0.1,rain,25.28,26.39,25.09,0.99,1003.9,1.02,1.96,268,0.79,1,14.275,264.8
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5136,0.1,rain,24.37,25.5,24.37,1.0,1004.1,0.81,1.64,251,0.68,0,13.674,264.2
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3227,0.09,rain,23.44,24.58,23.44,1.0,1005.0,0.64,1.38,107,0.48,0,16.093,263.5
8,2020-09-05 20:00:00,Humid,clear-night,0.1618,0.07,rain,22.32,23.47,22.32,1.0,1006.1,0.5,1.16,42,0.26,0,16.093,263.0
9,2020-09-05 21:00:00,Clear,clear-night,0.0934,0.06,rain,21.47,22.6,21.47,1.0,1006.9,0.44,1.04,258,0.13,0,16.093,262.6
10,2020-09-05 22:00:00,Clear,clear-night,0.1096,0.07,rain,21.05,22.16,21.05,1.0,1007.3,0.46,1.06,266,0.1,0,16.093,262.6
11,2020-09-05 23:00:00,Clear,clear-night,0.1656,0.08,rain,20.87,21.93,20.87,1.0,1007.2,0.53,1.15,340,0.11,0,16.093,262.7
12,2020-09-06 00:00:00,Clear,clear-night,0.183,0.09,rain,20.56,21.56,20.56,1.0,1007.2,0.57,1.2,45,0.14,0,16.093,262.7
13,2020-09-06 01:00:00,Clear,clear-night,0.1327,0.08,rain,20.17,21.11,20.17,1.0,1007.1,0.58,1.17,48,0.22,0,16.093,262.4
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0937,0.07,rain,19.83,20.73,19.83,1.0,1007.1,0.58,1.14,46,0.32,0,16.093,262.1
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.081,0.06,rain,19.57,20.43,19.57,1.0,1007.0,0.6,1.15,44,0.37,0,16.093,261.7
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0597,0.05,rain,19.27,20.08,19.27,1.0,1007.1,0.62,1.22,42,0.36,0,16.093,261.2
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.042,0.04,rain,18.84,19.59,18.84,1.0,1007.2,0.65,1.3,43,0.33,0,16.093,260.8
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0373,0.04,rain,18.68,19.38,18.68,1.0,1007.5,0.66,1.3,49,0.33,0,16.093,260.8
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0329,0.03,rain,19.56,20.23,19.56,1.0,1008.1,0.62,1.16,67,0.37,1,16.093,261.4
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0352,0.03,rain,21.18,21.9,20.74,0.97,1008.8,0.59,1.03,133,0.42,2,16.093,262.1
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0786,0.04,rain,22.94,23.66,21.54,0.92,1008.8,0.65,1.08,173,0.44,5,16.093,262.5
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.2325,0.05,rain,24.64,25.54,22.0,0.85,1007.9,0.88,1.36,199,0.41,7,16.093,262.3
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5235,0.07,rain,26.36,28.26,22.33,0.79,1007.1,1.14,1.75,215,0.37,9,16.093,261.9
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8397,0.08,rain,27.54,30.54,23.02,0.76,1006.3,1.35,2.05,224,0.38,10,13.033,261.6
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1246,0.09,rain,27.85,31.74,24.09,0.8,1005.4,1.49,2.25,226,0.45,9,9.661,261.5
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.4261,0.1,rain,27.18,31.14,25.12,0.89,1004.6,1.57,2.39,224,0.54,7,6.662,261.4
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.6057,0.11,rain,26.26,29.09,25.84,0.98,1004.1,1.53,2.38,223,0.6,5,5.244,261.2
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.5482,0.12,rain,25.62,27.39,25.62,1.0,1004.0,1.34,2.17,225,0.64,2,5.968,260.7
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.4045,0.13,rain,25.02,26.42,25.02,1.0,1004.2,1.08,1.89,225,0.66,1,7.596,260.3
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.2879,0.12,rain,24.15,25.62,24.15,1.0,1004.7,0.87,1.68,219,0.68,0,8.438,260.1
