,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2665,0.06,rain,25.24,26.14,23.27,0.89,1007.4,1.56,2.19,212,0.52,9,13.305,267.5
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4197,0.07,rain,25.31,26.29,23.88,0.92,1006.4,1.63,2.43,216,0.66,7,14.536,266.9
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6268,0.08,rain,24.71,25.85,24.71,1.0,1005.3,1.6,2.59,223,0.81,6,16.093,266.2
3,2020-09-05 15:00:00,Humid and Overcast,cloudy,0.7464,0.1,rain,24.0,25.31,24.0,1.0,1004.6,1.47,2.57,227,0.89,4,16.093,265.5
4,2020-09-05 16:00:00,Humid and Overcast,cloudy,0.6923,0.11,rain,23.44,24.88,23.44,1.0,1004.1,1.24,2.31,232,0.9,2,16.093,265.0
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5838,0.11,rain,22.87,24.34,22.87,1.0,1003.9,0.98,1.93,252,0.86,1,15.724,264.5
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.4659,0.11,rain,21.92,23.36,21.92,1.0,1004.1,0.76,1.6,232,0.75,0,15.917,264.1
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.3022,0.1,rain,21.0,22.42,21.0,1.0,1004.9,0.58,1.34,121,0.55,0,16.093,263.6
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1582,0.08,rain,20.29,21.72,20.29,1.0,1006.0,0.45,1.12,31,0.33,0,16.093,263.2
9,2020-09-05 21:00:00,Clear,clear-night,0.1017,0.07,rain,19.82,21.16,19.82,1.0,1007.0,0.41,1.01,278,0.18,0,16.093,262.9
10,2020-09-05 22:00:00,Clear,clear-night,0.1405,0.08,rain,19.41,20.64,19.41,1.0,1007.1,0.45,1.03,284,0.15,0,16.093,262.7
11,2020-09-05 23:00:00,Clear,clear-night,0.2299,0.09,rain,19.12,20.3,19.12,1.0,1007.0,0.53,1.13,333,0.15,0,16.093,262.5
12,2020-09-06 00:00:00,Clear,clear-night,0.2565,0.1,rain,18.78,19.89,18.78,1.0,1007.0,0.59,1.18,7,0.18,0,16.093,262.3
13,2020-09-06 01:00:00,Clear,clear-night,0.1717,0.09,rain,18.58,19.63,18.58,1.0,1006.9,0.59,1.15,14,0.26,0,16.093,262.1
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0981,0.08,rain,18.47,19.47,18.47,1.0,1006.9,0.59,1.12,20,0.36,0,16.093,261.9
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0721,0.07,rain,18.58,19.55,18.58,1.0,1006.8,0.6,1.12,21,0.41,0,16.093,261.7
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0483,0.05,rain,18.69,19.65,18.69,1.0,1006.8,0.62,1.21,17,0.39,0,16.093,261.3
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0314,0.04,rain,18.57,19.54,18.57,1.0,1007.0,0.65,1.3,17,0.35,0,16.093,261.0
