,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.3736,0.06,rain,27.63,30.05,21.82,0.71,1007.4,2.31,2.31,272,0.53,9,11.25,267.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5684,0.07,rain,27.99,30.8,22.29,0.71,1006.3,2.37,2.37,268,0.69,7,14.181,267.2
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7972,0.08,rain,27.43,30.23,22.81,0.76,1005.3,2.2,2.48,265,0.85,5,16.093,266.7
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9097,0.1,rain,26.65,29.2,23.49,0.83,1004.5,1.65,2.49,251,0.87,4,16.093,266.2
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8161,0.1,rain,26.2,28.45,24.02,0.88,1004.1,1.24,2.27,237,0.83,2,16.093,265.7
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6442,0.09,rain,25.81,27.52,23.88,0.89,1003.9,1.05,1.93,284,0.77,1,13.018,265.2
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.474,0.09,rain,25.0,25.87,23.46,0.91,1004.2,0.87,1.63,270,0.65,0,11.743,264.5
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.289,0.08,rain,24.11,25.03,23.1,0.94,1005.0,0.69,1.39,62,0.44,0,15.02,263.6
8,2020-09-05 20:00:00,Humid,clear-night,0.1399,0.06,rain,22.98,23.88,22.6,0.98,1006.2,0.55,1.18,86,0.21,0,16.093,262.9
9,2020-09-05 21:00:00,Clear,clear-night,0.0775,0.05,rain,22.12,23.02,22.12,1.0,1007.3,0.48,1.1,235,0.07,0,16.093,262.4
10,2020-09-05 22:00:00,Clear,clear-night,0.0871,0.06,rain,21.64,22.56,21.64,1.0,1007.5,0.51,1.18,235,0.06,0,16.093,262.6
11,2020-09-05 23:00:00,Clear,clear-night,0.1284,0.07,rain,21.3,22.23,21.3,1.0,1007.2,0.58,1.34,160,0.06,0,16.093,262.9
12,2020-09-06 00:00:00,Clear,clear-night,0.1426,0.08,rain,20.86,21.76,20.86,1.0,1007.2,0.63,1.43,100,0.09,0,16.093,263.0
13,2020-09-06 01:00:00,Clear,clear-night,0.1125,0.08,rain,20.38,21.24,20.38,1.0,1007.2,0.63,1.4,83,0.19,0,16.093,262.7
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0955,0.07,rain,19.96,20.8,19.96,1.0,1007.1,0.63,1.36,69,0.31,0,16.093,262.2
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0937,0.07,rain,19.65,20.46,19.65,1.0,1007.0,0.65,1.35,60,0.38,0,16.093,261.8
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0758,0.05,rain,19.29,20.06,19.29,1.0,1007.1,0.69,1.42,61,0.36,0,16.093,261.3
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0592,0.05,rain,18.86,19.57,18.86,1.0,1007.3,0.72,1.5,65,0.32,0,16.093,260.8
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0529,0.04,rain,18.7,19.36,18.7,1.0,1007.5,0.72,1.47,63,0.33,0,16.093,260.8
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.045,0.04,rain,19.52,20.16,19.52,1.0,1008.1,0.63,1.25,62,0.4,1,16.093,261.3
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0442,0.03,rain,21.03,21.72,20.56,0.97,1008.8,0.54,1.03,164,0.49,2,16.093,262.0
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0891,0.04,rain,22.71,23.44,21.32,0.92,1008.8,0.58,1.02,187,0.52,5,16.093,262.4
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.2515,0.06,rain,24.4,25.07,21.71,0.85,1008.0,0.84,1.29,213,0.48,7,16.093,262.3
23,2020-09-06 11:00:00,Partly Cloudy,partly-cloudy-day,0.5568,0.07,rain,26.16,27.19,21.95,0.78,1007.1,1.15,1.67,234,0.42,9,14.174,261.9
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8922,0.08,rain,27.41,30.13,22.5,0.75,1006.3,1.38,1.99,245,0.4,10,10.022,261.7
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2013,0.09,rain,27.83,31.25,23.46,0.77,1005.4,1.5,2.2,244,0.43,9,7.361,261.7
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.523,0.11,rain,27.33,31.01,24.37,0.84,1004.6,1.55,2.36,238,0.49,7,5.436,261.7
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.7077,0.12,rain,26.59,29.95,25.0,0.91,1004.1,1.5,2.37,235,0.54,5,4.496,261.5
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.6414,0.12,rain,26.07,28.52,25.71,0.98,1004.0,1.32,2.17,237,0.57,2,4.705,260.9
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.4894,0.12,rain,25.58,27.3,25.58,1.0,1004.2,1.09,1.9,238,0.61,1,5.691,260.3
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3569,0.12,rain,24.81,26.05,24.81,1.0,1004.7,0.91,1.72,235,0.63,0,6.873,260.1
31,2020-09-06 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.2237,0.12,rain,24.12,25.4,24.12,1.0,1005.8,0.78,1.68,227,0.64,0,8.144,260.5
32,2020-09-06 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.097,0.12,rain,23.26,24.5,23.26,1.0,1007.1,0.66,1.68,248,0.65,0,9.729,260.9
33,2020-09-06 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.9824,0.12,rain,22.49,23.69,22.49,1.0,1007.9,0.58,1.62,295,0.62,0,11.745,261.0
34,2020-09-06 22:00:00,Partly Cloudy,partly-cloudy-night,0.8807,0.15,rain,21.92,23.07,21.92,1.0,1008.2,0.54,1.45,328,0.57,0,14.395,260.4
