,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3403,0.06,rain,27.41,30.19,22.72,0.76,1007.4,1.88,2.03,252,0.49,9,11.761,267.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5322,0.07,rain,27.79,31.11,23.32,0.77,1006.3,1.96,2.31,249,0.65,7,14.127,267.1
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7696,0.08,rain,27.21,30.42,23.88,0.82,1005.3,1.89,2.52,249,0.8,6,16.093,266.6
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8962,0.1,rain,26.43,29.09,24.44,0.89,1004.5,1.56,2.53,242,0.85,4,16.093,266.0
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8187,0.1,rain,25.97,28.09,24.94,0.94,1004.1,1.25,2.3,239,0.83,2,16.093,265.5
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6648,0.1,rain,25.53,27.07,24.81,0.96,1003.9,1.03,1.95,272,0.78,1,13.969,264.9
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5039,0.09,rain,24.66,25.7,24.31,0.98,1004.1,0.83,1.63,256,0.67,0,13.178,264.3
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3141,0.09,rain,23.74,24.81,23.74,1.0,1005.0,0.65,1.38,97,0.47,0,15.905,263.6
8,2020-09-05 20:00:00,Humid,clear-night,0.156,0.07,rain,22.62,23.69,22.62,1.0,1006.1,0.51,1.16,54,0.25,0,16.093,263.0
9,2020-09-05 21:00:00,Clear,clear-night,0.0891,0.06,rain,21.78,22.84,21.78,1.0,1007.0,0.45,1.06,252,0.11,0,16.093,262.6
10,2020-09-05 22:00:00,Clear,clear-night,0.1035,0.06,rain,21.32,22.37,21.32,1.0,1007.4,0.47,1.09,259,0.09,0,16.093,262.6
11,2020-09-05 23:00:00,Clear,clear-night,0.1554,0.08,rain,21.06,22.09,21.06,1.0,1007.2,0.54,1.2,342,0.09,0,16.093,262.8
12,2020-09-06 00:00:00,Clear,clear-night,0.1717,0.08,rain,20.71,21.68,20.71,1.0,1007.2,0.58,1.25,60,0.12,0,16.093,262.8
13,2020-09-06 01:00:00,Clear,clear-night,0.1267,0.08,rain,20.3,21.21,20.3,1.0,1007.1,0.59,1.23,58,0.21,0,16.093,262.5
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0938,0.07,rain,19.93,20.82,19.93,1.0,1007.1,0.59,1.2,52,0.32,0,16.093,262.1
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0842,0.06,rain,19.64,20.48,19.64,1.0,1007.0,0.61,1.2,48,0.37,0,16.093,261.7
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0638,0.05,rain,19.31,20.1,19.31,1.0,1007.1,0.64,1.27,47,0.36,0,16.093,261.3
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0464,0.04,rain,18.87,19.61,18.87,1.0,1007.2,0.67,1.35,49,0.33,0,16.093,260.8
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0412,0.04,rain,18.69,19.38,18.69,1.0,1007.5,0.68,1.34,53,0.32,0,16.093,260.8
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0359,0.03,rain,19.56,20.23,19.56,1.0,1008.1,0.62,1.19,66,0.38,1,16.093,261.4
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0375,0.03,rain,21.16,21.87,20.7,0.97,1008.8,0.57,1.03,137,0.44,2,16.093,262.1
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0812,0.04,rain,22.91,23.63,21.52,0.92,1008.8,0.64,1.06,176,0.46,5,16.093,262.5
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.2373,0.05,rain,24.62,25.52,21.97,0.85,1007.9,0.87,1.34,202,0.43,7,16.093,262.3
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.532,0.07,rain,26.36,28.24,22.29,0.78,1007.1,1.14,1.72,220,0.38,9,16.06,261.9
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8533,0.08,rain,27.57,30.56,22.95,0.76,1006.3,1.35,2.03,229,0.38,10,12.268,261.6
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.145,0.09,rain,27.9,31.75,23.99,0.79,1005.4,1.49,2.23,230,0.44,9,9.073,261.6
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.4528,0.1,rain,27.28,31.18,24.95,0.87,1004.6,1.56,2.37,228,0.52,7,6.34,261.5
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.6344,0.11,rain,26.42,29.49,25.61,0.95,1004.1,1.52,2.38,226,0.59,5,5.029,261.3
