,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2861,0.06,rain,25.62,26.7,23.41,0.88,1007.4,1.62,2.18,226,0.51,9,13.401,267.5
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4317,0.07,rain,25.77,27.39,23.94,0.9,1006.3,1.66,2.41,228,0.67,7,15.188,266.9
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6196,0.08,rain,25.34,26.39,24.71,0.96,1005.3,1.6,2.56,231,0.83,6,16.093,266.2
3,2020-09-05 15:00:00,Humid and Overcast,cloudy,0.7212,0.09,rain,24.7,25.93,24.7,1.0,1004.6,1.45,2.53,230,0.91,4,16.093,265.7
4,2020-09-05 16:00:00,Humid and Overcast,cloudy,0.6557,0.1,rain,24.17,25.52,24.17,1.0,1004.1,1.22,2.26,231,0.91,2,16.093,265.2
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5374,0.1,rain,23.65,25.03,23.65,1.0,1003.9,0.98,1.87,262,0.86,1,15.572,264.8
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4178,0.11,rain,22.75,24.1,22.75,1.0,1004.1,0.78,1.55,244,0.74,0,15.366,264.4
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.2658,0.1,rain,21.88,23.23,21.88,1.0,1004.9,0.62,1.33,103,0.53,0,16.093,263.7
8,2020-09-05 20:00:00,Clear,clear-night,0.1369,0.08,rain,21.03,22.39,21.03,1.0,1006.0,0.49,1.16,61,0.29,0,16.093,263.2
9,2020-09-05 21:00:00,Clear,clear-night,0.0902,0.06,rain,20.34,21.62,20.34,1.0,1007.0,0.45,1.08,276,0.14,0,16.093,262.8
10,2020-09-05 22:00:00,Clear,clear-night,0.1324,0.08,rain,20.07,21.26,20.07,1.0,1007.0,0.49,1.15,280,0.11,0,16.093,262.6
11,2020-09-05 23:00:00,Clear,clear-night,0.221,0.09,rain,19.95,21.1,19.95,1.0,1007.0,0.58,1.28,333,0.11,0,16.093,262.6
12,2020-09-06 00:00:00,Clear,clear-night,0.2463,0.1,rain,19.59,20.68,19.59,1.0,1006.9,0.63,1.35,21,0.14,0,16.093,262.5
