,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2527,0.06,rain,24.41,25.34,23.29,0.94,1007.4,1.6,2.23,213,0.54,9,13.684,267.5
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3896,0.07,rain,24.46,25.48,23.9,0.97,1006.4,1.65,2.46,216,0.68,7,14.847,266.9
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5774,0.08,rain,23.88,25.07,23.88,1.0,1005.3,1.6,2.6,221,0.84,6,16.093,266.1
3,2020-09-05 15:00:00,Humid and Overcast,cloudy,0.6858,0.09,rain,23.19,24.54,23.19,1.0,1004.6,1.45,2.56,224,0.92,4,16.093,265.5
4,2020-09-05 16:00:00,Humid and Overcast,cloudy,0.6337,0.11,rain,22.65,24.14,22.65,1.0,1004.1,1.22,2.28,230,0.92,2,16.093,265.0
5,2020-09-05 17:00:00,Overcast,cloudy,0.5347,0.11,rain,22.12,23.64,22.12,1.0,1003.8,0.97,1.89,250,0.88,1,16.093,264.6
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.4294,0.11,rain,21.26,22.76,21.26,1.0,1004.1,0.75,1.56,230,0.77,0,16.093,264.2
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.2797,0.1,rain,20.36,21.85,20.36,1.0,1004.9,0.58,1.32,121,0.57,0,16.093,263.7
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1479,0.08,rain,19.59,21.06,19.59,1.0,1006.0,0.45,1.13,39,0.33,0,16.093,263.3
9,2020-09-05 21:00:00,Clear,clear-night,0.0998,0.07,rain,19.19,20.54,19.19,1.0,1007.0,0.41,1.03,289,0.18,0,16.093,262.9
