,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.1364,0.04,rain,28.94,30.17,18.89,0.55,1008.0,1.51,1.75,273,0.3,10,16.093,267.0
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.1509,0.04,rain,29.36,30.75,19.18,0.54,1006.9,1.55,1.93,272,0.4,9,16.093,267.2
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.1637,0.04,rain,29.17,30.92,19.91,0.57,1005.9,1.57,2.09,271,0.51,7,16.093,267.5
3,2020-09-05 15:00:00,Partly Cloudy,partly-cloudy-day,0.2178,0.06,rain,28.65,30.71,20.61,0.62,1005.0,1.54,2.07,272,0.57,5,16.093,267.6
4,2020-09-05 16:00:00,Partly Cloudy,partly-cloudy-day,0.3607,0.07,rain,28.19,30.47,21.2,0.66,1004.6,1.43,1.8,290,0.56,2,12.552,267.7
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.567,0.07,rain,27.67,29.87,21.33,0.68,1004.4,1.32,1.48,326,0.52,1,8.359,267.7
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.6882,0.08,rain,26.74,28.3,20.92,0.7,1004.7,1.24,1.36,358,0.46,0,6.772,267.4
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.6335,0.09,rain,25.37,25.77,20.15,0.73,1005.6,1.18,1.38,17,0.37,0,9.284,266.7
8,2020-09-05 20:00:00,Clear,clear-night,0.5391,0.08,rain,23.77,24.16,19.08,0.75,1006.7,1.15,1.48,11,0.27,0,13.134,265.8
9,2020-09-05 21:00:00,Clear,clear-night,0.4933,0.07,rain,22.54,22.87,18.37,0.77,1007.5,1.14,1.53,3,0.2,0,15.407,265.0
10,2020-09-05 22:00:00,Clear,clear-night,0.4686,0.07,rain,21.79,22.1,18.03,0.79,1007.9,1.19,1.5,7,0.18,0,15.403,263.9
11,2020-09-05 23:00:00,Clear,clear-night,0.4492,0.07,rain,21.12,21.38,17.51,0.8,1008.0,1.25,1.46,3,0.19,0,14.69,262.9
12,2020-09-06 00:00:00,Clear,clear-night,0.4768,0.08,rain,20.63,20.84,17.08,0.8,1008.0,1.29,1.45,2,0.27,0,14.254,262.5
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.5987,0.08,rain,20.32,20.49,16.69,0.8,1007.9,1.32,1.5,1,0.45,0,14.104,263.1
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.7445,0.08,rain,20.18,20.31,16.41,0.79,1007.6,1.33,1.56,2,0.66,0,14.192,264.1
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.7392,0.08,rain,19.97,20.06,15.97,0.78,1007.5,1.31,1.6,3,0.75,0,15.301,264.6
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.5301,0.07,rain,19.49,19.52,15.42,0.77,1007.5,1.26,1.55,3,0.69,0,16.093,264.4
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.3077,0.06,rain,19.05,19.05,15.03,0.77,1007.6,1.19,1.45,5,0.56,0,16.093,264.1
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.1863,0.04,rain,18.9,18.9,14.79,0.77,1007.8,1.12,1.34,17,0.42,0,16.093,264.0
19,2020-09-06 07:00:00,Clear,clear-day,0.1254,0.04,rain,19.77,19.79,15.27,0.75,1008.3,1.05,1.22,43,0.29,1,16.093,264.8
20,2020-09-06 08:00:00,Clear,clear-day,0.09,0.03,rain,21.41,21.52,16.45,0.73,1008.8,0.98,1.12,51,0.15,2,16.093,265.6
21,2020-09-06 09:00:00,Clear,clear-day,0.095,0.04,rain,23.16,23.36,17.51,0.71,1008.9,0.99,1.14,317,0.06,5,16.093,265.5
22,2020-09-06 10:00:00,Clear,clear-day,0.1653,0.04,rain,25.08,25.53,18.36,0.66,1008.4,1.08,1.33,290,0.05,8,16.093,264.3
23,2020-09-06 11:00:00,Clear,clear-day,0.3097,0.05,rain,27.24,28.53,19.08,0.61,1007.6,1.2,1.6,262,0.07,10,12.791,262.7
24,2020-09-06 12:00:00,Clear,clear-day,0.4924,0.06,rain,28.97,30.53,19.58,0.57,1006.7,1.29,1.86,262,0.16,11,9.201,261.8
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.7,0.07,rain,29.87,31.65,19.82,0.55,1005.7,1.35,2.01,261,0.34,9,6.494,261.8
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.9197,0.09,rain,30.16,32.32,20.37,0.56,1004.8,1.39,2.1,270,0.55,7,4.589,262.1
27,2020-09-06 15:00:00,Mostly Cloudy,partly-cloudy-day,1.0453,0.09,rain,29.82,32.36,21.02,0.59,1004.2,1.37,2.03,262,0.7,4,4.597,262.3
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,1.0139,0.09,rain,29.21,32.06,21.68,0.64,1004.2,1.26,1.75,267,0.79,2,7.204,262.5
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.9032,0.09,rain,28.4,31.25,22.07,0.69,1004.4,1.14,1.41,296,0.84,1,10.997,262.6
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.8019,0.1,rain,27.24,29.5,21.85,0.72,1005.1,1.09,1.27,340,0.82,0,13.718,262.6
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.7339,0.1,rain,25.72,27.05,21.27,0.76,1006.2,1.11,1.36,18,0.71,0,15.225,262.1
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.669,0.1,rain,24.07,24.55,20.39,0.8,1007.6,1.17,1.51,17,0.56,0,16.093,261.6
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.5722,0.09,rain,22.85,23.34,19.73,0.83,1008.5,1.21,1.58,5,0.46,0,16.093,261.2
34,2020-09-06 22:00:00,Partly Cloudy,partly-cloudy-night,0.4223,0.08,rain,22.07,22.51,19.16,0.84,1008.8,1.23,1.55,3,0.44,0,16.093,260.9
35,2020-09-06 23:00:00,Partly Cloudy,partly-cloudy-night,0.2759,0.07,rain,21.37,21.73,18.4,0.83,1008.9,1.25,1.49,8,0.43,0,16.093,260.8
36,2020-09-07 00:00:00,Partly Cloudy,partly-cloudy-night,0.1793,0.06,rain,20.83,21.14,17.86,0.83,1008.9,1.25,1.45,8,0.38,0,16.093,260.8
37,2020-09-07 01:00:00,Clear,clear-night,0.1173,0.05,rain,20.41,20.67,17.41,0.83,1008.7,1.24,1.44,10,0.24,0,16.093,261.0
38,2020-09-07 02:00:00,Clear,clear-night,0.083,0.04,rain,20.12,20.34,17.05,0.83,1008.4,1.23,1.45,14,0.09,0,16.093,261.3
