,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 11:45:00,Foggy,fog,0.0641,0.04,rain,22.13,22.95,21.77,0.98,1008.6,1.3,2.02,278,0.65,8,2.242,264.1
1,2020-09-05 12:45:00,Humid and Foggy,fog,0.1181,0.05,rain,22.51,23.49,22.51,1.0,1007.6,1.28,2.09,279,0.68,7,2.284,264.4
2,2020-09-05 13:45:00,Humid and Foggy,fog,0.1872,0.05,rain,22.49,23.63,22.49,1.0,1006.4,1.27,2.1,285,0.71,6,2.798,264.8
3,2020-09-05 14:45:00,Humid and Foggy,fog,0.2597,0.06,rain,22.39,23.65,22.39,1.0,1005.6,1.27,1.99,292,0.74,5,3.092,265.0
4,2020-09-05 15:45:00,Foggy,fog,0.3455,0.06,rain,22.18,23.51,22.18,1.0,1005.1,1.26,1.65,302,0.76,3,2.022,265.3
5,2020-09-05 16:45:00,Foggy,fog,0.4312,0.07,rain,21.76,23.09,21.76,1.0,1004.9,1.23,1.23,316,0.78,1,1.273,265.5
6,2020-09-05 17:45:00,Foggy,fog,0.4382,0.08,rain,21.38,22.65,21.38,1.0,1005.1,1.23,1.23,325,0.74,0,1.967,265.4
7,2020-09-05 18:45:00,Mostly Cloudy,partly-cloudy-night,0.3088,0.07,rain,20.85,21.95,20.85,1.0,1006.0,1.3,1.3,29,0.63,0,8.486,264.8
8,2020-09-05 19:45:00,Partly Cloudy,partly-cloudy-night,0.1481,0.06,rain,20.03,20.9,20.03,1.0,1007.1,1.39,1.39,45,0.46,0,16.093,263.9
9,2020-09-05 20:45:00,Partly Cloudy,partly-cloudy-night,0.0687,0.05,rain,19.16,19.82,19.16,1.0,1008.2,1.46,1.46,24,0.32,0,16.093,263.0
10,2020-09-05 21:45:00,Clear,clear-night,0.0513,0.05,rain,18.63,19.15,18.58,1.0,1008.8,1.51,1.51,17,0.23,0,16.093,262.2
11,2020-09-05 22:45:00,Clear,clear-night,0.0554,0.05,rain,18.27,18.7,17.85,0.97,1009.0,1.52,1.52,19,0.17,0,16.093,261.5
12,2020-09-05 23:45:00,Clear,clear-night,0.0746,0.05,rain,17.86,18.24,17.46,0.98,1008.9,1.55,1.57,21,0.18,0,16.093,261.1
13,2020-09-06 00:45:00,Clear,clear-night,0.1376,0.06,rain,17.78,18.1,16.96,0.95,1008.6,1.59,1.71,18,0.3,0,16.093,261.6
14,2020-09-06 01:45:00,Partly Cloudy,partly-cloudy-night,0.2522,0.06,rain,17.78,18.03,16.55,0.93,1008.3,1.61,1.85,16,0.49,0,16.093,262.3
15,2020-09-06 02:45:00,Mostly Cloudy,partly-cloudy-night,0.3039,0.06,rain,18.13,18.3,16.19,0.88,1008.2,1.62,1.93,16,0.6,0,16.093,262.9
16,2020-09-06 03:45:00,Partly Cloudy,partly-cloudy-night,0.1962,0.06,rain,18.01,18.12,15.65,0.86,1008.2,1.55,1.84,17,0.56,0,16.093,262.5
17,2020-09-06 04:45:00,Partly Cloudy,partly-cloudy-night,0.0664,0.05,rain,17.65,17.71,15.26,0.86,1008.4,1.46,1.66,20,0.45,0,16.093,262.0
18,2020-09-06 05:45:00,Partly Cloudy,partly-cloudy-night,0.0134,0.03,rain,17.3,17.37,15.19,0.87,1008.6,1.38,1.45,26,0.34,0,16.093,261.6
19,2020-09-06 06:45:00,Clear,clear-day,0.005,0.03,rain,17.6,17.76,15.93,0.9,1008.6,1.37,1.37,47,0.24,0,16.093,262.1
20,2020-09-06 07:45:00,Clear,clear-day,0.0,0.0,,18.51,18.89,17.68,0.95,1009.1,1.38,1.38,67,0.16,2,16.093,263.0
21,2020-09-06 08:45:00,Clear,clear-day,0.0,0.0,,19.64,20.23,19.38,0.98,1009.3,1.37,1.37,337,0.11,4,16.093,263.4
22,2020-09-06 09:45:00,Clear,clear-day,0.0106,0.03,rain,20.73,21.45,20.59,0.99,1009.3,1.27,1.27,293,0.13,7,16.093,262.6
23,2020-09-06 10:45:00,Clear,clear-day,0.0552,0.04,rain,22.1,22.86,21.34,0.95,1008.5,1.14,1.2,268,0.2,9,9.979,261.2
24,2020-09-06 11:45:00,Clear,clear-day,0.1492,0.05,rain,23.6,24.36,21.82,0.9,1007.5,1.05,1.45,269,0.3,10,3.823,260.1
25,2020-09-06 12:45:00,Humid and Foggy,fog,0.3147,0.06,rain,24.68,25.48,22.45,0.87,1006.4,1.05,1.66,39,0.48,9,1.715,259.9
26,2020-09-06 13:45:00,Humid and Foggy,fog,0.558,0.07,rain,25.28,26.14,23.02,0.87,1005.4,1.1,1.84,203,0.7,6,1.653,260.0
27,2020-09-06 14:45:00,Humid and Foggy,fog,0.7344,0.07,rain,24.99,25.99,23.85,0.93,1004.7,1.11,1.84,249,0.86,4,1.912,260.1
28,2020-09-06 15:45:00,Humid and Foggy,fog,0.7205,0.07,rain,24.25,25.42,24.25,1.0,1004.6,1.05,1.52,226,0.93,3,1.271,260.5
29,2020-09-06 16:45:00,Humid and Foggy,fog,0.5846,0.08,rain,22.96,24.3,22.96,1.0,1004.8,0.95,1.03,138,0.95,1,1.577,260.8
30,2020-09-06 17:45:00,Foggy,fog,0.44,0.08,rain,22.18,23.53,22.18,1.0,1005.4,0.92,0.92,325,0.93,0,2.881,260.9
31,2020-09-06 18:45:00,Mostly Cloudy,partly-cloudy-night,0.2915,0.09,rain,21.15,22.38,21.15,1.0,1006.5,1.08,1.08,322,0.87,0,9.251,260.4
32,2020-09-06 19:45:00,Mostly Cloudy,partly-cloudy-night,0.1604,0.09,rain,20.1,21.12,20.1,1.0,1008.0,1.35,1.35,35,0.78,0,16.093,259.6
33,2020-09-06 20:45:00,Mostly Cloudy,partly-cloudy-night,0.0806,0.07,rain,19.13,19.93,19.13,1.0,1009.1,1.53,1.53,20,0.7,0,16.093,259.1
34,2020-09-06 21:45:00,Mostly Cloudy,partly-cloudy-night,0.0461,0.05,rain,18.56,19.18,18.56,1.0,1009.9,1.56,1.56,17,0.67,0,16.093,258.7
35,2020-09-06 22:45:00,Mostly Cloudy,partly-cloudy-night,0.0295,0.04,rain,18.31,18.79,18.18,0.99,1010.0,1.53,1.53,20,0.65,0,16.093,258.6
36,2020-09-06 23:45:00,Partly Cloudy,partly-cloudy-night,0.017,0.04,rain,17.94,18.35,17.64,0.98,1009.8,1.49,1.49,24,0.59,0,16.093,258.6
37,2020-09-07 00:45:00,Partly Cloudy,partly-cloudy-night,0.0056,0.03,rain,17.77,18.1,17.03,0.95,1009.3,1.49,1.49,24,0.41,0,16.093,258.7
38,2020-09-07 01:45:00,Clear,clear-night,0.0,0.0,,17.61,17.88,16.58,0.94,1008.9,1.51,1.51,26,0.17,0,16.093,259.0
39,2020-09-07 02:45:00,Clear,clear-night,0.0,0.0,,17.81,18.0,16.18,0.9,1008.7,1.54,1.54,26,0.0,0,16.093,259.2
40,2020-09-07 03:45:00,Clear,clear-night,0.0113,0.04,rain,17.67,17.81,15.74,0.88,1009.1,1.61,1.65,23,0.0,0,16.093,259.2
41,2020-09-07 04:45:00,Clear,clear-night,0.0596,0.05,rain,17.37,17.44,15.26,0.87,1009.4,1.71,1.88,20,0.0,0,16.093,259.2
42,2020-09-07 05:45:00,Clear,clear-night,0.1085,0.06,rain,17.13,17.21,15.21,0.88,1009.4,1.72,1.92,24,0.0,0,16.093,259.4
43,2020-09-07 06:45:00,Clear,clear-day,0.0891,0.07,rain,17.6,17.8,16.15,0.91,1009.7,1.53,1.54,39,0.15,0,16.093,260.0
44,2020-09-07 07:45:00,Partly Cloudy,partly-cloudy-day,0.0458,0.06,rain,18.74,19.17,18.09,0.96,1010.3,1.25,1.25,34,0.36,2,16.093,260.6
45,2020-09-07 08:45:00,Partly Cloudy,partly-cloudy-day,0.0328,0.05,rain,20.02,20.67,19.91,0.99,1010.4,1.06,1.06,326,0.54,4,16.093,261.0
46,2020-09-07 09:45:00,Mostly Cloudy,partly-cloudy-day,0.0634,0.05,rain,21.18,21.95,21.1,1.0,1010.0,1.09,1.09,132,0.64,6,14.086,260.2
47,2020-09-07 10:45:00,Mostly Cloudy,partly-cloudy-day,0.1392,0.06,rain,22.5,23.29,21.68,0.95,1009.1,1.2,1.25,204,0.7,7,8.129,259.1
48,2020-09-07 11:45:00,Mostly Cloudy,partly-cloudy-day,0.2411,0.07,rain,23.96,24.75,22.15,0.9,1008.2,1.29,1.58,243,0.76,7,4.062,258.2
