,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.2066,0.04,rain,30.99,32.61,19.37,0.5,1007.8,1.33,1.59,250,0.28,10,16.093,267.6
1,2020-09-05 13:00:00,Clear,clear-day,0.2152,0.04,rain,31.75,34.07,20.26,0.51,1006.7,1.37,1.77,254,0.29,9,16.093,267.8
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.2137,0.05,rain,31.94,34.97,21.16,0.53,1005.6,1.38,1.95,249,0.32,7,16.093,268.1
3,2020-09-05 15:00:00,Partly Cloudy,partly-cloudy-day,0.254,0.05,rain,31.75,35.44,21.94,0.56,1004.8,1.33,1.95,236,0.34,5,16.093,268.2
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3732,0.06,rain,31.68,36.1,22.74,0.59,1004.3,1.18,1.7,232,0.35,3,14.088,268.3
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5454,0.07,rain,30.85,34.99,22.69,0.62,1004.1,1.02,1.41,320,0.36,1,11.15,268.3
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6658,0.08,rain,29.64,33.08,22.31,0.65,1004.4,0.91,1.32,282,0.33,0,9.397,267.9
7,2020-09-05 19:00:00,Clear,clear-night,0.6742,0.08,rain,27.94,30.43,21.71,0.69,1005.3,0.85,1.37,310,0.26,0,9.906,266.8
8,2020-09-05 20:00:00,Clear,clear-night,0.6588,0.08,rain,26.38,27.86,21.07,0.73,1006.4,0.81,1.45,11,0.18,0,11.097,265.4
9,2020-09-05 21:00:00,Clear,clear-night,0.6566,0.07,rain,25.28,25.74,20.6,0.75,1007.3,0.81,1.48,12,0.15,0,11.516,264.4
10,2020-09-05 22:00:00,Clear,clear-night,0.6301,0.07,rain,24.52,25.04,20.31,0.77,1007.6,0.85,1.4,18,0.19,0,10.74,263.6
11,2020-09-05 23:00:00,Clear,clear-night,0.5979,0.08,rain,23.86,24.39,20.18,0.8,1007.8,0.91,1.29,18,0.27,0,9.736,263.1
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.6378,0.09,rain,23.17,23.64,19.62,0.8,1007.8,0.95,1.26,18,0.37,0,9.339,262.9
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.8169,0.09,rain,22.58,22.98,18.94,0.8,1007.7,0.99,1.36,17,0.52,0,9.669,263.5
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,1.0357,0.11,rain,22.13,22.46,18.31,0.79,1007.4,1.0,1.48,17,0.68,0,10.468,264.3
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,1.0711,0.11,rain,21.86,22.13,17.81,0.78,1007.3,0.98,1.51,18,0.73,0,11.923,264.7
