,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.0697,0.04,rain,24.15,24.71,20.48,0.8,1008.5,1.82,2.11,296,0.45,9,11.628,263.8
1,2020-09-05 13:00:00,Mostly Cloudy,partly-cloudy-day,0.1145,0.05,rain,24.32,24.98,21.27,0.83,1007.5,1.75,2.06,294,0.6,8,11.231,264.1
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.1667,0.05,rain,23.84,24.62,22.03,0.9,1006.4,1.67,1.97,296,0.76,6,11.128,264.6
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2322,0.07,rain,23.12,24.0,22.49,0.96,1005.6,1.62,1.86,299,0.85,4,10.34,264.9
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3298,0.07,rain,22.3,23.25,22.3,1.0,1005.2,1.62,1.73,309,0.85,2,8.183,265.1
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.4258,0.08,rain,21.55,22.48,21.55,1.0,1005.2,1.63,1.63,338,0.8,1,6.134,265.2
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.4159,0.08,rain,20.96,21.81,20.96,1.0,1005.5,1.64,1.64,23,0.72,0,6.863,265.1
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.2639,0.07,rain,20.28,20.98,20.28,1.0,1006.4,1.64,1.64,35,0.58,0,12.614,264.7
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1127,0.06,rain,19.61,20.15,19.08,0.97,1007.6,1.66,1.66,23,0.43,0,16.093,264.1
9,2020-09-05 21:00:00,Clear,clear-night,0.0534,0.05,rain,19.11,19.52,18.09,0.94,1008.4,1.69,1.69,6,0.31,0,16.093,263.4
10,2020-09-05 22:00:00,Clear,clear-night,0.0504,0.04,rain,18.68,19.01,17.33,0.92,1008.9,1.74,1.74,4,0.23,0,16.093,262.3
11,2020-09-05 23:00:00,Clear,clear-night,0.0641,0.04,rain,18.36,18.61,16.73,0.9,1008.9,1.81,1.81,6,0.18,0,16.093,261.3
12,2020-09-06 00:00:00,Clear,clear-night,0.0935,0.05,rain,18.1,18.27,16.18,0.89,1008.8,1.87,1.88,8,0.21,0,16.093,260.8
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.1626,0.05,rain,17.89,17.97,15.51,0.86,1008.6,1.93,1.98,6,0.35,0,16.093,261.3
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.2516,0.05,rain,17.86,17.89,15.07,0.84,1008.4,1.97,2.08,5,0.53,0,16.093,262.2
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.2562,0.05,rain,18.08,18.08,14.87,0.82,1008.3,1.97,2.16,5,0.6,0,16.093,262.6
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.1414,0.04,rain,18.02,18.02,14.48,0.8,1008.3,1.92,2.09,6,0.54,0,16.093,262.5
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0382,0.03,rain,17.63,17.63,14.12,0.8,1008.5,1.83,1.93,6,0.42,0,16.093,262.2
18,2020-09-06 06:00:00,Clear,clear-day,0.0064,0.02,rain,17.34,17.34,14.18,0.82,1008.6,1.75,1.77,15,0.31,0,16.093,262.3
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,17.79,17.83,15.12,0.84,1008.8,1.67,1.67,37,0.21,1,16.093,263.0
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,19.11,19.35,16.88,0.87,1009.3,1.59,1.59,39,0.12,2,16.093,263.8
21,2020-09-06 09:00:00,Clear,clear-day,0.0045,0.01,rain,20.81,21.21,18.47,0.86,1009.5,1.55,1.55,325,0.07,5,16.093,263.8
22,2020-09-06 10:00:00,Clear,clear-day,0.0193,0.03,rain,22.31,22.81,19.66,0.85,1009.1,1.55,1.55,298,0.07,8,16.093,262.5
23,2020-09-06 11:00:00,Clear,clear-day,0.0762,0.05,rain,23.89,24.45,20.4,0.81,1008.3,1.56,1.62,293,0.12,10,16.093,260.9
24,2020-09-06 12:00:00,Clear,clear-day,0.1757,0.05,rain,25.13,25.73,21.02,0.78,1007.3,1.58,1.79,298,0.22,10,14.105,260.0
