,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Overcast,cloudy,0.0277,0.03,rain,33.69,44.02,26.54,0.66,1006.0,1.29,1.9,206,0.88,6,16.093,268.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0613,0.04,rain,34.39,44.66,26.34,0.63,1004.9,1.73,2.3,215,0.78,6,16.093,267.7
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1779,0.05,rain,34.73,44.73,26.11,0.61,1003.7,2.29,2.8,250,0.66,6,16.093,266.9
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2417,0.06,rain,34.74,44.75,26.11,0.61,1002.7,2.6,3.19,267,0.6,4,16.093,266.5
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1462,0.05,rain,34.33,44.77,26.45,0.64,1002.1,2.55,3.41,268,0.61,2,16.093,266.4
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0644,0.03,rain,33.33,44.13,26.9,0.69,1001.9,2.39,3.58,268,0.63,1,16.093,266.6
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0483,0.02,rain,32.15,42.86,27.19,0.75,1001.9,2.3,3.76,254,0.6,0,16.093,266.7
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0224,0.01,rain,31.01,40.88,27.14,0.8,1002.7,2.25,4.01,195,0.49,0,16.093,266.9
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,29.84,38.33,26.86,0.84,1004.0,2.22,4.22,152,0.36,0,16.093,267.0
9,2020-09-05 21:00:00,Humid,clear-night,0.0027,0.01,rain,28.94,36.27,26.6,0.87,1004.6,2.24,4.18,54,0.3,0,16.093,266.6
10,2020-09-05 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0208,0.04,rain,28.35,34.79,26.3,0.89,1004.5,2.38,3.69,103,0.33,0,16.093,265.7
11,2020-09-05 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0691,0.04,rain,27.91,33.62,26.03,0.9,1004.3,2.53,3.01,71,0.37,0,16.093,264.6
12,2020-09-06 00:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1107,0.05,rain,27.43,32.59,25.9,0.91,1004.2,2.57,2.57,79,0.38,0,16.093,263.8
13,2020-09-06 01:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1178,0.06,rain,26.8,31.05,25.76,0.94,1004.0,2.43,2.43,56,0.35,0,16.093,263.7
14,2020-09-06 02:00:00,Humid,clear-night,0.1227,0.05,rain,26.29,29.1,25.65,0.96,1003.7,2.23,2.23,22,0.31,0,16.093,263.7
15,2020-09-06 03:00:00,Humid,clear-night,0.1088,0.05,rain,25.82,27.79,25.47,0.98,1003.6,2.06,2.06,26,0.27,0,16.093,263.9
16,2020-09-06 04:00:00,Humid,clear-night,0.0595,0.04,rain,25.53,26.95,25.39,0.99,1003.6,1.91,1.91,47,0.24,0,16.093,264.1
17,2020-09-06 05:00:00,Humid,clear-night,0.0381,0.04,rain,25.36,26.49,25.24,0.99,1003.7,1.78,1.78,75,0.22,0,16.093,264.5
18,2020-09-06 06:00:00,Humid,clear-day,0.0529,0.04,rain,25.53,26.93,25.32,0.99,1004.0,1.68,1.68,93,0.24,0,16.093,265.2
19,2020-09-06 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0894,0.04,rain,26.49,29.8,25.82,0.96,1004.8,1.61,1.61,100,0.33,1,16.093,266.3
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1696,0.05,rain,28.16,34.37,26.19,0.89,1005.7,1.62,1.62,109,0.44,2,16.093,267.4
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1983,0.07,rain,29.52,37.34,26.59,0.84,1006.1,1.8,1.8,115,0.47,4,16.093,268.1
22,2020-09-06 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1066,0.05,rain,30.28,38.61,26.49,0.8,1006.1,2.19,2.19,114,0.4,7,16.093,268.0
23,2020-09-06 11:00:00,Humid,clear-day,0.0262,0.04,rain,30.68,38.93,26.24,0.77,1005.8,2.62,2.62,133,0.3,9,16.093,267.6
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0091,0.03,rain,31.17,39.66,26.19,0.75,1005.4,2.88,2.92,148,0.34,9,16.093,266.8
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0094,0.03,rain,31.86,40.81,26.23,0.72,1004.8,2.96,3.01,105,0.56,7,16.093,265.6
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0221,0.03,rain,32.44,41.78,26.29,0.7,1003.6,2.95,2.98,110,0.84,5,16.093,264.3
27,2020-09-06 15:00:00,Humid and Overcast,cloudy,0.0499,0.03,rain,32.71,42.34,26.39,0.69,1003.0,2.93,2.93,120,0.99,3,16.093,263.7
28,2020-09-06 16:00:00,Humid and Overcast,cloudy,0.0956,0.03,rain,32.67,42.65,26.61,0.71,1002.6,2.89,2.89,147,0.98,2,16.093,264.1
29,2020-09-06 17:00:00,Humid and Overcast,cloudy,0.1452,0.04,rain,32.13,42.03,26.73,0.73,1002.5,2.79,2.79,47,0.93,1,16.093,264.8
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1407,0.05,rain,31.13,40.36,26.69,0.77,1002.8,2.68,2.68,16,0.83,0,16.093,265.1
31,2020-09-06 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0753,0.06,rain,30.01,38.03,26.42,0.81,1003.7,2.57,2.57,111,0.66,0,16.093,264.7
32,2020-09-06 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0748,0.06,rain,28.85,35.31,25.98,0.85,1004.7,2.47,2.47,108,0.47,0,16.093,264.1
