,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1584,0.05,rain,32.06,42.32,26.96,0.75,1007.0,1.82,2.19,219,0.64,7,16.093,268.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1466,0.05,rain,32.77,42.64,26.52,0.7,1006.1,1.88,2.42,221,0.77,6,16.093,267.8
2,2020-09-05 14:00:00,Humid and Overcast,cloudy,0.1354,0.05,rain,33.11,43.28,26.6,0.69,1005.0,1.86,2.57,222,0.89,5,16.093,266.8
3,2020-09-05 15:00:00,Humid and Overcast,cloudy,0.1364,0.05,rain,32.83,43.83,27.12,0.72,1004.2,1.74,2.59,225,0.93,4,16.093,266.5
4,2020-09-05 16:00:00,Humid and Overcast,cloudy,0.1384,0.05,rain,32.26,44.87,28.16,0.79,1003.6,1.46,2.45,238,0.89,2,16.093,266.7
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1458,0.06,rain,31.04,44.1,28.85,0.88,1003.3,1.13,2.23,248,0.79,1,16.093,267.0
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1612,0.08,rain,30.03,42.65,29.15,0.95,1003.5,0.94,2.03,226,0.68,0,16.093,267.0
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1853,0.1,rain,28.5,39.09,28.5,1.0,1004.2,0.93,1.88,150,0.56,0,16.093,266.1
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2247,0.11,rain,27.2,34.81,27.2,1.0,1005.2,0.99,1.74,64,0.42,0,12.257,265.0
9,2020-09-05 21:00:00,Humid,clear-night,0.2765,0.12,rain,26.41,30.4,26.41,1.0,1005.8,1.03,1.63,8,0.31,0,10.868,264.3
10,2020-09-05 22:00:00,Humid,clear-night,0.3571,0.12,rain,26.24,29.8,26.24,1.0,1006.0,1.05,1.55,5,0.25,0,14.769,264.1
11,2020-09-05 23:00:00,Humid,clear-night,0.4409,0.13,rain,26.09,29.0,26.09,1.0,1006.0,1.05,1.51,22,0.21,0,16.093,264.1
12,2020-09-06 00:00:00,Humid,clear-night,0.4071,0.12,rain,25.89,28.21,25.89,1.0,1005.9,1.02,1.49,28,0.16,0,16.093,264.0
13,2020-09-06 01:00:00,Humid,clear-night,0.2197,0.11,rain,25.66,27.36,25.66,1.0,1005.7,0.94,1.49,16,0.11,0,16.093,263.6
14,2020-09-06 02:00:00,Humid,clear-night,0.0735,0.07,rain,25.36,26.52,25.36,1.0,1005.4,0.84,1.51,358,0.07,0,16.093,263.3
15,2020-09-06 03:00:00,Humid,clear-night,0.0359,0.05,rain,24.97,26.25,24.97,1.0,1005.4,0.8,1.56,344,0.04,0,16.093,263.1
16,2020-09-06 04:00:00,Humid,clear-night,0.0211,0.03,rain,24.28,25.5,24.28,1.0,1005.6,0.83,1.68,339,0.03,0,16.093,263.1
17,2020-09-06 05:00:00,Humid,clear-night,0.0101,0.03,rain,23.63,24.82,23.63,1.0,1005.6,0.87,1.78,346,0.03,0,16.093,263.3
18,2020-09-06 06:00:00,Humid,clear-day,0.0107,0.04,rain,23.47,24.69,23.47,1.0,1005.9,0.89,1.68,15,0.03,0,16.093,263.5
19,2020-09-06 07:00:00,Humid,clear-day,0.0272,0.04,rain,24.26,25.5,24.26,1.0,1006.6,0.86,1.28,70,0.02,1,16.093,264.0
20,2020-09-06 08:00:00,Humid,clear-day,0.0649,0.04,rain,26.06,28.7,26.06,1.0,1007.2,0.86,0.95,135,0.02,2,16.093,264.5
21,2020-09-06 09:00:00,Humid,clear-day,0.1141,0.05,rain,27.74,34.85,27.19,0.97,1007.5,0.99,0.99,180,0.03,5,16.093,264.7
22,2020-09-06 10:00:00,Humid,clear-day,0.17,0.06,rain,29.58,38.53,27.31,0.88,1007.2,1.32,1.34,200,0.04,8,16.093,264.5
23,2020-09-06 11:00:00,Humid,clear-day,0.2354,0.06,rain,31.3,41.99,27.49,0.8,1006.6,1.7,1.78,206,0.07,10,16.093,264.1
24,2020-09-06 12:00:00,Humid,clear-day,0.2888,0.06,rain,32.15,43.64,27.61,0.77,1005.9,1.95,2.17,206,0.16,11,16.093,263.9
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3536,0.08,rain,31.82,43.72,27.94,0.8,1005.1,2.04,2.4,205,0.35,9,16.093,263.8
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5056,0.1,rain,31.12,44.31,28.87,0.88,1004.4,2.04,2.52,198,0.57,6,16.093,263.8
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6464,0.13,rain,30.42,45.26,30.0,0.98,1003.9,1.88,2.41,188,0.69,4,16.093,263.6
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6874,0.14,rain,29.85,45.9,29.85,1.0,1003.7,1.54,2.02,171,0.66,2,16.093,263.2
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.744,0.14,rain,28.84,43.88,28.84,1.0,1003.8,1.14,1.55,150,0.58,1,16.093,262.7
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7601,0.14,rain,28.03,40.29,28.03,1.0,1004.3,0.88,1.27,139,0.51,0,16.093,262.5
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.7209,0.15,rain,27.24,36.17,27.24,1.0,1005.2,0.8,1.23,82,0.44,0,16.093,262.7
32,2020-09-06 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.8462,0.16,rain,26.42,30.55,26.42,1.0,1006.4,0.8,1.29,41,0.38,0,16.093,263.0
33,2020-09-06 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.9746,0.17,rain,25.88,28.36,25.88,1.0,1007.1,0.79,1.39,22,0.35,0,16.093,262.9
34,2020-09-06 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.8378,0.17,rain,25.54,26.92,25.54,1.0,1007.3,0.74,1.48,13,0.33,0,16.093,262.1
35,2020-09-06 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.5967,0.17,rain,25.15,25.74,25.15,1.0,1007.2,0.7,1.57,10,0.34,0,16.093,261.3
36,2020-09-07 00:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3974,0.17,rain,24.94,26.38,24.94,1.0,1007.1,0.7,1.61,16,0.34,0,16.093,260.8
37,2020-09-07 01:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2381,0.13,rain,24.82,26.14,24.82,1.0,1006.9,0.75,1.58,32,0.35,0,16.093,260.8
38,2020-09-07 02:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1267,0.09,rain,24.68,25.96,24.68,1.0,1006.6,0.81,1.52,51,0.35,0,16.093,261.0
