,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.1354,0.03,rain,31.55,33.75,20.14,0.51,1007.1,1.51,1.94,242,0.55,8,16.093,269.2
1,2020-09-05 13:00:00,Mostly Cloudy,partly-cloudy-day,0.1363,0.03,rain,32.12,34.33,20.06,0.49,1006.1,1.61,2.15,246,0.66,7,16.093,269.0
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.1298,0.04,rain,32.02,34.36,20.25,0.5,1005.0,1.65,2.26,242,0.78,6,16.093,268.9
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.1345,0.04,rain,31.5,34.36,21.02,0.54,1004.2,1.6,2.23,231,0.81,4,16.093,268.7
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1565,0.04,rain,30.76,34.62,22.42,0.61,1003.6,1.45,2.03,218,0.74,2,16.093,268.7
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1826,0.04,rain,29.45,33.84,23.53,0.71,1003.3,1.25,1.76,242,0.62,1,16.093,268.6
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1881,0.05,rain,28.09,32.38,24.33,0.8,1003.5,1.07,1.53,223,0.49,0,16.093,268.0
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1629,0.06,rain,26.67,29.92,24.89,0.9,1004.3,0.92,1.38,195,0.35,0,16.093,266.6
8,2020-09-05 20:00:00,Humid,clear-night,0.1418,0.06,rain,25.41,26.91,25.25,0.99,1005.3,0.78,1.26,86,0.2,0,16.093,264.9
9,2020-09-05 21:00:00,Humid,clear-night,0.1425,0.07,rain,24.43,25.64,24.43,1.0,1006.0,0.74,1.27,64,0.1,0,16.093,263.9
10,2020-09-05 22:00:00,Humid,clear-night,0.1711,0.08,rain,24.07,25.31,24.07,1.0,1006.2,0.83,1.43,68,0.08,0,16.093,263.8
11,2020-09-05 23:00:00,Humid,clear-night,0.2283,0.09,rain,23.84,24.98,23.84,1.0,1006.3,0.96,1.66,69,0.08,0,15.619,264.1
12,2020-09-06 00:00:00,Humid,clear-night,0.2822,0.09,rain,23.53,24.6,23.53,1.0,1006.2,0.99,1.75,69,0.08,0,14.497,264.3
13,2020-09-06 01:00:00,Humid,clear-night,0.3038,0.08,rain,23.05,24.04,23.05,1.0,1006.1,0.88,1.66,82,0.11,0,16.093,264.1
