,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0164,0.03,rain,9.68,8.89,9.68,1,1008.9,1.91,2.3,343,0.12,13,14.514,254.1
1,2020-09-05 13:00:00,Clear,clear-day,0.0232,0.04,rain,9.64,8.86,9.64,1,1007.9,1.9,2.32,332,0.3,11,10.316,254.8
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.0313,0.05,rain,9.1,8.3,9.1,1,1007.0,1.83,2.22,340,0.51,8,5.508,256.0
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.0369,0.06,rain,8.28,7.44,8.28,1,1006.4,1.74,2.09,74,0.64,5,3.746,256.7
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.0382,0.06,rain,7.52,6.68,7.52,1,1006.2,1.63,1.91,95,0.69,3,7.132,256.9
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.0386,0.07,rain,6.57,5.74,6.57,1,1006.4,1.51,1.69,9,0.73,1,11.519,256.8
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.0338,0.06,rain,6.05,5.18,6.05,1,1007.0,1.4,1.55,307,0.7,0,15.192,256.9
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.0213,0.06,rain,5.37,5.41,5.37,1,1008.1,1.33,1.52,12,0.59,0,16.093,257.3
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.0106,0.05,rain,4.73,7.29,4.73,1,1009.2,1.28,1.52,352,0.45,0,16.093,257.5
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.0063,0.04,rain,4.29,4.09,4.29,1,1010.0,1.24,1.52,356,0.35,0,16.093,257.2
10,2020-09-05 22:00:00,Clear,clear-night,0.0049,0.03,rain,4.1,4.1,4.1,1,1010.3,1.22,1.52,17,0.31,0,16.093,255.9
11,2020-09-05 23:00:00,Clear,clear-night,0.0,0.0,,3.98,3.98,3.98,1,1010.4,1.22,1.54,25,0.29,0,16.093,254.2
12,2020-09-06 00:00:00,Clear,clear-night,0.0,0.0,,3.84,3.84,3.84,1,1010.3,1.2,1.53,23,0.26,0,16.093,253.3
13,2020-09-06 01:00:00,Clear,clear-night,0.0,0.0,,3.78,3.78,3.78,1,1010.2,1.17,1.46,15,0.22,0,16.093,253.5
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,3.82,3.82,3.82,1,1010.0,1.15,1.38,8,0.18,0,16.093,253.9
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,4.03,4.03,4.03,1,1010.0,1.12,1.31,5,0.16,0,16.093,254.5
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,3.9,3.9,3.9,1,1010.1,1.09,1.27,1,0.18,0,16.093,255.0
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,3.63,3.63,3.63,1,1010.2,1.07,1.28,3,0.21,0,16.093,255.8
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,,3.65,3.62,3.65,1,1010.5,1.05,1.28,15,0.19,0,16.093,256.5
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,4.06,4.31,4.06,1,1010.8,1.04,1.27,43,0.13,1,16.093,257.5
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,4.95,6.36,4.95,1,1010.9,1.06,1.32,58,0.05,3,16.093,258.3
21,2020-09-06 09:00:00,Clear,clear-day,0.0041,0.01,rain,6.27,7.97,6.27,1,1010.5,1.15,1.43,2,0.01,6,16.093,258.2
22,2020-09-06 10:00:00,Clear,clear-day,0.0066,0.04,rain,7.58,8.99,7.58,1,1009.7,1.35,1.65,316,0.02,9,16.093,256.9
23,2020-09-06 11:00:00,Clear,clear-day,0.0171,0.04,rain,9.13,8.33,9.13,1,1008.8,1.58,1.95,319,0.04,12,14.5,255.1
24,2020-09-06 12:00:00,Clear,clear-day,0.0312,0.05,rain,10.03,10.14,10.03,1,1007.9,1.76,2.29,299,0.11,13,11.042,253.8
25,2020-09-06 13:00:00,Clear,clear-day,0.0436,0.06,rain,10.15,12.17,10.15,1,1006.9,1.87,2.52,239,0.3,11,9.608,253.1
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.0571,0.07,rain,9.44,8.38,9.44,1,1006.0,1.93,2.65,211,0.51,8,8.286,252.9
27,2020-09-06 15:00:00,Mostly Cloudy,partly-cloudy-day,0.0663,0.08,rain,8.45,7.48,8.45,1,1005.6,1.91,2.61,130,0.66,5,7.57,252.8
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.0651,0.08,rain,7.4,6.4,7.4,1,1005.7,1.76,2.37,115,0.71,3,7.495,253.2
