,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0126,0.03,rain,9.17,8.4,9.17,1,1009.1,1.8,2.16,44,0.11,13,14.534,253.6
1,2020-09-05 13:00:00,Clear,clear-day,0.0189,0.04,rain,9.37,8.58,9.37,1,1007.9,1.86,2.21,205,0.26,11,10.969,254.4
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.0276,0.05,rain,9.06,8.23,9.06,1,1007.0,1.85,2.16,176,0.44,8,6.981,255.6
3,2020-09-05 15:00:00,Partly Cloudy,partly-cloudy-day,0.0336,0.06,rain,8.33,7.42,8.33,1,1006.3,1.81,2.06,146,0.57,5,6.148,256.4
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.0344,0.06,rain,7.57,6.66,7.57,1,1006.2,1.7,1.9,128,0.62,3,10.722,256.4
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.0343,0.06,rain,6.57,5.66,6.57,1,1006.4,1.56,1.71,145,0.67,1,16.093,256.3
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.0304,0.06,rain,6.06,5.21,6.06,1,1007.0,1.45,1.6,177,0.65,0,16.093,256.4
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.0202,0.06,rain,5.31,4.43,5.31,1,1008.2,1.39,1.64,163,0.54,0,16.093,256.9
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.0109,0.05,rain,4.65,3.95,4.65,1,1009.2,1.34,1.7,144,0.39,0,16.093,257.3
9,2020-09-05 21:00:00,Clear,clear-night,0.0066,0.04,rain,4.18,4.24,4.18,1,1010.0,1.28,1.74,121,0.28,0,16.093,257.1
10,2020-09-05 22:00:00,Clear,clear-night,0.005,0.03,rain,3.97,3.97,3.97,1,1010.3,1.25,1.75,106,0.24,0,16.093,255.7
11,2020-09-05 23:00:00,Clear,clear-night,0.0,0.0,,3.83,3.83,3.83,1,1010.4,1.22,1.74,93,0.23,0,16.093,254.0
12,2020-09-06 00:00:00,Clear,clear-night,0.0,0.0,,3.66,3.66,3.66,1,1010.3,1.16,1.68,79,0.21,0,16.093,253.0
13,2020-09-06 01:00:00,Clear,clear-night,0.0,0.0,,3.57,3.57,3.57,1,1010.2,1.07,1.49,55,0.17,0,16.093,253.2
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,3.54,3.54,3.54,1,1010.0,0.98,1.26,34,0.14,0,16.093,253.6
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,3.68,3.68,3.68,1,1009.9,0.91,1.12,24,0.13,0,16.093,254.2
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,3.55,3.55,3.55,1,1010.2,0.88,1.1,20,0.15,0,16.093,254.7
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,3.26,3.26,3.26,1,1010.3,0.87,1.15,24,0.18,0,16.093,255.4
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,,3.24,3.24,3.24,1,1010.5,0.87,1.19,39,0.17,0,16.093,256.2
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,3.6,3.57,3.6,1,1010.7,0.86,1.2,67,0.11,1,16.093,257.3
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,4.45,4.76,4.45,1,1010.8,0.89,1.24,86,0.04,3,16.093,258.4
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,,5.73,7.51,5.73,1,1010.5,0.99,1.35,34,0.01,6,16.093,258.3
22,2020-09-06 10:00:00,Clear,clear-day,0.0054,0.01,rain,7.02,8.41,7.02,1,1009.7,1.21,1.57,285,0.02,9,16.093,256.9
23,2020-09-06 11:00:00,Clear,clear-day,0.0122,0.04,rain,8.66,7.99,8.66,1,1008.9,1.48,1.88,133,0.05,12,16.093,254.9
