,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0294,0.05,rain,12.15,14.36,12.15,1,1009.1,2.2,2.43,309,0.12,12,16.093,255.9
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.0366,0.06,rain,11.57,14.36,11.57,1,1008.2,2.01,2.28,310,0.4,10,10.396,256.4
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.0414,0.06,rain,10.58,12.97,10.58,1,1007.2,1.76,1.99,313,0.71,7,3.687,257.4
3,2020-09-05 15:00:00,Foggy,fog,0.0456,0.07,rain,9.6,8.83,9.6,1,1006.6,1.6,1.82,315,0.89,4,0.0,258.1
4,2020-09-05 16:00:00,Foggy,fog,0.0512,0.07,rain,8.86,8.28,8.86,1,1006.4,1.57,1.75,315,0.89,3,0.535,258.5
5,2020-09-05 17:00:00,Foggy,fog,0.0558,0.07,rain,8.07,7.38,8.07,1,1006.5,1.57,1.68,311,0.87,1,1.037,258.5
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.0475,0.07,rain,7.69,6.97,7.69,1,1006.9,1.54,1.61,320,0.76,0,3.316,258.6
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.0237,0.05,rain,7.25,6.53,7.25,1,1007.9,1.48,1.53,26,0.59,0,10.882,258.6
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.0062,0.03,rain,6.84,6.13,6.84,1,1009.1,1.43,1.46,350,0.39,0,16.093,258.5
9,2020-09-05 21:00:00,Clear,clear-night,0.0,0.0,,6.63,5.92,6.63,1,1009.9,1.41,1.43,330,0.25,0,16.093,257.9
10,2020-09-05 22:00:00,Clear,clear-night,0.0,0.0,,6.53,5.78,6.53,1,1010.2,1.43,1.45,336,0.21,0,16.093,256.7
11,2020-09-05 23:00:00,Clear,clear-night,0.0,0.0,,6.44,5.62,6.44,1,1010.1,1.47,1.49,347,0.2,0,16.093,255.4
12,2020-09-06 00:00:00,Clear,clear-night,0.0,0.0,,6.35,5.47,6.35,1,1010.1,1.52,1.55,355,0.21,0,16.093,254.6
13,2020-09-06 01:00:00,Clear,clear-night,0.0,0.0,,6.39,5.48,6.39,1,1009.9,1.55,1.6,354,0.23,0,16.093,254.8
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,6.45,5.52,6.45,1,1009.7,1.57,1.64,353,0.26,0,16.093,255.3
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,6.78,5.86,6.78,1,1009.5,1.6,1.67,352,0.28,0,16.093,255.8
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,6.86,5.9,6.86,1,1009.7,1.64,1.71,349,0.3,0,16.093,256.4
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,6.72,5.71,6.72,1,1009.8,1.68,1.81,349,0.3,0,16.093,256.9
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,,6.7,5.67,6.7,1,1010.0,1.69,1.8,358,0.27,0,16.093,257.5
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,7.12,6.19,7.12,1,1010.2,1.66,1.69,23,0.18,1,16.093,258.2
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,8.15,7.34,8.15,1,1010.5,1.63,1.7,31,0.07,3,16.093,258.7
21,2020-09-06 09:00:00,Clear,clear-day,0.0042,0.01,rain,9.45,9.26,9.45,1,1010.4,1.67,1.75,326,0.0,6,16.093,258.5
22,2020-09-06 10:00:00,Clear,clear-day,0.0111,0.04,rain,10.78,12.48,10.78,1,1009.8,1.82,1.92,298,0.0,9,16.093,257.4
23,2020-09-06 11:00:00,Clear,clear-day,0.0358,0.05,rain,11.97,13.92,11.97,1,1008.9,1.99,2.16,295,0.01,12,16.093,255.9
24,2020-09-06 12:00:00,Clear,clear-day,0.0638,0.07,rain,12.45,14.8,12.45,1,1008.1,2.02,2.45,291,0.1,12,13.113,254.9
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.0805,0.08,rain,11.93,14.87,11.93,1,1007.2,1.89,2.43,286,0.37,10,8.161,254.4
26,2020-09-06 14:00:00,Foggy,fog,0.0916,0.09,rain,10.85,13.41,10.85,1,1006.3,1.7,2.24,286,0.68,7,3.072,254.2
27,2020-09-06 15:00:00,Foggy,fog,0.0972,0.1,rain,9.74,9.03,9.74,1,1005.9,1.56,1.96,293,0.88,4,0.23,254.1
28,2020-09-06 16:00:00,Foggy,fog,0.0973,0.1,rain,8.99,8.5,8.99,1,1006.0,1.49,1.73,309,0.9,3,0.274,254.4
29,2020-09-06 17:00:00,Foggy,fog,0.0881,0.11,rain,8.14,7.49,8.14,1,1006.4,1.46,1.64,321,0.92,1,0.475,254.8
30,2020-09-06 18:00:00,Foggy,fog,0.0636,0.11,rain,7.68,7.86,7.68,1,1007.2,1.41,1.53,339,0.92,0,2.948,254.9
31,2020-09-06 19:00:00,Overcast,cloudy,0.0279,0.07,rain,7.22,10.53,7.22,1,1008.4,1.31,1.41,25,0.9,0,10.602,254.6
32,2020-09-06 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0052,0.04,rain,6.87,9.47,6.87,1,1009.8,1.23,1.3,5,0.84,0,16.093,254.2
33,2020-09-06 21:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,6.7,8.98,6.7,1,1010.6,1.22,1.28,350,0.76,0,16.093,253.7
34,2020-09-06 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,6.59,7.99,6.59,1,1010.8,1.31,1.38,349,0.65,0,16.093,253.2
35,2020-09-06 23:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,6.51,5.54,6.51,1,1010.5,1.46,1.54,353,0.52,0,16.093,252.9
36,2020-09-07 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,6.48,5.57,6.48,1,1010.1,1.55,1.64,356,0.39,0,16.093,252.6
37,2020-09-07 01:00:00,Clear,clear-night,0.0,0.0,,6.64,5.69,6.64,1,1010.0,1.6,1.69,355,0.29,0,16.093,252.5
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,6.79,5.84,6.79,1,1009.7,1.63,1.7,353,0.19,0,16.093,252.5
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,7.08,6.15,7.08,1,1009.8,1.64,1.72,352,0.12,0,16.093,252.5
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,7.13,6.21,7.13,1,1010.6,1.65,1.76,350,0.09,0,16.093,252.5
41,2020-09-07 05:00:00,Clear,clear-night,0.0037,0.01,rain,6.92,5.98,6.92,1,1010.8,1.64,1.81,349,0.08,0,16.093,252.6
42,2020-09-07 06:00:00,Clear,clear-day,0.0047,0.03,rain,6.84,5.87,6.84,1,1010.9,1.65,1.79,0,0.07,0,16.093,252.8
43,2020-09-07 07:00:00,Clear,clear-day,0.0,0.0,,7.2,6.28,7.2,1,1010.9,1.65,1.76,24,0.05,1,16.093,253.5
44,2020-09-07 08:00:00,Clear,clear-day,0.0,0.0,,8.21,7.37,8.21,1,1011.0,1.66,1.8,24,0.04,3,16.093,254.2
45,2020-09-07 09:00:00,Clear,clear-day,0.0005,0.01,rain,9.44,9.28,9.44,1,1010.9,1.73,1.86,309,0.07,6,16.093,254.2
46,2020-09-07 10:00:00,Clear,clear-day,0.0097,0.04,rain,10.76,12.82,10.76,1,1010.6,1.9,2.13,298,0.13,9,16.093,253.1
47,2020-09-07 11:00:00,Clear,clear-day,0.0379,0.06,rain,11.92,14.2,11.92,1,1009.9,2.09,2.83,289,0.23,11,11.242,251.7
48,2020-09-07 12:00:00,Partly Cloudy,partly-cloudy-day,0.0727,0.08,rain,12.37,15.04,12.37,1,1009.3,2.13,3.17,286,0.37,11,6.222,250.9
