,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.274,0.15,rain,30.28,40.15,27.5,0.85,1007.0,1.49,2.4,155,0.73,7,16.093,266.9
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.245,0.12,rain,31.63,43.63,28.07,0.81,1006.0,1.56,2.96,115,0.66,7,16.093,266.5
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2453,0.11,rain,32.66,46.48,28.59,0.79,1004.8,1.65,3.53,15,0.6,6,16.093,266.1
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2693,0.11,rain,32.87,47.21,28.77,0.79,1003.9,1.67,3.6,359,0.57,4,16.093,265.7
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2871,0.12,rain,32.57,47.3,29.03,0.82,1003.3,1.54,2.96,76,0.58,2,16.093,265.4
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3172,0.13,rain,31.52,45.16,28.92,0.86,1002.9,1.36,2.1,66,0.62,1,16.093,265.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3315,0.15,rain,30.41,42.93,28.9,0.92,1003.1,1.33,1.69,56,0.69,0,16.093,264.8
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3124,0.16,rain,29.49,41.15,28.95,0.97,1003.8,1.56,1.92,53,0.8,0,16.093,264.7
8,2020-09-05 20:00:00,Humid and Overcast,cloudy,0.327,0.17,rain,28.49,38.44,28.49,1.0,1004.8,1.85,2.35,54,0.93,0,16.093,264.5
9,2020-09-05 21:00:00,Humid and Overcast,cloudy,0.4963,0.19,rain,27.78,35.71,27.78,1.0,1005.5,1.94,2.59,55,1.0,0,16.093,264.0
10,2020-09-05 22:00:00,Humid and Overcast,cloudy,1.2527,0.24,rain,27.4,34.33,27.4,1.0,1005.6,1.74,2.55,51,0.98,0,16.093,263.1
11,2020-09-05 23:00:00,Rain and Humid,rain,2.7897,0.34,rain,27.04,33.01,26.99,1.0,1005.4,1.45,2.42,28,0.96,0,16.093,262.1
12,2020-09-06 00:00:00,Rain and Humid,rain,3.8022,0.39,rain,26.68,31.48,26.52,0.99,1005.3,1.22,2.3,22,0.91,0,16.093,261.7
13,2020-09-06 01:00:00,Rain and Humid,rain,3.3367,0.39,rain,26.28,29.23,26.21,1.0,1005.1,1.09,2.19,18,0.82,0,16.093,262.3
14,2020-09-06 02:00:00,Rain and Humid,rain,2.4857,0.35,rain,25.83,27.87,25.83,1.0,1004.8,1.0,2.08,29,0.72,0,16.093,263.1
15,2020-09-06 03:00:00,Rain and Humid,rain,1.7979,0.32,rain,25.36,26.53,25.36,1.0,1004.7,0.95,2.05,30,0.67,0,16.093,264.0
16,2020-09-06 04:00:00,Rain and Humid,rain,1.0753,0.27,rain,25.03,26.26,25.03,1.0,1004.7,0.93,2.1,38,0.71,0,16.093,264.8
17,2020-09-06 05:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.6161,0.23,rain,24.79,26.0,24.79,1.0,1004.8,0.97,2.2,45,0.79,0,16.093,265.6
18,2020-09-06 06:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4869,0.2,rain,24.74,25.9,24.74,1.0,1005.2,1.08,2.29,46,0.85,0,16.093,266.3
19,2020-09-06 07:00:00,Humid and Overcast,cloudy,0.3403,0.16,rain,25.38,26.94,25.38,1.0,1005.9,1.29,2.36,70,0.92,1,16.093,267.2
20,2020-09-06 08:00:00,Humid and Overcast,cloudy,0.2177,0.14,rain,26.68,30.77,26.55,0.99,1006.6,1.53,2.44,83,0.98,2,16.093,267.8
21,2020-09-06 09:00:00,Humid and Overcast,cloudy,0.1748,0.14,rain,27.8,34.86,27.15,0.96,1007.0,1.74,2.55,102,1.0,4,16.093,267.5
22,2020-09-06 10:00:00,Humid and Overcast,cloudy,0.1618,0.13,rain,28.86,36.67,26.99,0.9,1006.9,1.95,2.71,132,0.98,5,16.093,266.1
23,2020-09-06 11:00:00,Humid and Overcast,cloudy,0.1973,0.12,rain,29.91,38.56,26.94,0.84,1006.5,2.16,2.9,157,0.95,5,16.093,264.3
