,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2844,0.1,rain,30.32,41.88,28.44,0.9,1007.3,1.7,2.83,195,0.75,7,16.093,266.2
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4154,0.1,rain,31.23,44.62,28.92,0.88,1006.2,1.55,3.32,214,0.6,7,15.833,265.7
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6053,0.12,rain,31.73,46.75,29.45,0.88,1005.2,1.3,3.68,224,0.45,6,8.85,265.4
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7324,0.14,rain,31.68,48.51,30.22,0.92,1004.3,1.07,3.55,203,0.39,4,5.662,265.0
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7235,0.15,rain,31.4,50.34,31.17,0.99,1003.8,0.83,2.72,147,0.46,2,7.729,264.4
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6487,0.16,rain,30.2,48.01,30.2,1.0,1003.4,0.64,1.69,95,0.59,1,11.853,263.8
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5643,0.16,rain,29.42,45.69,29.42,1.0,1003.6,0.66,1.19,69,0.71,0,15.57,263.4
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4655,0.16,rain,28.58,42.04,28.58,1.0,1004.3,1.01,1.48,39,0.83,0,16.093,263.3
8,2020-09-05 20:00:00,Humid and Overcast,cloudy,0.3604,0.17,rain,27.85,38.76,27.85,1.0,1005.3,1.45,2.02,31,0.95,0,16.093,263.2
9,2020-09-05 21:00:00,Humid and Overcast,cloudy,0.3265,0.16,rain,27.31,36.39,27.31,1.0,1006.0,1.62,2.26,45,0.99,0,16.093,262.8
10,2020-09-05 22:00:00,Humid and Overcast,cloudy,0.7513,0.19,rain,26.85,33.84,26.85,1.0,1006.0,1.34,2.06,64,0.95,0,16.093,261.8
11,2020-09-05 23:00:00,Rain and Humid,rain,2.0514,0.33,rain,26.38,30.16,26.38,1.0,1005.9,0.92,1.73,296,0.86,0,16.093,260.9
12,2020-09-06 00:00:00,Rain and Humid,rain,3.2458,0.36,rain,26.09,29.06,26.09,1.0,1005.7,0.66,1.55,330,0.81,0,16.093,260.6
13,2020-09-06 01:00:00,Rain and Humid,rain,3.3885,0.36,rain,25.77,27.82,25.77,1.0,1005.5,0.64,1.59,323,0.8,0,16.093,261.1
14,2020-09-06 02:00:00,Rain and Humid,rain,2.9561,0.36,rain,25.55,27.0,25.55,1.0,1005.3,0.69,1.69,99,0.81,0,16.093,261.9
15,2020-09-06 03:00:00,Rain and Humid,rain,2.277,0.32,rain,25.39,26.57,25.39,1.0,1005.2,0.72,1.69,66,0.82,0,16.093,262.8
16,2020-09-06 04:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.383,0.24,rain,25.19,26.54,25.19,1.0,1005.2,0.74,1.55,57,0.85,0,16.093,263.7
17,2020-09-06 05:00:00,Humid and Overcast,cloudy,0.6612,0.18,rain,25.04,26.36,25.04,1.0,1005.3,0.76,1.38,53,0.88,0,16.093,264.4
18,2020-09-06 06:00:00,Humid and Overcast,cloudy,0.3706,0.15,rain,24.98,26.32,24.98,1.0,1005.6,0.78,1.21,60,0.92,0,16.093,265.2
19,2020-09-06 07:00:00,Humid and Overcast,cloudy,0.2671,0.14,rain,25.13,26.51,25.13,1.0,1006.3,0.77,0.99,80,0.96,1,16.093,266.2
20,2020-09-06 08:00:00,Humid and Overcast,cloudy,0.2298,0.16,rain,25.96,28.97,25.96,1.0,1007.0,0.79,0.87,105,1.0,2,16.093,266.9
21,2020-09-06 09:00:00,Humid and Overcast,cloudy,0.2097,0.17,rain,27.0,34.65,27.0,1.0,1007.4,0.99,1.1,129,0.99,4,16.093,266.8
22,2020-09-06 10:00:00,Humid and Overcast,cloudy,0.1671,0.13,rain,28.1,37.05,28.1,1.0,1007.2,1.44,1.83,149,0.95,5,16.093,265.5
23,2020-09-06 11:00:00,Humid and Overcast,cloudy,0.1642,0.1,rain,29.36,39.66,28.27,0.94,1006.9,1.94,2.81,164,0.88,6,16.093,263.5
24,2020-09-06 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2038,0.07,rain,30.69,42.26,28.25,0.87,1006.3,2.23,3.37,173,0.75,7,16.093,262.2
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2588,0.07,rain,31.55,43.83,28.24,0.83,1005.5,2.22,3.38,180,0.56,8,16.093,261.5
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3316,0.08,rain,32.01,44.58,28.21,0.8,1004.8,2.09,3.15,181,0.35,7,12.056,261.2
27,2020-09-06 15:00:00,Humid,clear-day,0.4453,0.1,rain,31.71,44.75,28.55,0.83,1004.4,1.87,2.83,171,0.27,5,8.552,261.0
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6469,0.14,rain,31.06,45.21,29.37,0.91,1004.2,1.54,2.4,140,0.36,2,8.707,260.8
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.876,0.17,rain,29.57,42.41,29.51,1.0,1004.3,1.19,1.93,102,0.52,1,10.151,260.9
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9105,0.19,rain,28.49,39.57,28.49,1.0,1004.6,1.05,1.7,80,0.67,0,10.639,261.1
31,2020-09-06 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.6428,0.2,rain,27.58,36.8,27.58,1.0,1005.5,1.2,1.79,62,0.8,0,9.344,261.4
32,2020-09-06 20:00:00,Humid and Overcast,cloudy,0.3522,0.18,rain,26.78,33.25,26.78,1.0,1006.4,1.45,2.03,50,0.93,0,8.107,261.7
33,2020-09-06 21:00:00,Humid and Overcast,cloudy,0.2631,0.17,rain,26.2,29.38,26.2,1.0,1007.1,1.61,2.22,46,1.0,0,9.099,262.1
34,2020-09-06 22:00:00,Humid and Overcast,cloudy,0.3926,0.19,rain,25.78,27.86,25.78,1.0,1007.2,1.63,2.36,43,1.0,0,13.312,262.5
35,2020-09-06 23:00:00,Possible Light Rain and Humid,rain,0.5979,0.26,rain,25.47,26.71,25.47,1.0,1007.1,1.6,2.49,41,1.0,0,16.093,262.7
36,2020-09-07 00:00:00,Possible Light Rain and Humid,rain,0.6181,0.28,rain,25.33,26.37,25.33,1.0,1006.9,1.57,2.57,41,1.0,0,16.093,262.6
37,2020-09-07 01:00:00,Humid and Overcast,cloudy,0.3479,0.21,rain,25.17,26.42,25.17,1.0,1006.6,1.57,2.62,39,1.0,0,16.093,262.0
38,2020-09-07 02:00:00,Humid and Overcast,cloudy,0.1069,0.15,rain,25.16,26.37,25.16,1.0,1006.3,1.56,2.62,38,1.0,0,16.093,261.4
39,2020-09-07 03:00:00,Humid and Overcast,cloudy,0.0323,0.09,rain,25.16,26.33,25.1,1.0,1006.1,1.51,2.52,41,1.0,0,16.093,261.1
40,2020-09-07 04:00:00,Humid and Overcast,cloudy,0.0434,0.09,rain,25.09,26.26,25.05,1.0,1006.1,1.39,2.23,50,1.0,0,16.093,261.1
41,2020-09-07 05:00:00,Humid and Overcast,cloudy,0.0865,0.11,rain,24.94,26.13,24.94,1.0,1006.3,1.26,1.92,60,1.0,0,16.093,261.4
42,2020-09-07 06:00:00,Humid and Overcast,cloudy,0.1335,0.13,rain,24.77,25.91,24.77,1.0,1006.6,1.26,1.9,72,0.98,0,16.093,261.9
43,2020-09-07 07:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1738,0.12,rain,25.29,26.64,25.05,0.99,1007.3,1.42,2.34,82,0.85,1,16.093,262.4
44,2020-09-07 08:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2373,0.11,rain,26.42,29.47,25.48,0.95,1008.1,1.64,2.91,90,0.69,2,16.093,263.0
45,2020-09-07 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2776,0.1,rain,27.82,33.49,26.01,0.9,1008.4,1.81,3.17,100,0.58,5,16.093,262.9
46,2020-09-07 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2515,0.08,rain,29.16,36.49,26.46,0.85,1008.3,1.93,2.98,114,0.51,7,16.093,262.2
47,2020-09-07 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2301,0.08,rain,30.91,40.59,27.06,0.8,1007.9,2.02,2.64,129,0.47,8,16.093,261.1
48,2020-09-07 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2766,0.09,rain,32.2,43.81,27.66,0.77,1007.3,1.99,2.33,135,0.52,8,16.093,260.4
