,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0263,0.04,rain,14.44,16.25,14.44,1,1008.8,2.01,2.12,320,0.23,11,8.826,257.7
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.0377,0.05,rain,14.26,16.26,14.26,1,1007.9,1.88,1.99,325,0.51,9,8.251,258.1
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.0508,0.06,rain,13.49,15.75,13.49,1,1007.1,1.7,1.77,332,0.83,6,8.745,258.9
3,2020-09-05 15:00:00,Overcast,cloudy,0.0654,0.06,rain,12.62,15.21,12.62,1,1006.4,1.59,1.64,331,0.98,4,9.228,259.4
4,2020-09-05 16:00:00,Overcast,cloudy,0.0847,0.07,rain,11.58,14.45,11.58,1,1006.0,1.55,1.57,322,0.93,2,9.674,259.8
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.102,0.07,rain,10.78,13.64,10.78,1,1006.1,1.53,1.53,319,0.82,1,9.368,259.9
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.0948,0.07,rain,10.33,12.99,10.33,1,1006.6,1.5,1.5,330,0.68,0,9.333,259.9
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.0558,0.05,rain,10.01,11.8,10.01,1,1007.7,1.45,1.45,14,0.52,0,10.933,259.6
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.0211,0.04,rain,9.7,9.22,9.7,1,1008.7,1.41,1.41,352,0.34,0,13.013,259.1
9,2020-09-05 21:00:00,Clear,clear-night,0.0096,0.03,rain,9.37,9.04,9.37,1,1009.7,1.37,1.37,336,0.23,0,15.463,258.4
10,2020-09-05 22:00:00,Clear,clear-night,0.0103,0.03,rain,9.15,9.16,9.15,1,1010.0,1.34,1.34,339,0.21,0,16.093,257.4
11,2020-09-05 23:00:00,Clear,clear-night,0.0128,0.03,rain,8.99,10.2,8.99,1,1010.0,1.31,1.31,357,0.23,0,16.093,256.3
