,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1516,0.14,rain,29.68,37.89,26.77,0.84,1006.7,1.7,2.38,128,0.74,7,16.093,267.2
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1074,0.11,rain,30.77,40.11,26.92,0.8,1005.7,1.78,2.82,85,0.74,6,16.093,266.8
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0832,0.09,rain,31.74,41.96,27.05,0.76,1004.6,1.91,3.31,25,0.76,5,16.093,266.4
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.087,0.09,rain,32.24,43.07,27.22,0.75,1003.7,1.95,3.34,5,0.77,4,16.093,266.1
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0962,0.09,rain,32.12,43.38,27.5,0.77,1003.0,1.78,2.69,40,0.76,2,16.093,266.0
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1264,0.1,rain,31.19,41.75,27.46,0.81,1002.6,1.52,1.87,74,0.75,1,16.093,266.0
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1637,0.1,rain,30.11,39.75,27.45,0.86,1002.7,1.45,1.55,92,0.76,0,16.093,265.9
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.198,0.11,rain,29.05,37.53,27.32,0.9,1003.4,1.71,1.93,87,0.82,0,16.093,265.7
8,2020-09-05 20:00:00,Humid and Overcast,cloudy,0.2558,0.14,rain,27.85,34.95,27.17,0.96,1004.4,2.04,2.59,78,0.9,0,16.093,265.4
9,2020-09-05 21:00:00,Humid and Overcast,cloudy,0.4544,0.18,rain,27.01,32.58,26.86,0.99,1005.0,2.15,2.96,69,0.94,0,16.093,265.0
10,2020-09-05 22:00:00,Humid and Overcast,cloudy,1.232,0.23,rain,26.47,29.74,26.1,0.98,1005.1,2.01,2.92,61,0.93,0,16.093,264.0
11,2020-09-05 23:00:00,Rain and Humid,rain,2.7339,0.3,rain,26.03,28.42,25.64,0.98,1005.0,1.78,2.74,50,0.91,0,16.093,263.1
12,2020-09-06 00:00:00,Rain and Humid,rain,3.7205,0.36,rain,25.69,27.37,25.3,0.98,1004.9,1.6,2.59,40,0.88,0,16.093,262.7
13,2020-09-06 01:00:00,Rain and Humid,rain,3.2316,0.38,rain,25.37,26.48,25.06,0.98,1004.6,1.48,2.46,34,0.85,0,16.093,263.3
14,2020-09-06 02:00:00,Rain and Humid,rain,2.2406,0.33,rain,25.15,26.29,24.91,0.99,1004.4,1.38,2.36,31,0.81,0,16.093,264.1
15,2020-09-06 03:00:00,Rain and Humid,rain,1.4945,0.3,rain,24.87,26.05,24.87,1.0,1004.2,1.31,2.39,29,0.81,0,16.093,265.0
16,2020-09-06 04:00:00,Rain and Humid,rain,0.9612,0.26,rain,24.59,25.81,24.59,1.0,1004.3,1.25,2.61,26,0.83,0,16.093,265.8
17,2020-09-06 05:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.6402,0.23,rain,24.45,25.68,24.45,1.0,1004.4,1.24,2.89,25,0.87,0,15.303,266.6
18,2020-09-06 06:00:00,Humid and Overcast,cloudy,0.5016,0.19,rain,24.57,25.75,24.57,1.0,1004.8,1.38,3.14,33,0.9,0,13.994,267.3
