,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.137,0.15,rain,29.72,38.06,26.83,0.85,1006.7,1.68,2.32,133,0.76,7,16.093,267.2
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.098,0.12,rain,30.81,40.27,26.97,0.8,1005.7,1.75,2.74,90,0.75,6,16.093,266.8
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0709,0.08,rain,31.77,42.05,27.07,0.76,1004.6,1.87,3.22,28,0.75,5,16.093,266.3
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0697,0.09,rain,32.28,43.15,27.23,0.75,1003.7,1.9,3.24,4,0.76,4,16.093,266.0
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0832,0.09,rain,32.17,43.5,27.52,0.77,1003.0,1.72,2.56,28,0.75,2,16.093,266.0
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1157,0.1,rain,31.25,41.91,27.49,0.8,1002.6,1.44,1.71,65,0.75,1,16.093,265.9
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1567,0.1,rain,30.16,39.93,27.49,0.86,1002.7,1.36,1.41,88,0.77,0,16.093,265.9
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2074,0.12,rain,29.08,37.66,27.38,0.91,1003.4,1.64,1.86,83,0.84,0,16.093,265.7
8,2020-09-05 20:00:00,Humid and Overcast,cloudy,0.2869,0.16,rain,27.85,35.02,27.23,0.96,1004.4,1.97,2.6,72,0.92,0,16.093,265.4
9,2020-09-05 21:00:00,Humid and Overcast,cloudy,0.52,0.2,rain,26.99,32.59,26.9,0.99,1005.1,2.09,3.01,64,0.97,0,16.093,264.9
10,2020-09-05 22:00:00,Humid and Overcast,cloudy,1.3811,0.24,rain,26.46,29.73,26.14,0.98,1005.2,1.96,2.97,58,0.96,0,16.093,264.0
11,2020-09-05 23:00:00,Rain and Humid,rain,2.9984,0.31,rain,26.02,28.38,25.65,0.98,1005.0,1.75,2.77,51,0.93,0,16.093,263.0
12,2020-09-06 00:00:00,Rain and Humid,rain,4.0036,0.37,rain,25.68,27.34,25.31,0.98,1004.9,1.57,2.59,42,0.9,0,16.093,262.6
13,2020-09-06 01:00:00,Rain and Humid,rain,3.3541,0.39,rain,25.37,26.48,25.07,0.98,1004.7,1.44,2.44,35,0.86,0,16.093,263.2
14,2020-09-06 02:00:00,Rain and Humid,rain,2.1773,0.33,rain,25.15,26.3,24.94,0.99,1004.4,1.32,2.3,30,0.83,0,16.093,264.0
15,2020-09-06 03:00:00,Rain and Humid,rain,1.3719,0.29,rain,24.87,26.06,24.87,1.0,1004.3,1.23,2.3,27,0.81,0,16.093,264.9
16,2020-09-06 04:00:00,Possible Light Rain and Humid,rain,0.8978,0.25,rain,24.59,25.82,24.59,1.0,1004.3,1.16,2.49,22,0.83,0,16.093,265.7
17,2020-09-06 05:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.6391,0.23,rain,24.45,25.69,24.45,1.0,1004.4,1.15,2.75,20,0.87,0,13.884,266.6
18,2020-09-06 06:00:00,Humid and Overcast,cloudy,0.5204,0.19,rain,24.57,25.76,24.57,1.0,1004.8,1.29,3.01,29,0.91,0,12.364,267.2
19,2020-09-06 07:00:00,Humid and Overcast,cloudy,0.3556,0.15,rain,25.31,26.81,25.31,1.0,1005.5,1.65,3.25,48,0.95,1,15.786,267.9
20,2020-09-06 08:00:00,Humid and Overcast,cloudy,0.2029,0.12,rain,26.56,30.26,26.28,0.98,1006.2,2.08,3.46,69,0.99,2,16.093,268.4
21,2020-09-06 09:00:00,Humid and Overcast,cloudy,0.127,0.11,rain,27.75,34.33,26.83,0.95,1006.6,2.32,3.5,93,1.0,4,16.093,268.1
22,2020-09-06 10:00:00,Humid and Overcast,cloudy,0.0985,0.11,rain,28.88,36.25,26.65,0.88,1006.6,2.37,3.33,123,0.96,5,16.093,266.5
23,2020-09-06 11:00:00,Humid and Overcast,cloudy,0.0923,0.12,rain,29.71,37.45,26.4,0.82,1006.2,2.4,3.07,149,0.91,6,16.093,264.7
24,2020-09-06 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0902,0.12,rain,30.38,38.32,26.17,0.78,1005.7,2.45,2.89,156,0.87,6,16.093,263.5
25,2020-09-06 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0838,0.08,rain,30.77,38.75,26.01,0.76,1005.1,2.47,2.82,146,0.83,6,16.093,263.3
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0795,0.08,rain,30.85,38.57,25.79,0.75,1004.4,2.44,2.78,137,0.8,5,16.093,263.5
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0879,0.08,rain,30.55,38.06,25.76,0.76,1003.9,2.35,2.76,142,0.79,4,16.093,263.5
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1118,0.1,rain,30.1,37.85,26.18,0.8,1003.5,2.18,2.72,124,0.8,2,16.093,263.3
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1481,0.12,rain,29.07,36.2,26.35,0.85,1003.5,2.03,2.72,82,0.82,1,16.093,263.1
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1701,0.14,rain,28.22,34.87,26.57,0.91,1003.8,2.04,2.8,57,0.83,0,16.093,263.1
31,2020-09-06 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1492,0.14,rain,27.59,33.73,26.61,0.94,1004.6,2.2,2.9,64,0.81,0,12.659,263.3
32,2020-09-06 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1278,0.14,rain,26.98,32.02,26.41,0.97,1005.5,2.43,3.15,78,0.79,0,9.121,263.5
33,2020-09-06 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1922,0.16,rain,26.45,29.73,26.15,0.98,1006.1,2.67,3.87,86,0.79,0,8.961,263.7
34,2020-09-06 22:00:00,Possible Light Rain and Humid,rain,0.4576,0.26,rain,25.95,28.16,25.64,0.98,1006.2,2.96,5.33,87,0.82,0,13.569,263.9
35,2020-09-06 23:00:00,Possible Light Rain and Humid,rain,0.8607,0.42,rain,25.51,26.92,25.34,0.99,1006.1,3.22,6.95,87,0.86,0,16.093,263.9
36,2020-09-07 00:00:00,Rain and Humid,rain,0.9679,0.46,rain,25.13,26.27,25.09,1.0,1005.9,3.27,7.82,85,0.9,0,16.093,263.7
37,2020-09-07 01:00:00,Possible Light Rain and Humid,rain,0.5617,0.38,rain,24.88,26.03,24.83,1.0,1005.6,3.05,7.66,83,0.94,0,16.093,263.1
38,2020-09-07 02:00:00,Humid and Overcast,cloudy,0.1675,0.22,rain,24.78,25.92,24.73,1.0,1005.3,2.75,7.07,79,0.98,0,16.093,262.4
39,2020-09-07 03:00:00,Humid and Overcast,cloudy,0.0572,0.15,rain,24.63,25.79,24.63,1.0,1005.2,2.58,6.5,79,1.0,0,16.093,262.0
40,2020-09-07 04:00:00,Humid and Overcast,cloudy,0.1528,0.15,rain,24.4,25.59,24.4,1.0,1005.1,2.57,5.96,81,1.0,0,16.093,262.2
41,2020-09-07 05:00:00,Humid and Overcast,cloudy,0.4001,0.19,rain,24.24,25.43,24.24,1.0,1005.3,2.66,5.44,85,1.0,0,16.093,262.7
42,2020-09-07 06:00:00,Humid and Overcast,cloudy,0.5097,0.19,rain,24.38,25.53,24.38,1.0,1005.6,2.86,5.24,87,0.99,0,16.093,263.1
43,2020-09-07 07:00:00,Humid and Overcast,cloudy,0.2861,0.14,rain,25.22,26.66,25.22,1.0,1006.4,3.29,5.55,83,0.92,1,16.093,263.5
44,2020-09-07 08:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0773,0.1,rain,26.52,29.95,26.02,0.97,1007.2,3.78,5.98,81,0.83,2,16.093,263.9
45,2020-09-07 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0249,0.1,rain,27.72,33.71,26.33,0.92,1007.8,3.98,5.98,82,0.74,4,16.093,263.8
46,2020-09-07 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0934,0.12,rain,28.84,36.02,26.55,0.87,1007.6,3.77,5.39,89,0.64,6,15.461,263.0
47,2020-09-07 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3423,0.22,rain,29.87,38.25,26.77,0.83,1007.1,3.38,4.56,97,0.57,8,6.569,261.9
48,2020-09-07 12:00:00,Possible Light Rain and Humid,rain,0.6071,0.29,rain,30.7,39.96,26.9,0.8,1006.5,3.0,3.77,104,0.58,8,3.699,261.2
