,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,2020-09-05 12:00:00,Clear,clear-day,0.0,0.0,5.94,4.34,5.94,1,1008.9,2.12,3.46,57,0.01,14,16.093,255.2,
1,2020-09-05 13:00:00,Clear,clear-day,0.0017,0.01,6.21,4.52,6.21,1,1007.6,2.28,3.77,10,0.01,14,16.093,254.7,rain
2,2020-09-05 14:00:00,Clear,clear-day,0.0073,0.03,5.89,4.05,5.89,1,1007.1,2.38,3.9,342,0.0,11,16.093,254.4,rain
3,2020-09-05 15:00:00,Clear,clear-day,0.0154,0.03,5.29,3.33,5.29,1,1006.7,2.4,3.86,332,0.02,8,16.093,254.3,rain
4,2020-09-05 16:00:00,Clear,clear-day,0.0276,0.04,4.53,2.48,4.53,1,1006.6,2.35,3.61,333,0.07,4,16.093,254.8,rain
5,2020-09-05 17:00:00,Clear,clear-day,0.0424,0.04,3.65,1.56,3.65,1,1006.9,2.23,3.23,338,0.13,1,16.093,255.5,rain
6,2020-09-05 18:00:00,Clear,clear-day,0.0487,0.04,2.91,0.88,2.91,1,1007.6,2.06,2.84,338,0.22,0,16.093,255.8,rain
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.0371,0.05,2.3,0.45,2.3,1,1009.4,1.81,2.41,337,0.37,0,16.093,255.9,rain
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.0218,0.05,1.68,0.06,1.68,1,1011.2,1.55,1.99,334,0.54,0,9.396,256.0,rain
9,2020-09-05 21:00:00,Mostly Cloudy,partly-cloudy-night,0.0156,0.05,1.13,0.03,1.13,1,1012.2,1.35,1.71,337,0.65,0,4.881,255.9,rain
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.016,0.04,0.75,0.85,0.75,1,1012.7,1.26,1.63,359,0.69,0,4.781,255.8,rain
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0188,0.04,0.46,0.46,0.46,1,1012.7,1.2,1.58,70,0.69,0,4.721,255.6,rain
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0163,0.04,0.25,0.25,0.25,1,1012.5,1.11,1.49,116,0.71,0,5.941,255.7,rain
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0081,0.03,0.26,0.26,0.26,1,1012.4,0.98,1.33,121,0.75,0,12.469,256.2,rain
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,0.3,0.3,0.3,1,1012.3,0.85,1.16,115,0.79,0,16.093,256.8,
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,0.33,0.33,0.33,1,1012.1,0.77,1.05,103,0.76,0,16.093,257.0,
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,0.16,0.16,0.16,1,1012.5,0.73,1.03,91,0.66,0,16.093,256.9,
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,-0.14,-0.14,-0.14,1,1012.6,0.73,1.08,81,0.53,0,16.093,256.5,
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,-0.03,-0.03,-0.03,1,1012.5,0.82,1.24,85,0.39,0,16.093,256.3,
