,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,2020-09-05 12:00:00,Clear,clear-day,0.0,0.0,16.53,17.06,16.53,1,1009.9,1.84,2.69,3,0.04,12,16.093,258.4,
1,2020-09-05 13:00:00,Clear,clear-day,0.0088,0.01,16.81,17.52,16.81,1,1008.6,1.91,2.98,4,0.21,11,16.093,257.6,rain
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.0379,0.04,16.06,17.05,16.06,1,1007.4,1.93,3.14,7,0.41,8,16.093,256.9,rain
3,2020-09-05 15:00:00,Partly Cloudy,partly-cloudy-day,0.0931,0.05,14.86,16.15,14.86,1,1006.9,1.91,3.1,12,0.54,5,16.093,256.6,rain
4,2020-09-05 16:00:00,Partly Cloudy,partly-cloudy-day,0.1906,0.07,13.41,15.11,13.41,1,1006.4,1.88,2.8,12,0.58,3,15.478,257.0,rain
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.3094,0.07,12.02,14.0,12.02,1,1006.3,1.81,2.36,16,0.58,1,15.12,257.6,rain
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.3409,0.08,10.98,13.0,10.98,1,1007.1,1.69,1.94,45,0.57,0,14.979,258.1,rain
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.2371,0.06,10.14,11.48,10.14,1,1008.6,1.51,1.64,110,0.56,0,14.952,258.4,rain
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1126,0.06,9.27,9.17,9.27,1,1010.6,1.33,1.4,80,0.53,0,15.246,258.6,rain
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.0471,0.04,8.66,9.98,8.66,1,1011.7,1.21,1.25,64,0.51,0,16.093,258.6,rain
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.0201,0.04,8.37,9.34,8.37,1,1012.1,1.18,1.19,62,0.53,0,16.093,258.4,rain
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.0101,0.03,8.25,9.01,8.25,1,1012.2,1.19,1.19,67,0.54,0,16.093,258.2,rain
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0078,0.02,8.11,8.7,8.11,1,1012.1,1.21,1.21,71,0.5,0,16.093,258.1,rain
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,8.11,8.57,8.11,1,1011.8,1.24,1.25,72,0.38,0,16.093,258.1,
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,8.25,8.6,8.25,1,1011.4,1.3,1.39,73,0.23,0,16.093,258.2,
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,8.59,8.77,8.59,1,1011.2,1.31,1.49,73,0.14,0,16.093,258.3,
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,8.51,8.56,8.51,1,1011.4,1.3,1.48,71,0.11,0,16.093,258.3,
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,8.12,8.12,8.12,1,1011.5,1.26,1.44,70,0.09,0,16.093,258.4,
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,8.01,8.05,8.01,1,1011.7,1.25,1.39,80,0.07,0,16.093,258.5,
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,8.74,8.89,8.74,1,1011.8,1.25,1.32,103,0.04,0,16.093,258.9,
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,10.12,10.44,10.12,1,1011.9,1.28,1.36,109,0.01,2,16.093,259.3,
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,11.83,12.23,11.83,1,1011.4,1.35,1.48,48,0.0,5,16.093,258.8,
22,2020-09-06 10:00:00,Clear,clear-day,0.0,0.0,13.45,13.91,13.45,1,1010.5,1.51,1.85,20,0.0,8,16.093,257.5,
23,2020-09-06 11:00:00,Clear,clear-day,0.0114,0.03,15.43,15.89,15.43,1,1009.2,1.69,2.51,11,0.01,11,16.093,255.8,rain
24,2020-09-06 12:00:00,Clear,clear-day,0.0339,0.03,16.59,17.14,16.59,1,1007.8,1.8,2.94,9,0.06,12,16.093,254.9,rain
25,2020-09-06 13:00:00,Clear,clear-day,0.0935,0.04,16.77,17.56,16.77,1,1006.9,1.83,3.1,13,0.19,11,16.093,254.9,rain
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.1922,0.06,15.89,17.07,15.89,1,1005.7,1.83,3.12,20,0.34,8,13.932,255.1,rain
27,2020-09-06 15:00:00,Partly Cloudy,partly-cloudy-day,0.2874,0.07,14.62,16.18,14.62,1,1004.9,1.81,3.03,28,0.44,6,12.515,255.2,rain
28,2020-09-06 16:00:00,Partly Cloudy,partly-cloudy-day,0.348,0.09,13.2,15.19,13.2,1,1005.1,1.79,2.82,32,0.48,3,13.426,254.9,rain
29,2020-09-06 17:00:00,Partly Cloudy,partly-cloudy-day,0.3715,0.1,11.96,14.15,11.96,1,1005.7,1.75,2.51,46,0.49,1,15.256,254.5,rain
30,2020-09-06 18:00:00,Partly Cloudy,partly-cloudy-day,0.3381,0.1,11.05,13.19,11.05,1,1006.7,1.66,2.17,84,0.52,0,16.093,254.5,rain
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.2422,0.09,10.23,11.66,10.23,1,1008.4,1.5,1.78,87,0.58,0,16.093,255.1,rain
32,2020-09-06 20:00:00,Mostly Cloudy,partly-cloudy-night,0.138,0.08,9.43,9.35,9.43,1,1010.5,1.33,1.51,74,0.63,0,16.093,255.7,rain
33,2020-09-06 21:00:00,Mostly Cloudy,partly-cloudy-night,0.0721,0.06,8.85,10.32,8.85,1,1011.9,1.21,1.36,71,0.65,0,16.093,255.8,rain
34,2020-09-06 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0367,0.04,8.52,9.66,8.52,1,1012.3,1.17,1.29,81,0.62,0,16.093,255.2,rain
35,2020-09-06 23:00:00,Partly Cloudy,partly-cloudy-night,0.0162,0.03,8.33,9.29,8.33,1,1012.5,1.17,1.26,77,0.56,0,16.093,254.3,rain
36,2020-09-07 00:00:00,Partly Cloudy,partly-cloudy-night,0.0068,0.01,8.19,8.98,8.19,1,1012.6,1.19,1.28,74,0.47,0,16.093,254.0,rain
37,2020-09-07 01:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,8.24,8.88,8.24,1,1012.1,1.26,1.43,73,0.37,0,16.093,254.4,
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,8.39,8.72,8.39,1,1011.7,1.35,1.64,73,0.25,0,16.093,255.1,
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,8.78,8.29,8.78,1,1011.4,1.41,1.76,72,0.17,0,16.093,255.6,
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,8.76,8.32,8.76,1,1012.0,1.43,1.78,69,0.15,0,16.093,255.8,
41,2020-09-07 05:00:00,Clear,clear-night,0.0036,0.01,8.4,7.91,8.4,1,1012.2,1.42,1.74,67,0.14,0,16.093,255.8,rain
42,2020-09-07 06:00:00,Clear,clear-night,0.0049,0.02,8.14,7.63,8.14,1,1012.4,1.42,1.67,76,0.12,0,16.093,255.7,rain
43,2020-09-07 07:00:00,Clear,clear-day,0.0,0.0,8.71,8.27,8.71,1,1012.5,1.41,1.56,101,0.07,0,16.093,255.7,
44,2020-09-07 08:00:00,Clear,clear-day,0.0,0.0,9.93,9.78,9.93,1,1012.4,1.41,1.53,114,0.02,2,16.093,255.5,
45,2020-09-07 09:00:00,Clear,clear-day,0.0,0.0,11.51,12.04,11.51,1,1012.0,1.46,1.66,67,0.0,5,16.093,254.8,
46,2020-09-07 10:00:00,Clear,clear-day,0.0,0.0,13.03,13.57,13.03,1,1011.6,1.58,1.97,22,0.0,8,16.093,253.7,
47,2020-09-07 11:00:00,Clear,clear-day,0.0,0.0,14.98,15.5,14.98,1,1010.8,1.72,2.5,10,0.01,11,16.093,252.4,
48,2020-09-07 12:00:00,Clear,clear-day,0.0061,0.01,16.17,16.78,16.17,1,1009.7,1.83,2.95,4,0.07,12,16.093,251.5,rain
