,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,2020-09-05 12:00:00,Clear,clear-day,0.0,0.0,12.05,12.9,12.05,1,1008.8,2.62,4.38,225,0.0,13,16.093,254.3,
1,2020-09-05 13:00:00,Clear,clear-day,0.0,0.0,12.34,13.43,12.34,1,1007.6,2.79,4.83,230,0.03,12,16.093,254.7,
2,2020-09-05 14:00:00,Clear,clear-day,0.0,0.0,11.78,13.39,11.78,1,1006.8,2.81,5.07,227,0.06,10,16.093,255.5,
3,2020-09-05 15:00:00,Clear,clear-day,0.0,0.0,10.85,12.12,10.85,1,1006.4,2.77,5.18,225,0.08,6,15.984,256.1,
4,2020-09-05 16:00:00,Clear,clear-day,0.0045,0.01,9.66,8.09,9.66,1,1006.2,2.68,5.14,224,0.08,3,15.761,256.2,rain
5,2020-09-05 17:00:00,Clear,clear-day,0.0072,0.04,8.61,7.16,8.61,1,1006.3,2.52,4.97,220,0.08,1,16.018,256.2,rain
6,2020-09-05 18:00:00,Clear,clear-day,0.0093,0.04,7.9,6.47,7.9,1,1006.9,2.34,4.77,213,0.1,0,16.093,256.7,rain
7,2020-09-05 19:00:00,Clear,clear-night,0.0079,0.04,7.4,6.06,7.4,1,1008.1,2.12,4.52,196,0.16,0,16.012,257.7,rain
8,2020-09-05 20:00:00,Clear,clear-night,0.0077,0.04,7.01,5.82,7.01,1,1009.5,1.89,4.23,182,0.23,0,16.026,258.6,rain
9,2020-09-05 21:00:00,Clear,clear-night,0.0073,0.03,6.76,5.71,6.76,1,1010.5,1.7,3.98,189,0.27,0,16.093,258.6,rain
10,2020-09-05 22:00:00,Clear,clear-night,0.0059,0.03,6.54,5.59,6.54,1,1010.7,1.6,3.77,177,0.29,0,16.093,257.1,rain
11,2020-09-05 23:00:00,Clear,clear-night,0.0,0.0,6.34,5.41,6.34,1,1010.8,1.52,3.55,167,0.29,0,16.093,255.1,
12,2020-09-06 00:00:00,Clear,clear-night,0.0,0.0,6.2,5.84,6.2,1,1010.7,1.39,3.24,158,0.26,0,16.093,253.8,
13,2020-09-06 01:00:00,Clear,clear-night,0.0,0.0,6.22,7.6,6.22,1,1010.5,1.21,2.81,135,0.19,0,16.093,253.7,
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,6.27,7.23,6.27,1,1010.4,1.04,2.35,106,0.1,0,16.093,253.9,
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,6.55,7.2,6.55,1,1010.3,0.9,1.98,83,0.05,0,16.093,254.4,
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,6.58,7.11,6.58,1,1010.4,0.8,1.71,84,0.06,0,16.093,255.0,
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,6.32,6.87,6.32,1,1010.5,0.75,1.5,88,0.08,0,16.093,255.8,
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,6.19,6.86,6.19,1,1010.7,0.75,1.44,57,0.09,0,16.093,256.7,
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,6.52,7.28,6.52,1,1010.8,0.78,1.5,358,0.06,1,16.093,258.0,
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,7.3,8.21,7.3,1,1010.9,0.87,1.69,303,0.02,2,16.093,259.2,
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,8.44,9.05,8.44,1,1010.6,1.1,2.08,306,0.0,6,16.093,259.2,
22,2020-09-06 10:00:00,Clear,clear-day,0.0,0.0,9.46,9.33,9.46,1,1009.9,1.49,2.75,137,0.0,9,16.093,257.4,
23,2020-09-06 11:00:00,Clear,clear-day,0.0,0.0,10.92,12.17,10.92,1,1008.8,1.97,3.54,198,0.0,12,16.093,255.0,
24,2020-09-06 12:00:00,Clear,clear-day,0.0061,0.01,11.93,13.16,11.93,1,1007.8,2.38,4.29,222,0.02,13,16.084,253.5,rain
25,2020-09-06 13:00:00,Clear,clear-day,0.0133,0.05,12.32,13.68,12.32,1,1006.4,2.72,5.02,225,0.04,12,15.648,253.3,rain
26,2020-09-06 14:00:00,Clear,clear-day,0.0213,0.06,11.82,13.57,11.82,1,1005.5,2.99,5.67,221,0.08,10,15.638,253.6,rain
27,2020-09-06 15:00:00,Clear,clear-day,0.025,0.06,10.85,12.13,10.85,1,1005.2,3.08,5.98,219,0.15,6,15.508,253.8,rain
28,2020-09-06 16:00:00,Clear,clear-day,0.0226,0.06,9.56,7.78,9.56,1,1005.3,2.95,5.85,220,0.23,3,14.946,253.7,rain
29,2020-09-06 17:00:00,Partly Cloudy,partly-cloudy-day,0.0212,0.06,8.34,6.72,8.34,1,1005.8,2.69,5.48,218,0.34,1,14.6,253.8,rain
30,2020-09-06 18:00:00,Partly Cloudy,partly-cloudy-day,0.0183,0.07,7.59,6.02,7.59,1,1006.7,2.44,5.09,213,0.48,0,15.497,253.9,rain
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.0085,0.05,7.28,5.82,7.28,1,1008.3,2.23,4.72,203,0.67,0,16.093,254.1,rain
32,2020-09-06 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,7.08,5.78,7.08,1,1009.7,2.01,4.29,202,0.85,0,16.093,254.1,
33,2020-09-06 21:00:00,Overcast,cloudy,0.0,0.0,6.88,5.76,6.88,1,1010.5,1.8,3.91,202,0.93,0,16.093,254.0,
34,2020-09-06 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,6.58,5.55,6.58,1,1010.6,1.62,3.57,196,0.86,0,16.093,253.5,
35,2020-09-06 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,6.33,6.03,6.33,1,1010.7,1.44,3.27,191,0.73,0,16.093,252.8,
36,2020-09-07 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,6.21,8.07,6.21,1,1010.7,1.3,2.99,183,0.6,0,16.093,252.2,
37,2020-09-07 01:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,6.36,7.85,6.36,1,1010.6,1.19,2.76,166,0.47,0,16.093,251.6,
38,2020-09-07 02:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,6.58,7.91,6.58,1,1010.3,1.11,2.56,138,0.34,0,16.093,251.2,
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,6.91,7.99,6.91,1,1010.5,1.0,2.29,110,0.25,0,16.093,251.2,
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,6.86,7.84,6.86,1,1011.2,0.84,1.9,100,0.2,0,16.093,251.6,
41,2020-09-07 05:00:00,Clear,clear-night,0.0037,0.01,6.53,7.57,6.53,1,1011.4,0.69,1.55,102,0.18,0,16.093,252.1,rain
42,2020-09-07 06:00:00,Clear,clear-day,0.0047,0.04,6.3,7.51,6.3,1,1011.6,0.69,1.48,69,0.14,0,16.093,252.5,rain
43,2020-09-07 07:00:00,Clear,clear-day,0.0,0.0,6.48,7.86,6.48,1,1011.5,0.84,1.79,355,0.09,1,16.093,253.0,
44,2020-09-07 08:00:00,Clear,clear-day,0.0,0.0,7.15,8.79,7.15,1,1011.4,1.09,2.29,295,0.03,3,16.093,253.4,
45,2020-09-07 09:00:00,Clear,clear-day,0.0,0.0,8.21,9.29,8.21,1,1011.2,1.41,2.8,308,0.0,6,16.093,253.2,
