,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,2020-09-05 12:00:00,Clear,clear-day,0.0,0.0,12.04,13.34,12.04,1,1008.9,2.49,3.98,230,0.03,13,16.093,254.3,
1,2020-09-05 13:00:00,Clear,clear-day,0.007,0.01,12.26,13.82,12.26,1,1008.0,2.62,4.35,234,0.11,12,14.174,254.7,rain
2,2020-09-05 14:00:00,Clear,clear-day,0.0155,0.02,11.59,13.69,11.59,1,1006.6,2.6,4.54,231,0.2,9,12.358,255.7,rain
3,2020-09-05 15:00:00,Clear,clear-day,0.0217,0.03,10.65,12.34,10.65,1,1006.1,2.55,4.63,229,0.27,6,11.224,256.4,rain
4,2020-09-05 16:00:00,Clear,clear-day,0.021,0.03,9.47,7.98,9.47,1,1005.9,2.46,4.59,228,0.28,3,10.991,256.4,rain
5,2020-09-05 17:00:00,Clear,clear-day,0.0205,0.05,8.56,7.26,8.56,1,1006.1,2.32,4.46,225,0.28,1,11.224,256.4,rain
6,2020-09-05 18:00:00,Clear,clear-day,0.0201,0.05,7.91,6.63,7.91,1,1006.6,2.15,4.28,221,0.29,0,11.425,256.8,rain
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.0157,0.05,7.48,6.31,7.48,1,1007.7,1.94,4.03,211,0.32,0,11.535,257.8,rain
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.011,0.04,7.1,6.09,7.1,1,1009.4,1.72,3.73,200,0.35,0,11.86,258.8,rain
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.0076,0.04,6.79,5.93,6.79,1,1010.4,1.55,3.48,188,0.37,0,12.848,258.8,rain
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.0055,0.03,6.51,5.67,6.51,1,1010.7,1.46,3.29,165,0.39,0,14.7,257.3,rain
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,6.29,6.02,6.29,1,1010.7,1.4,3.09,145,0.39,0,16.093,255.3,
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,6.15,7.83,6.15,1,1010.6,1.29,2.82,146,0.35,0,16.093,254.0,
13,2020-09-06 01:00:00,Clear,clear-night,0.0,0.0,6.19,7.48,6.19,1,1010.4,1.14,2.45,114,0.26,0,16.093,253.8,
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,6.25,7.31,6.25,1,1010.2,0.99,2.06,82,0.16,0,16.093,254.0,
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,6.56,7.3,6.56,1,1010.1,0.88,1.76,61,0.09,0,16.093,254.5,
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,6.62,7.25,6.62,1,1010.2,0.81,1.56,57,0.09,0,16.093,255.1,
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,6.38,7.04,6.38,1,1010.3,0.78,1.42,59,0.11,0,16.093,255.9,
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,6.27,7.06,6.27,1,1010.4,0.78,1.38,42,0.1,0,16.093,256.8,
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,6.62,7.51,6.62,1,1010.6,0.81,1.41,5,0.06,1,16.093,258.1,
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,7.36,8.41,7.36,1,1010.7,0.89,1.56,319,0.02,2,16.093,259.2,
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,8.53,9.26,8.53,1,1010.6,1.1,1.9,307,0.0,6,16.093,259.1,
22,2020-09-06 10:00:00,Clear,clear-day,0.0038,0.01,9.55,9.49,9.55,1,1010.0,1.47,2.52,140,0.0,9,16.093,257.3,rain
23,2020-09-06 11:00:00,Clear,clear-day,0.0072,0.04,11.06,12.64,11.06,1,1008.8,1.93,3.28,207,0.01,12,14.571,255.0,rain
24,2020-09-06 12:00:00,Clear,clear-day,0.0148,0.04,12.0,13.62,12.0,1,1007.4,2.29,3.96,228,0.05,13,11.637,253.5,rain
25,2020-09-06 13:00:00,Clear,clear-day,0.0281,0.06,12.29,14.06,12.29,1,1006.5,2.58,4.58,231,0.14,12,11.372,253.4,rain
26,2020-09-06 14:00:00,Clear,clear-day,0.0439,0.07,11.65,13.84,11.65,1,1005.8,2.79,5.11,227,0.26,9,11.485,253.7,rain
27,2020-09-06 15:00:00,Partly Cloudy,partly-cloudy-day,0.0528,0.07,10.64,12.29,10.64,1,1005.4,2.85,5.35,224,0.36,6,11.376,253.9,rain
28,2020-09-06 16:00:00,Partly Cloudy,partly-cloudy-day,0.0505,0.07,9.36,7.67,9.36,1,1005.6,2.72,5.22,224,0.42,3,10.642,253.9,rain
29,2020-09-06 17:00:00,Partly Cloudy,partly-cloudy-day,0.0434,0.07,8.3,6.82,8.3,1,1006.1,2.48,4.88,223,0.52,1,10.075,253.9,rain
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.0332,0.07,7.6,6.18,7.6,1,1006.9,2.25,4.51,221,0.63,0,11.064,254.0,rain
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.0178,0.05,7.34,6.07,7.34,1,1008.2,2.03,4.14,217,0.78,0,15.617,254.2,rain
32,2020-09-06 20:00:00,Overcast,cloudy,0.0067,0.01,7.15,6.07,7.15,1,1010.0,1.81,3.71,211,0.93,0,16.093,254.3,rain
33,2020-09-06 21:00:00,Overcast,cloudy,0.0,0.0,6.91,5.94,6.91,1,1010.9,1.6,3.34,204,0.99,0,16.093,254.1,
34,2020-09-06 22:00:00,Overcast,cloudy,0.0,0.0,6.56,6.34,6.56,1,1011.2,1.44,3.04,199,0.91,0,16.093,253.6,
35,2020-09-06 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,6.3,8.43,6.3,1,1011.2,1.3,2.77,193,0.76,0,16.093,252.9,
36,2020-09-07 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,6.17,7.91,6.17,1,1011.1,1.18,2.54,181,0.61,0,16.093,252.2,
37,2020-09-07 01:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,6.33,7.89,6.33,1,1010.9,1.09,2.36,157,0.46,0,16.093,251.6,
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,6.56,7.98,6.56,1,1010.3,1.02,2.2,118,0.31,0,16.093,251.2,
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,6.91,8.11,6.91,1,1010.2,0.92,1.99,88,0.21,0,16.093,251.2,
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,6.88,7.98,6.88,1,1011.0,0.78,1.68,75,0.16,0,16.093,251.6,
41,2020-09-07 05:00:00,Clear,clear-night,0.0037,0.01,6.6,7.76,6.6,1,1011.2,0.66,1.4,76,0.15,0,16.093,252.2,rain
42,2020-09-07 06:00:00,Clear,clear-day,0.0047,0.04,6.4,7.73,6.4,1,1011.3,0.67,1.36,55,0.12,0,16.093,252.7,rain
43,2020-09-07 07:00:00,Clear,clear-day,0.0,0.0,6.58,8.09,6.58,1,1011.3,0.84,1.66,0,0.08,1,16.093,253.2,
44,2020-09-07 08:00:00,Clear,clear-day,0.0,0.0,7.22,9.01,7.22,1,1011.6,1.1,2.11,305,0.03,2,16.093,253.5,
45,2020-09-07 09:00:00,Clear,clear-day,0.0,0.0,8.32,9.53,8.32,1,1011.3,1.4,2.58,306,0.01,6,16.022,253.3,
46,2020-09-07 10:00:00,Clear,clear-day,0.0067,0.01,9.35,9.04,9.35,1,1010.7,1.75,3.06,108,0.02,9,13.64,252.6,rain
47,2020-09-07 11:00:00,Clear,clear-day,0.0192,0.05,10.92,13.01,10.92,1,1009.4,2.13,3.56,197,0.04,12,11.491,251.6,rain
48,2020-09-07 12:00:00,Clear,clear-day,0.0333,0.05,11.88,13.81,11.88,1,1008.7,2.42,4.06,223,0.12,12,10.427,250.9,rain
