,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.1315,0.05,rain,18.35,19.75,18.35,1,1008.6,1.81,2.24,196,0.3,11,5.205,259.5
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.2272,0.06,rain,18.81,20.34,18.81,1,1007.5,1.73,1.94,201,0.35,10,4.976,260.5
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.3375,0.07,rain,18.32,20.1,18.32,1,1006.3,1.53,1.57,196,0.4,8,6.35,261.7
3,2020-09-05 15:00:00,Partly Cloudy,partly-cloudy-day,0.4184,0.07,rain,17.35,19.5,17.35,1,1005.6,1.31,1.33,185,0.44,6,7.229,262.5
4,2020-09-05 16:00:00,Partly Cloudy,partly-cloudy-day,0.4474,0.08,rain,16.04,18.62,16.04,1,1005.3,1.07,1.2,170,0.49,3,7.089,262.5
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.4365,0.09,rain,14.74,17.59,14.74,1,1005.3,0.82,1.24,146,0.52,1,7.205,262.1
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.3726,0.08,rain,13.71,16.58,13.71,1,1005.6,0.69,1.23,112,0.49,0,8.639,262.3
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.2512,0.08,rain,12.64,15.17,12.64,1,1006.6,0.7,1.04,77,0.39,0,13.941,263.0
8,2020-09-05 20:00:00,Clear,clear-night,0.1326,0.06,rain,11.74,13.76,11.74,1,1008.1,0.78,0.85,42,0.26,0,16.093,263.8
9,2020-09-05 21:00:00,Clear,clear-night,0.0653,0.05,rain,11.12,12.72,11.12,1,1009.0,0.86,0.86,19,0.17,0,16.093,263.6
10,2020-09-05 22:00:00,Clear,clear-night,0.0332,0.04,rain,10.84,12.14,10.84,1,1009.1,0.92,0.98,13,0.13,0,16.093,261.9
11,2020-09-05 23:00:00,Clear,clear-night,0.0167,0.04,rain,10.76,11.82,10.76,1,1008.9,0.99,1.18,14,0.12,0,16.093,259.6
12,2020-09-06 00:00:00,Clear,clear-night,0.0101,0.04,rain,10.74,11.62,10.74,1,1008.4,1.04,1.35,15,0.13,0,16.093,258.5
13,2020-09-06 01:00:00,Clear,clear-night,0.008,0.04,rain,10.82,11.51,10.82,1,1008.1,1.07,1.48,12,0.18,0,16.093,258.6
14,2020-09-06 02:00:00,Clear,clear-night,0.0081,0.03,rain,11.09,11.64,11.09,1,1007.9,1.1,1.58,10,0.24,0,16.093,259.2
15,2020-09-06 03:00:00,Clear,clear-night,0.008,0.02,rain,11.66,12.05,11.66,1,1007.7,1.13,1.63,9,0.27,0,16.093,259.9
16,2020-09-06 04:00:00,Clear,clear-night,0.0084,0.02,rain,11.82,12.11,11.82,1,1007.7,1.17,1.63,7,0.25,0,16.093,260.5
17,2020-09-06 05:00:00,Clear,clear-night,0.0099,0.02,rain,11.58,11.8,11.58,1,1007.9,1.2,1.58,7,0.21,0,16.093,261.2
18,2020-09-06 06:00:00,Clear,clear-day,0.0088,0.02,rain,11.53,11.85,11.53,1,1008.0,1.19,1.46,20,0.16,0,16.093,261.8
19,2020-09-06 07:00:00,Clear,clear-day,0.0052,0.02,rain,12.1,12.7,12.1,1,1008.2,1.08,1.21,35,0.09,1,16.093,262.5
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,13.27,14.21,13.27,1,1008.6,0.97,0.97,243,0.03,2,16.093,262.9
21,2020-09-06 09:00:00,Clear,clear-day,0.0043,0.01,rain,14.75,15.9,14.75,1,1008.6,1.01,1.01,270,0.0,6,16.093,262.6
22,2020-09-06 10:00:00,Clear,clear-day,0.0165,0.04,rain,15.98,17.28,15.98,1,1008.5,1.27,1.28,292,0.04,9,16.093,261.1
23,2020-09-06 11:00:00,Clear,clear-day,0.0656,0.05,rain,17.63,18.92,17.63,1,1008.3,1.6,1.67,168,0.1,11,15.13,259.2
24,2020-09-06 12:00:00,Clear,clear-day,0.1517,0.06,rain,18.59,19.98,18.59,1,1007.3,1.76,1.91,191,0.2,12,11.368,258.0
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.2779,0.07,rain,18.78,20.36,18.78,1,1006.2,1.72,1.85,192,0.33,10,8.786,257.6
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.4333,0.08,rain,17.95,19.89,17.95,1,1005.2,1.59,1.69,184,0.48,8,6.724,257.5
27,2020-09-06 15:00:00,Partly Cloudy,partly-cloudy-day,0.5476,0.08,rain,16.8,19.18,16.8,1,1004.8,1.41,1.53,175,0.59,5,5.005,257.7
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.586,0.09,rain,15.58,18.38,15.58,1,1004.8,1.19,1.42,167,0.68,3,3.437,258.2
29,2020-09-06 17:00:00,Foggy,fog,0.57,0.1,rain,14.5,17.46,14.5,1,1005.2,0.95,1.44,153,0.74,1,2.702,258.7
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5122,0.1,rain,13.51,16.49,13.51,1,1005.9,0.77,1.34,122,0.76,0,3.787,259.0
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.4157,0.09,rain,12.6,15.23,12.6,1,1007.1,0.68,1.07,85,0.73,0,9.875,259.0
32,2020-09-06 20:00:00,Mostly Cloudy,partly-cloudy-night,0.3014,0.08,rain,11.73,13.9,11.73,1,1008.5,0.63,0.77,50,0.65,0,16.093,258.7
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.1964,0.08,rain,11.12,12.89,11.12,1,1009.7,0.65,0.66,26,0.58,0,16.093,258.4
34,2020-09-06 22:00:00,Partly Cloudy,partly-cloudy-night,0.1002,0.06,rain,10.94,12.38,10.94,1,1010.2,0.74,0.75,18,0.52,0,16.093,257.7
35,2020-09-06 23:00:00,Partly Cloudy,partly-cloudy-night,0.0366,0.05,rain,10.91,12.12,10.91,1,1010.0,0.87,0.95,17,0.45,0,16.093,257.1
36,2020-09-07 00:00:00,Partly Cloudy,partly-cloudy-night,0.0119,0.04,rain,10.86,11.88,10.86,1,1009.5,0.95,1.08,16,0.36,0,16.093,256.8
37,2020-09-07 01:00:00,Clear,clear-night,0.0035,0.03,rain,10.82,11.65,10.82,1,1008.6,0.97,1.09,12,0.25,0,16.093,256.8
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,10.89,11.6,10.89,1,1007.9,0.98,1.08,10,0.14,0,16.093,257.0
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,11.35,11.93,11.35,1,1007.5,0.98,1.1,7,0.07,0,16.093,257.3
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,11.55,12.05,11.55,1,1008.3,1.01,1.16,0,0.05,0,16.093,257.6
41,2020-09-07 05:00:00,Clear,clear-night,0.0036,0.01,rain,11.39,11.86,11.39,1,1008.4,1.04,1.24,357,0.05,0,16.093,258.1
42,2020-09-07 06:00:00,Clear,clear-day,0.0049,0.02,rain,11.39,11.99,11.39,1,1008.7,1.05,1.29,20,0.06,0,16.093,258.5
43,2020-09-07 07:00:00,Clear,clear-day,0.0034,0.01,rain,11.97,12.85,11.97,1,1009.1,1.03,1.23,77,0.08,1,16.093,259.0
44,2020-09-07 08:00:00,Clear,clear-day,0.0082,0.04,rain,13.17,14.39,13.17,1,1009.7,1.02,1.17,153,0.1,2,16.093,259.4
45,2020-09-07 09:00:00,Clear,clear-day,0.0346,0.06,rain,14.59,16.03,14.59,1,1010.5,1.11,1.23,209,0.14,5,16.093,259.3
46,2020-09-07 10:00:00,Clear,clear-day,0.1135,0.08,rain,15.72,17.35,15.72,1,1010.0,1.35,1.5,212,0.18,8,13.693,258.3
47,2020-09-07 11:00:00,Clear,clear-day,0.2537,0.09,rain,17.24,18.86,17.24,1,1009.1,1.61,1.82,201,0.24,10,10.008,257.1
48,2020-09-07 12:00:00,Partly Cloudy,partly-cloudy-day,0.3823,0.09,rain,18.18,19.85,18.18,1,1008.2,1.7,1.9,193,0.36,11,8.225,256.4
