,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,2020-09-05 11:45:00,Clear,clear-day,0.0,0.0,15.07,15.07,5.5,0.53,1007.1,2.77,4.08,190,0.0,14,16.093,254.9,
1,2020-09-05 12:45:00,Clear,clear-day,0.0,0.0,16.86,16.86,5.12,0.46,1005.8,3.35,4.81,198,0.0,13,16.093,254.4,
2,2020-09-05 13:45:00,Clear,clear-day,0.0,0.0,17.91,17.91,5.16,0.43,1004.7,3.95,5.45,198,0.0,11,16.093,254.1,
3,2020-09-05 14:45:00,Clear,clear-day,0.0,0.0,17.36,17.36,5.71,0.46,1004.0,4.28,5.88,196,0.0,8,16.093,254.1,
4,2020-09-05 15:45:00,Clear,clear-day,0.0,0.0,15.85,15.85,7.21,0.56,1004.0,4.2,6.0,196,0.0,4,16.093,254.5,
5,2020-09-05 16:45:00,Clear,clear-day,0.0051,0.02,13.57,13.57,9.28,0.75,1005.0,3.86,5.92,194,0.0,2,16.093,255.3,rain
6,2020-09-05 17:45:00,Clear,clear-day,0.0093,0.03,11.56,11.56,10.88,0.96,1005.9,3.44,5.71,194,0.0,0,16.093,255.7,rain
7,2020-09-05 18:45:00,Clear,clear-night,0.0074,0.03,9.04,7.4,9.04,1.0,1007.5,2.93,5.37,201,0.0,0,16.093,256.0,rain
8,2020-09-05 19:45:00,Clear,clear-night,0.0,0.0,6.88,5.26,6.88,1.0,1009.0,2.34,4.92,207,0.0,0,16.093,256.1,
9,2020-09-05 20:45:00,Clear,clear-night,0.0,0.0,5.14,3.64,5.14,1.0,1010.4,1.9,4.56,200,0.0,0,16.093,255.9,
10,2020-09-05 21:45:00,Clear,clear-night,0.0,0.0,4.09,2.6,4.09,1.0,1011.2,1.74,4.48,160,0.0,0,16.093,255.3,
11,2020-09-05 22:45:00,Clear,clear-night,0.0056,0.04,3.4,1.79,3.4,1.0,1011.8,1.75,4.51,88,0.01,0,16.093,254.6,rain
12,2020-09-05 23:45:00,Clear,clear-night,0.0053,0.04,2.76,1.06,2.76,1.0,1011.9,1.75,4.33,277,0.02,0,16.093,253.9,rain
13,2020-09-06 00:45:00,Clear,clear-night,0.0,0.0,2.26,0.56,2.26,1.0,1011.8,1.68,3.71,268,0.04,0,16.093,253.7,
14,2020-09-06 01:45:00,Clear,clear-night,0.0,0.0,1.79,0.13,1.79,1.0,1011.7,1.61,2.88,299,0.07,0,16.093,253.5,
15,2020-09-06 02:45:00,Clear,clear-night,0.0,0.0,1.47,-0.13,1.47,1.0,1011.5,1.53,2.2,7,0.09,0,16.093,253.6,
16,2020-09-06 03:45:00,Clear,clear-night,0.0,0.0,0.95,-0.57,0.95,1.0,1012.0,1.44,1.75,15,0.09,0,16.093,254.0,
17,2020-09-06 04:45:00,Clear,clear-night,0.0,0.0,0.33,-1.12,0.33,1.0,1012.5,1.34,1.44,9,0.09,0,16.093,254.5,
18,2020-09-06 05:45:00,Clear,clear-night,0.0,0.0,0.52,0.52,0.52,1.0,1012.6,1.31,1.4,14,0.08,0,16.093,255.3,
19,2020-09-06 06:45:00,Clear,clear-day,0.0,0.0,1.77,1.77,1.77,1.0,1012.3,1.29,1.65,34,0.06,0,16.093,256.2,
20,2020-09-06 07:45:00,Clear,clear-day,0.0,0.0,3.92,3.92,3.92,1.0,1011.8,1.34,2.18,73,0.02,2,16.093,257.4,
21,2020-09-06 08:45:00,Clear,clear-day,0.0,0.0,6.26,5.34,6.26,1.0,1010.9,1.54,2.75,103,0.0,5,16.093,257.6,
22,2020-09-06 09:45:00,Clear,clear-day,0.0,0.0,9.07,8.12,7.09,0.87,1009.5,1.98,3.29,134,0.0,9,16.093,256.5,
23,2020-09-06 10:45:00,Clear,clear-day,0.0,0.0,11.94,11.94,7.1,0.72,1007.5,2.58,3.87,165,0.0,12,16.093,254.4,
24,2020-09-06 11:45:00,Clear,clear-day,0.0,0.0,14.82,14.82,6.87,0.59,1006.1,3.15,4.49,188,0.0,14,16.093,252.8,
25,2020-09-06 12:45:00,Clear,clear-day,0.0,0.0,16.63,16.63,6.58,0.51,1004.9,3.69,5.23,196,0.0,13,16.093,252.5,
26,2020-09-06 13:45:00,Clear,clear-day,0.0,0.0,17.69,17.69,6.43,0.48,1004.0,4.21,5.99,196,0.0,11,16.093,252.6,
27,2020-09-06 14:45:00,Clear,clear-day,0.0072,0.02,17.17,17.17,6.84,0.51,1003.9,4.49,6.56,196,0.0,8,16.093,252.8,rain
28,2020-09-06 15:45:00,Clear,clear-day,0.0087,0.03,15.58,15.58,8.17,0.61,1004.0,4.45,6.83,196,0.01,4,16.093,252.6,rain
29,2020-09-06 16:45:00,Clear,clear-day,0.0112,0.03,13.32,13.32,10.18,0.81,1004.7,4.19,6.9,194,0.02,1,16.093,252.4,rain
30,2020-09-06 17:45:00,Clear,clear-day,0.0113,0.03,11.28,11.28,11.28,1.0,1005.8,3.8,6.83,193,0.03,0,16.093,252.4,rain
31,2020-09-06 18:45:00,Clear,clear-night,0.0059,0.04,8.73,6.83,8.73,1.0,1007.5,3.26,6.61,198,0.07,0,16.093,252.8,rain
32,2020-09-06 19:45:00,Clear,clear-night,0.0,0.0,6.54,4.65,6.54,1.0,1009.1,2.6,6.26,204,0.12,0,16.093,253.5,
33,2020-09-06 20:45:00,Clear,clear-night,0.0,0.0,4.83,3.09,4.83,1.0,1010.3,2.08,5.89,197,0.15,0,16.093,253.8,
34,2020-09-06 21:45:00,Clear,clear-night,0.0,0.0,3.85,2.21,3.85,1.0,1011.0,1.84,5.54,163,0.16,0,16.093,253.5,
35,2020-09-06 22:45:00,Clear,clear-night,0.0,0.0,3.34,1.74,3.34,1.0,1011.4,1.74,5.17,97,0.15,0,16.093,252.8,
36,2020-09-06 23:45:00,Clear,clear-night,0.0,0.0,2.9,1.31,2.9,1.0,1011.7,1.68,4.75,280,0.15,0,16.093,252.2,
