,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.3367,0.06,rain,24.39,25.04,21.23,0.83,1008.1,1.44,2.24,229,0.33,10,8.082,261.0
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.4872,0.07,rain,25.07,25.8,21.92,0.83,1007.1,1.29,1.88,232,0.42,9,7.688,262.0
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6193,0.07,rain,24.94,25.74,22.45,0.86,1006.2,1.09,1.39,214,0.5,7,8.665,263.2
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6943,0.08,rain,24.1,25.03,23.1,0.94,1005.5,0.97,1.22,181,0.56,5,9.527,264.0
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6899,0.08,rain,23.01,24.13,23.01,1.0,1005.3,0.96,1.24,235,0.62,3,9.995,263.9
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.6268,0.08,rain,21.82,23.09,21.82,1.0,1005.3,0.98,1.36,311,0.65,1,10.723,263.6
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5161,0.08,rain,20.61,21.85,20.61,1.0,1005.6,1.0,1.38,288,0.63,0,11.953,263.8
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.3604,0.08,rain,19.42,20.47,19.42,1.0,1006.6,1.01,1.25,32,0.53,0,14.22,264.6
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.2109,0.06,rain,18.37,19.11,18.37,1.0,1007.7,1.03,1.1,6,0.4,0,16.093,265.3
9,2020-09-05 21:00:00,Clear,clear-night,0.1159,0.05,rain,17.53,18.02,17.53,1.0,1008.5,1.07,1.07,347,0.31,0,16.093,265.2
10,2020-09-05 22:00:00,Clear,clear-night,0.0593,0.04,rain,17.1,17.43,16.77,0.98,1009.1,1.14,1.19,345,0.27,0,16.093,263.6
11,2020-09-05 23:00:00,Clear,clear-night,0.0257,0.03,rain,16.87,17.08,16.0,0.95,1009.3,1.21,1.38,350,0.26,0,16.093,261.6
12,2020-09-06 00:00:00,Clear,clear-night,0.0126,0.03,rain,16.65,16.8,15.5,0.93,1008.9,1.28,1.54,353,0.24,0,16.093,260.4
