,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.1827,0.05,rain,21.06,22.14,21.06,1.0,1008.4,1.76,2.48,287,0.31,10,5.28,259.4
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.2763,0.06,rain,21.6,22.8,21.6,1.0,1007.4,1.58,2.02,290,0.45,9,4.765,260.3
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.3666,0.06,rain,21.18,22.53,21.18,1.0,1006.3,1.35,1.44,294,0.6,7,5.784,261.7
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.4226,0.07,rain,20.19,21.75,20.19,1.0,1005.7,1.2,1.29,291,0.69,5,6.454,262.5
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.4278,0.08,rain,18.83,20.6,18.83,1.0,1005.5,1.17,1.28,285,0.7,3,6.4,262.4
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.396,0.08,rain,17.5,19.39,17.5,1.0,1005.5,1.17,1.38,299,0.68,1,6.522,262.1
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.33,0.08,rain,16.56,18.42,16.56,1.0,1005.9,1.18,1.42,320,0.65,0,7.199,262.3
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.2339,0.07,rain,15.9,17.46,15.9,1.0,1006.9,1.18,1.34,46,0.6,0,9.297,263.1
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1412,0.06,rain,15.31,16.53,15.31,1.0,1008.1,1.2,1.24,17,0.54,0,12.008,263.9
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.0798,0.05,rain,14.83,15.76,14.83,1.0,1009.3,1.25,1.25,359,0.48,0,15.029,263.9
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.039,0.04,rain,14.6,15.32,14.6,1.0,1009.7,1.3,1.32,358,0.43,0,16.093,262.4
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.0149,0.04,rain,14.41,14.95,14.41,1.0,1009.3,1.37,1.44,5,0.38,0,16.093,260.4
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0069,0.03,rain,14.21,14.62,14.21,1.0,1009.1,1.44,1.56,8,0.33,0,16.093,259.2
13,2020-09-06 01:00:00,Clear,clear-night,0.0055,0.03,rain,14.05,14.32,14.05,1.0,1009.0,1.52,1.67,7,0.25,0,16.093,259.0
14,2020-09-06 02:00:00,Clear,clear-night,0.0055,0.03,rain,14.05,14.27,14.05,1.0,1008.8,1.59,1.78,5,0.18,0,16.093,259.1
15,2020-09-06 03:00:00,Clear,clear-night,0.0052,0.02,rain,14.24,14.36,14.24,1.0,1008.6,1.65,1.86,4,0.13,0,16.093,259.7
16,2020-09-06 04:00:00,Clear,clear-night,0.0052,0.02,rain,14.07,14.09,13.7,0.98,1008.5,1.68,1.89,1,0.11,0,16.093,260.4
17,2020-09-06 05:00:00,Clear,clear-night,0.0054,0.02,rain,13.79,13.78,13.26,0.97,1008.5,1.69,1.88,0,0.1,0,16.093,261.4
18,2020-09-06 06:00:00,Clear,clear-day,0.0053,0.02,rain,13.62,13.64,13.43,0.99,1008.6,1.66,1.81,8,0.08,0,16.093,262.1
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,14.25,14.44,14.25,1.0,1008.9,1.57,1.64,28,0.04,1,16.093,262.6
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,15.52,15.97,15.52,1.0,1009.3,1.48,1.48,17,0.01,2,16.093,262.9
21,2020-09-06 09:00:00,Clear,clear-day,0.0044,0.01,rain,17.11,17.73,17.11,1.0,1009.4,1.45,1.45,308,0.0,5,16.093,262.5
22,2020-09-06 10:00:00,Clear,clear-day,0.0172,0.04,rain,18.63,19.43,18.63,1.0,1009.1,1.55,1.58,306,0.03,8,16.093,260.9
23,2020-09-06 11:00:00,Clear,clear-day,0.066,0.05,rain,20.46,21.36,20.46,1.0,1008.5,1.67,1.9,260,0.08,11,16.093,259.1
24,2020-09-06 12:00:00,Clear,clear-day,0.155,0.06,rain,21.61,22.64,21.61,1.0,1007.2,1.69,2.15,266,0.19,11,13.802,257.9
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.2991,0.06,rain,21.89,23.08,21.89,1.0,1006.3,1.59,1.91,278,0.39,9,10.993,257.5
26,2020-09-06 14:00:00,Mostly Cloudy,partly-cloudy-day,0.4838,0.07,rain,21.1,22.55,21.1,1.0,1005.4,1.45,1.58,316,0.62,7,8.432,257.5
27,2020-09-06 15:00:00,Mostly Cloudy,partly-cloudy-day,0.615,0.08,rain,19.95,21.64,19.95,1.0,1004.9,1.34,1.48,9,0.77,4,6.169,257.8
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.6329,0.1,rain,18.69,20.6,18.69,1.0,1005.0,1.28,1.45,350,0.84,2,3.816,258.3
29,2020-09-06 17:00:00,Foggy,fog,0.5847,0.11,rain,17.56,19.55,17.56,1.0,1005.4,1.25,1.49,338,0.86,1,2.348,258.9
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5075,0.11,rain,16.64,18.6,16.64,1.0,1006.1,1.2,1.45,22,0.86,0,3.87,259.3
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.4115,0.1,rain,16.06,17.69,16.06,1.0,1007.3,1.13,1.31,41,0.85,0,10.718,259.4
32,2020-09-06 20:00:00,Mostly Cloudy,partly-cloudy-night,0.3003,0.08,rain,15.42,16.71,15.42,1.0,1008.7,1.08,1.14,22,0.8,0,16.093,259.2
33,2020-09-06 21:00:00,Mostly Cloudy,partly-cloudy-night,0.1869,0.07,rain,15.03,16.02,15.03,1.0,1009.8,1.09,1.1,6,0.75,0,16.093,259.0
