,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.1616,0.09,rain,34.8,41.04,23.54,0.52,1006.1,2.1,2.12,214,0.03,11,16.093,269.8
1,2020-09-05 13:00:00,Humid,clear-day,0.094,0.08,rain,35.48,42.64,24.09,0.52,1005.2,2.36,2.45,208,0.04,10,16.093,270.0
2,2020-09-05 14:00:00,Humid,clear-day,0.0382,0.05,rain,35.85,43.94,24.66,0.53,1004.1,2.57,2.78,261,0.06,8,16.093,270.3
3,2020-09-05 15:00:00,Humid,clear-day,0.0,0.0,,35.58,44.07,24.99,0.54,1003.3,2.58,2.88,253,0.08,5,16.093,270.3
4,2020-09-05 16:00:00,Humid,clear-day,0.0243,0.01,rain,34.86,43.49,25.23,0.58,1002.8,2.33,2.74,281,0.14,3,16.093,269.9
5,2020-09-05 17:00:00,Humid,clear-day,0.0188,0.01,rain,33.83,42.66,25.6,0.62,1002.4,1.95,2.52,240,0.2,1,16.093,269.4
6,2020-09-05 18:00:00,Humid,clear-day,0.0164,0.01,rain,32.76,41.84,26.04,0.68,1002.4,1.66,2.29,251,0.2,0,16.093,269.1
7,2020-09-05 19:00:00,Humid,clear-night,0.0225,0.04,rain,31.28,40.07,26.35,0.75,1003.0,1.48,2.06,174,0.14,0,16.093,268.9
8,2020-09-05 20:00:00,Humid,clear-night,0.0484,0.05,rain,29.68,37.2,26.25,0.82,1003.9,1.35,1.8,50,0.06,0,16.093,268.8
9,2020-09-05 21:00:00,Humid,clear-night,0.0605,0.05,rain,28.59,34.9,26.06,0.86,1004.4,1.23,1.51,343,0.01,0,16.093,268.5
10,2020-09-05 22:00:00,Humid,clear-night,0.0361,0.04,rain,28.07,33.79,25.91,0.88,1004.6,1.13,1.22,1,0.0,0,16.093,267.9
