,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0734,0.03,rain,35.41,39.26,21.22,0.44,1006.7,1.44,1.78,201,0.1,11,16.093,270.1
1,2020-09-05 13:00:00,Clear,clear-day,0.0872,0.05,rain,35.86,40.48,21.88,0.44,1005.7,1.67,2.15,215,0.22,9,16.093,270.1
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1198,0.06,rain,35.74,41.35,22.78,0.47,1004.6,1.9,2.52,218,0.35,7,16.093,270.0
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1531,0.05,rain,35.37,42.14,23.81,0.51,1003.7,2.02,2.72,223,0.41,5,16.093,269.8
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1531,0.05,rain,34.91,42.62,24.62,0.55,1003.1,2.01,2.75,238,0.38,3,16.093,269.3
5,2020-09-05 17:00:00,Humid,clear-day,0.1441,0.06,rain,34.06,42.06,25.0,0.59,1002.9,1.92,2.64,247,0.3,1,16.093,268.8
6,2020-09-05 18:00:00,Humid,clear-day,0.1447,0.06,rain,33.08,41.28,25.39,0.64,1003.0,1.71,2.36,224,0.22,0,16.093,268.3
7,2020-09-05 19:00:00,Humid,clear-night,0.1486,0.06,rain,31.8,39.53,25.45,0.69,1003.8,1.31,1.81,158,0.14,0,16.093,267.9
8,2020-09-05 20:00:00,Humid,clear-night,0.163,0.05,rain,30.26,36.98,25.31,0.75,1004.8,0.88,1.2,18,0.05,0,16.093,267.5
9,2020-09-05 21:00:00,Humid,clear-night,0.2096,0.05,rain,28.95,34.7,25.23,0.8,1005.5,0.68,0.86,304,0.01,0,16.093,267.0
10,2020-09-05 22:00:00,Humid,clear-night,0.3226,0.06,rain,27.8,32.0,24.6,0.83,1005.8,0.84,0.92,308,0.0,0,16.093,266.1
11,2020-09-05 23:00:00,Humid,clear-night,0.4795,0.08,rain,26.99,30.11,24.06,0.84,1005.9,1.14,1.22,347,0.0,0,16.093,265.3
12,2020-09-06 00:00:00,Humid,clear-night,0.5861,0.1,rain,26.38,28.73,23.69,0.85,1005.9,1.31,1.44,354,0.07,0,16.093,265.0
13,2020-09-06 01:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.6497,0.1,rain,25.89,27.56,23.56,0.87,1005.7,1.28,1.47,355,0.34,0,16.093,265.1
14,2020-09-06 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.7529,0.1,rain,25.36,26.19,23.36,0.89,1005.4,1.2,1.56,358,0.65,0,16.093,265.5
15,2020-09-06 03:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.7305,0.09,rain,24.67,25.53,22.86,0.9,1005.3,1.17,1.66,0,0.85,0,16.093,265.7
16,2020-09-06 04:00:00,Overcast,cloudy,0.4537,0.06,rain,23.85,24.65,22.2,0.91,1005.2,1.2,1.69,1,0.9,0,16.093,265.6
17,2020-09-06 05:00:00,Overcast,cloudy,0.2173,0.04,rain,23.2,23.95,21.65,0.91,1005.3,1.22,1.69,2,0.88,0,14.719,265.5
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1627,0.03,rain,23.26,23.93,21.3,0.89,1005.6,1.17,1.64,4,0.78,0,11.455,265.5
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.179,0.03,rain,24.59,25.43,21.09,0.81,1006.3,0.99,1.48,5,0.56,0,8.788,265.9
