,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6981,0.09,rain,24.01,25.44,24.01,1,1007.4,1.36,1.89,210,0.49,9,16.093,266.2
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7992,0.08,rain,24.42,25.89,24.42,1,1006.4,1.49,2.16,214,0.62,8,13.577,265.5
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8425,0.09,rain,24.09,25.67,24.09,1,1005.4,1.6,2.39,217,0.75,6,7.303,264.8
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8201,0.11,rain,23.18,24.96,23.18,1,1004.7,1.56,2.41,213,0.82,4,4.25,264.2
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.7067,0.13,rain,22.2,24.28,22.2,1,1004.2,1.32,2.17,210,0.8,2,5.81,263.5
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.5799,0.13,rain,21.44,23.72,21.44,1,1004.0,0.99,1.79,227,0.75,1,8.913,262.9
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5506,0.13,rain,20.63,22.85,20.63,1,1004.3,0.72,1.44,199,0.71,0,10.804,262.4
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.7175,0.14,rain,20.01,22.13,20.01,1,1005.1,0.53,1.12,115,0.7,0,10.819,262.1
8,2020-09-05 20:00:00,Mostly Cloudy,partly-cloudy-night,1.0629,0.15,rain,19.58,21.54,19.58,1,1006.2,0.41,0.82,2,0.7,0,10.438,261.9
9,2020-09-05 21:00:00,Mostly Cloudy,partly-cloudy-night,1.2274,0.16,rain,19.19,20.97,19.19,1,1006.9,0.36,0.67,327,0.71,0,10.53,261.3
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.9695,0.15,rain,18.93,20.48,18.93,1,1007.1,0.38,0.7,338,0.74,0,11.144,260.4
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.6129,0.13,rain,18.68,20.06,18.68,1,1007.0,0.42,0.82,338,0.78,0,12.189,259.5
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.3823,0.12,rain,18.29,19.54,18.29,1,1006.9,0.46,0.9,340,0.79,0,14.276,259.1
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.2533,0.11,rain,18.08,19.21,18.08,1,1006.7,0.47,0.94,349,0.75,0,16.093,259.2
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.1722,0.09,rain,18.02,19.08,18.02,1,1006.5,0.47,0.97,1,0.69,0,16.093,259.5
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.1202,0.09,rain,18.17,19.19,18.17,1,1006.5,0.5,0.97,6,0.67,0,16.093,259.8
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0706,0.08,rain,18.19,19.19,18.19,1,1006.8,0.56,0.95,0,0.66,0,16.093,259.9
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0424,0.06,rain,17.99,18.99,17.99,1,1006.9,0.62,0.92,358,0.68,0,16.093,260.1
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0402,0.05,rain,17.89,18.89,17.89,1,1007.2,0.65,0.86,21,0.73,0,16.093,260.5
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0469,0.04,rain,18.42,19.41,18.42,1,1007.8,0.61,0.74,80,0.83,1,16.093,261.3
20,2020-09-06 08:00:00,Overcast,cloudy,0.0631,0.05,rain,19.28,20.33,19.28,1,1008.5,0.6,0.65,151,0.93,2,16.093,262.2
21,2020-09-06 09:00:00,Overcast,cloudy,0.1167,0.06,rain,20.2,21.3,20.2,1,1008.5,0.73,0.79,199,0.97,4,16.093,262.7
22,2020-09-06 10:00:00,Overcast,cloudy,0.2736,0.07,rain,21.46,22.63,21.46,1,1007.9,1.06,1.3,209,0.92,5,16.093,262.8
