,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.384,0.07,rain,27.1,29.74,22.79,0.77,1006.9,1.7,2.1,222,0.19,11,6.222,268.2
1,2020-09-05 13:00:00,Humid,clear-day,0.5005,0.07,rain,28.15,31.52,23.06,0.74,1005.8,1.75,2.21,242,0.17,10,9.611,269.0
2,2020-09-05 14:00:00,Humid,clear-day,0.6273,0.08,rain,28.68,32.3,23.01,0.71,1004.8,1.73,2.22,247,0.14,9,15.318,269.9
3,2020-09-05 15:00:00,Humid,clear-day,0.7514,0.09,rain,28.46,32.27,23.42,0.74,1004.1,1.63,2.18,217,0.13,6,16.093,270.4
4,2020-09-05 16:00:00,Humid,clear-day,0.8623,0.1,rain,27.52,31.49,24.78,0.85,1003.6,1.45,2.1,143,0.15,3,16.093,270.4
5,2020-09-05 17:00:00,Humid,clear-day,0.9295,0.11,rain,26.06,28.84,26.06,1.0,1003.4,1.23,1.98,354,0.18,1,16.093,270.2
6,2020-09-05 18:00:00,Humid,clear-day,0.7914,0.13,rain,24.57,25.91,24.57,1.0,1003.6,1.14,1.89,282,0.17,0,16.093,270.0
7,2020-09-05 19:00:00,Humid,clear-night,0.4001,0.12,rain,23.35,24.85,23.35,1.0,1004.3,1.21,1.83,303,0.13,0,16.093,269.6
8,2020-09-05 20:00:00,Clear,clear-night,0.1,0.08,rain,22.13,23.59,22.13,1.0,1005.3,1.36,1.77,356,0.07,0,16.093,269.1
9,2020-09-05 21:00:00,Clear,clear-night,0.0241,0.02,rain,21.22,22.55,21.22,1.0,1006.1,1.44,1.74,11,0.03,0,16.093,268.3
10,2020-09-05 22:00:00,Clear,clear-night,0.0099,0.01,rain,20.75,21.93,20.75,1.0,1006.0,1.44,1.74,12,0.02,0,16.093,266.8
11,2020-09-05 23:00:00,Clear,clear-night,0.0,0.0,,20.43,21.46,20.43,1.0,1005.5,1.43,1.76,12,0.02,0,16.093,265.2
12,2020-09-06 00:00:00,Clear,clear-night,0.0053,0.03,rain,20.13,21.05,20.13,1.0,1005.5,1.44,1.76,12,0.04,0,16.093,264.4
