,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.2916,0.06,rain,27.9,29.47,19.84,0.62,1007.1,1.58,1.98,206,0.16,11,7.639,267.8
1,2020-09-05 13:00:00,Clear,clear-day,0.4591,0.08,rain,28.69,30.84,20.77,0.62,1006.0,1.66,2.1,222,0.15,10,9.822,268.4
2,2020-09-05 14:00:00,Clear,clear-day,0.6491,0.08,rain,28.64,31.08,21.28,0.64,1005.0,1.65,2.11,224,0.14,8,13.978,269.0
3,2020-09-05 15:00:00,Clear,clear-day,0.7525,0.08,rain,27.85,30.49,22.09,0.71,1004.3,1.55,2.05,211,0.14,6,16.093,269.4
4,2020-09-05 16:00:00,Humid,clear-day,0.7357,0.08,rain,26.73,29.35,23.84,0.84,1003.9,1.32,1.92,197,0.17,3,16.093,269.3
5,2020-09-05 17:00:00,Humid,clear-day,0.7037,0.09,rain,25.31,26.82,25.31,1.0,1003.7,1.04,1.74,313,0.19,1,16.093,269.0
6,2020-09-05 18:00:00,Humid,clear-day,0.6101,0.11,rain,23.94,25.28,23.94,1.0,1004.0,0.89,1.58,256,0.19,0,16.093,268.8
7,2020-09-05 19:00:00,Humid,clear-night,0.3744,0.11,rain,22.81,24.18,22.81,1.0,1004.7,0.92,1.47,251,0.14,0,16.093,268.6
8,2020-09-05 20:00:00,Clear,clear-night,0.1618,0.1,rain,21.89,23.15,21.89,1.0,1005.6,1.01,1.37,19,0.08,0,16.093,268.3
9,2020-09-05 21:00:00,Clear,clear-night,0.0778,0.06,rain,21.26,22.39,21.26,1.0,1006.5,1.08,1.34,345,0.04,0,16.093,267.7
10,2020-09-05 22:00:00,Clear,clear-night,0.0608,0.05,rain,20.96,21.96,20.96,1.0,1006.8,1.12,1.39,344,0.03,0,16.093,266.3
11,2020-09-05 23:00:00,Clear,clear-night,0.064,0.04,rain,20.63,21.49,20.63,1.0,1006.9,1.16,1.48,356,0.02,0,16.093,264.8
12,2020-09-06 00:00:00,Clear,clear-night,0.0651,0.04,rain,20.39,21.17,20.39,1.0,1006.9,1.19,1.54,1,0.02,0,16.093,264.0
13,2020-09-06 01:00:00,Clear,clear-night,0.0594,0.04,rain,20.15,20.88,20.15,1.0,1006.8,1.21,1.57,359,0.05,0,16.093,264.1
14,2020-09-06 02:00:00,Clear,clear-night,0.056,0.03,rain,19.92,20.61,19.92,1.0,1006.5,1.23,1.58,356,0.08,0,16.093,264.6
15,2020-09-06 03:00:00,Clear,clear-night,0.0473,0.04,rain,19.81,20.44,19.72,0.99,1006.4,1.24,1.58,355,0.11,0,16.093,265.0
16,2020-09-06 04:00:00,Clear,clear-night,0.0474,0.03,rain,19.72,20.31,19.4,0.98,1006.3,1.25,1.59,355,0.14,0,16.093,264.9
17,2020-09-06 05:00:00,Clear,clear-night,0.0961,0.03,rain,19.74,20.31,19.31,0.97,1006.1,1.25,1.57,358,0.16,0,16.093,265.0
18,2020-09-06 06:00:00,Clear,clear-day,0.1477,0.03,rain,19.82,20.32,18.84,0.94,1006.1,1.14,1.41,6,0.16,0,16.093,265.0
19,2020-09-06 07:00:00,Clear,clear-day,0.1473,0.03,rain,20.42,20.8,18.31,0.88,1006.7,0.86,1.01,18,0.14,1,16.093,265.4
20,2020-09-06 08:00:00,Clear,clear-day,0.1335,0.03,rain,21.66,21.97,18.04,0.8,1007.3,0.57,0.64,30,0.11,2,16.093,265.7
21,2020-09-06 09:00:00,Clear,clear-day,0.1436,0.04,rain,22.92,23.21,18.14,0.74,1007.6,0.5,0.56,52,0.09,5,16.093,265.4
22,2020-09-06 10:00:00,Clear,clear-day,0.2102,0.05,rain,23.9,24.23,18.61,0.72,1007.3,0.76,0.87,106,0.08,8,16.093,264.3
23,2020-09-06 11:00:00,Clear,clear-day,0.3488,0.06,rain,24.98,25.35,19.32,0.71,1006.7,1.13,1.39,157,0.08,10,16.093,262.9
24,2020-09-06 12:00:00,Clear,clear-day,0.4771,0.07,rain,26.27,26.97,20.01,0.69,1006.0,1.38,1.81,193,0.12,11,16.093,262.2
25,2020-09-06 13:00:00,Clear,clear-day,0.5169,0.08,rain,27.52,29.36,20.5,0.66,1005.1,1.48,2.06,206,0.2,10,16.093,262.0
