,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Foggy,fog,0.1457,0.07,rain,11.01,14.04,11.01,1,1007.8,1.7,2.59,117,0.59,9,0.0,258.6
1,2020-09-05 13:00:00,Foggy,fog,0.1956,0.07,rain,11.27,14.37,11.27,1,1006.6,1.62,2.48,122,0.71,8,0.132,257.8
2,2020-09-05 14:00:00,Foggy,fog,0.232,0.07,rain,11.21,14.37,11.21,1,1005.6,1.47,2.18,124,0.84,6,0.531,257.2
3,2020-09-05 15:00:00,Foggy,fog,0.2459,0.07,rain,10.89,14.35,10.89,1,1005.0,1.38,1.94,119,0.92,4,0.91,256.8
4,2020-09-05 16:00:00,Foggy,fog,0.2399,0.08,rain,10.26,13.0,10.26,1,1004.8,1.36,1.81,104,0.92,2,0.661,256.7
5,2020-09-05 17:00:00,Foggy,fog,0.2396,0.08,rain,9.51,9.77,9.51,1,1005.0,1.35,1.69,81,0.94,1,0.344,256.6
6,2020-09-05 18:00:00,Foggy,fog,0.2219,0.08,rain,8.97,12.68,8.97,1,1005.7,1.33,1.57,71,0.95,0,0.131,256.4
7,2020-09-05 19:00:00,Foggy,fog,0.1552,0.08,rain,8.55,11.71,8.55,1,1007.2,1.31,1.46,73,0.97,0,0.034,256.3
8,2020-09-05 20:00:00,Foggy,fog,0.0875,0.07,rain,8.36,11.15,8.36,1,1008.6,1.27,1.37,73,0.99,0,0.0,256.1
9,2020-09-05 21:00:00,Foggy,fog,0.0548,0.07,rain,8.22,10.65,8.22,1,1009.4,1.23,1.29,73,1.0,0,0.759,255.9
10,2020-09-05 22:00:00,Overcast,cloudy,0.0433,0.07,rain,8.1,10.19,8.1,1,1009.6,1.17,1.2,71,1.0,0,4.627,255.2
11,2020-09-05 23:00:00,Overcast,cloudy,0.0404,0.07,rain,7.98,9.8,7.98,1,1009.5,1.11,1.11,65,1.0,0,9.188,254.5
12,2020-09-06 00:00:00,Overcast,cloudy,0.0478,0.07,rain,7.89,9.47,7.89,1,1009.4,1.06,1.06,60,0.98,0,12.522,254.0
13,2020-09-06 01:00:00,Overcast,cloudy,0.0711,0.07,rain,7.87,9.28,7.87,1,1009.3,1.05,1.05,62,0.91,0,14.964,253.6
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.107,0.07,rain,7.8,9.09,7.8,1,1009.3,1.05,1.05,44,0.82,0,16.093,253.4
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.1236,0.07,rain,7.79,8.87,7.79,1,1009.2,1.05,1.05,35,0.78,0,16.093,253.4
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.1045,0.07,rain,7.72,8.66,7.72,1,1009.4,1.03,1.03,50,0.79,0,16.093,253.8
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0768,0.06,rain,7.49,8.39,7.49,1,1009.5,1.04,1.04,49,0.83,0,16.093,254.4
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0602,0.06,rain,7.33,8.37,7.33,1,1009.6,1.05,1.05,60,0.84,0,16.093,255.1
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0514,0.06,rain,7.63,8.96,7.63,1,1010.0,1.09,1.09,77,0.82,1,15.301,256.4
20,2020-09-06 08:00:00,Mostly Cloudy,partly-cloudy-day,0.047,0.06,rain,8.55,10.23,8.55,1,1010.2,1.13,1.16,90,0.8,3,12.435,257.5
21,2020-09-06 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0514,0.06,rain,9.58,11.54,9.58,1,1009.9,1.23,1.35,98,0.79,5,9.299,257.7
22,2020-09-06 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0692,0.06,rain,10.61,12.75,10.61,1,1009.1,1.38,1.73,109,0.79,7,5.676,256.6
23,2020-09-06 11:00:00,Foggy,fog,0.1016,0.06,rain,11.62,13.87,11.62,1,1008.2,1.55,2.29,130,0.81,7,2.058,254.9
24,2020-09-06 12:00:00,Foggy,fog,0.1466,0.07,rain,12.13,14.55,12.13,1,1007.2,1.64,2.6,132,0.84,7,0.0,253.3
25,2020-09-06 13:00:00,Foggy,fog,0.2124,0.07,rain,11.92,14.62,11.92,1,1006.1,1.61,2.6,129,0.9,7,0.07,252.1
26,2020-09-06 14:00:00,Foggy,fog,0.2909,0.08,rain,11.16,14.37,11.16,1,1005.2,1.52,2.44,123,0.97,6,0.102,251.0
27,2020-09-06 15:00:00,Foggy,fog,0.3388,0.09,rain,10.31,13.05,10.31,1,1004.7,1.46,2.27,128,1.0,4,0.137,250.5
28,2020-09-06 16:00:00,Foggy,fog,0.345,0.1,rain,9.68,9.1,9.68,1,1004.9,1.42,2.1,119,1.0,2,0.109,250.8
29,2020-09-06 17:00:00,Foggy,fog,0.3366,0.09,rain,9.0,8.63,9.0,1,1005.4,1.39,1.89,100,1.0,1,0.09,251.4
30,2020-09-06 18:00:00,Foggy,fog,0.2938,0.09,rain,8.58,8.18,8.58,1,1006.3,1.37,1.76,73,1.0,0,0.069,251.9
31,2020-09-06 19:00:00,Foggy,fog,0.1924,0.08,rain,8.36,7.92,8.36,1,1007.9,1.38,1.71,70,1.0,0,0.02,252.3
32,2020-09-06 20:00:00,Foggy,fog,0.1036,0.08,rain,8.27,7.76,8.27,1,1009.5,1.38,1.71,73,1.0,0,0.0,252.6
33,2020-09-06 21:00:00,Foggy,fog,0.0691,0.08,rain,8.12,8.23,8.12,1,1010.4,1.36,1.66,76,1.0,0,0.514,252.9
34,2020-09-06 22:00:00,Foggy,fog,0.0624,0.08,rain,8.02,10.45,8.02,1,1010.5,1.29,1.5,71,1.0,0,3.15,252.9
35,2020-09-06 23:00:00,Overcast,cloudy,0.0646,0.08,rain,7.93,9.87,7.93,1,1010.5,1.21,1.33,63,1.0,0,6.072,253.0
36,2020-09-07 00:00:00,Overcast,cloudy,0.0662,0.08,rain,7.86,9.57,7.86,1,1010.5,1.14,1.25,62,1.0,0,7.098,252.9
37,2020-09-07 01:00:00,Overcast,cloudy,0.0656,0.08,rain,7.89,9.41,7.89,1,1010.4,1.1,1.14,71,0.99,0,5.221,252.6
38,2020-09-07 02:00:00,Foggy,fog,0.0698,0.07,rain,7.89,9.28,7.89,1,1010.4,1.06,1.06,73,0.99,0,2.668,252.2
39,2020-09-07 03:00:00,Foggy,fog,0.0696,0.07,rain,7.95,9.16,7.95,1,1010.3,1.02,1.02,69,0.99,0,2.494,252.1
40,2020-09-07 04:00:00,Overcast,cloudy,0.0579,0.06,rain,7.84,8.89,7.84,1,1010.3,0.96,0.96,56,0.99,0,6.092,252.2
41,2020-09-07 05:00:00,Overcast,cloudy,0.0478,0.05,rain,7.57,8.62,7.57,1,1010.5,0.91,0.91,41,0.99,0,10.673,252.3
42,2020-09-07 06:00:00,Overcast,cloudy,0.047,0.05,rain,7.25,8.45,7.25,1,1010.8,0.91,0.91,38,0.99,0,13.246,252.4
43,2020-09-07 07:00:00,Overcast,cloudy,0.0553,0.05,rain,7.48,9.02,7.48,1,1011.1,0.99,1.01,57,0.98,1,13.192,252.4
44,2020-09-07 08:00:00,Overcast,cloudy,0.0706,0.06,rain,8.22,10.18,8.22,1,1011.3,1.1,1.24,92,0.97,3,11.885,252.3
45,2020-09-07 09:00:00,Overcast,cloudy,0.0847,0.07,rain,9.09,11.31,9.09,1,1011.2,1.17,1.41,105,0.97,4,9.714,252.1
46,2020-09-07 10:00:00,Overcast,cloudy,0.0954,0.07,rain,10.05,12.39,10.05,1,1010.4,1.2,1.52,113,0.97,6,6.337,251.4
47,2020-09-07 11:00:00,Foggy,fog,0.1122,0.07,rain,10.98,13.39,10.98,1,1009.4,1.21,1.69,134,0.97,6,2.352,250.8
48,2020-09-07 12:00:00,Foggy,fog,0.1296,0.07,rain,11.57,14.08,11.57,1,1008.5,1.23,1.81,138,0.98,7,0.063,250.4
