,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Overcast,cloudy,0.3653,0.08,rain,27.94,32.92,25.29,0.86,1007.3,1.62,2.25,202,0.89,6,14.041,263.4
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.669,0.09,rain,28.18,32.91,24.87,0.82,1006.2,1.69,2.36,201,0.83,6,10.574,263.0
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0628,0.1,rain,27.61,31.97,24.97,0.86,1005.2,1.69,2.36,199,0.76,6,7.246,262.9
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.2764,0.11,rain,26.93,30.96,25.44,0.92,1004.5,1.6,2.27,196,0.74,4,5.947,262.7
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.1648,0.12,rain,26.26,29.2,26.14,0.99,1004.0,1.42,2.09,192,0.77,2,7.276,262.4
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9214,0.12,rain,25.66,27.64,25.66,1.0,1003.9,1.18,1.83,187,0.83,1,9.914,262.0
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7049,0.12,rain,24.72,26.07,24.72,1.0,1004.3,0.96,1.6,184,0.86,0,12.823,261.4
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5345,0.12,rain,23.9,25.36,23.9,1.0,1005.3,0.77,1.42,193,0.87,0,16.093,260.7
8,2020-09-05 20:00:00,Humid and Overcast,cloudy,0.4396,0.14,rain,23.13,24.62,23.13,1.0,1006.5,0.6,1.24,209,0.88,0,16.093,260.0
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4067,0.13,rain,22.57,24.13,22.57,1.0,1007.3,0.46,1.11,201,0.87,0,16.093,259.5
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.3584,0.14,rain,22.14,23.71,22.14,1.0,1007.4,0.36,1.01,146,0.84,0,16.093,259.2
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.3024,0.15,rain,21.68,23.17,21.68,1.0,1007.2,0.28,0.94,11,0.82,0,16.093,259.2
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.2442,0.17,rain,21.42,22.82,21.42,1.0,1007.0,0.25,0.88,249,0.81,0,16.093,259.2
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.1866,0.16,rain,21.18,22.51,21.18,1.0,1006.8,0.27,0.84,236,0.85,0,16.093,259.5
14,2020-09-06 02:00:00,Overcast,cloudy,0.1595,0.12,rain,20.92,22.16,20.92,1.0,1006.5,0.31,0.8,244,0.89,0,14.631,260.0
15,2020-09-06 03:00:00,Overcast,cloudy,0.1608,0.11,rain,20.7,21.87,20.7,1.0,1006.5,0.34,0.77,256,0.92,0,13.781,260.3
16,2020-09-06 04:00:00,Overcast,cloudy,0.1633,0.12,rain,20.12,21.23,20.12,1.0,1006.5,0.31,0.75,276,0.92,0,16.093,260.5
17,2020-09-06 05:00:00,Overcast,cloudy,0.1652,0.12,rain,19.53,20.6,19.53,1.0,1006.7,0.28,0.74,301,0.91,0,16.093,260.7
18,2020-09-06 06:00:00,Overcast,cloudy,0.1539,0.11,rain,19.08,20.11,19.08,1.0,1007.0,0.31,0.71,334,0.91,0,16.093,261.4
19,2020-09-06 07:00:00,Overcast,cloudy,0.1167,0.1,rain,19.82,20.88,19.82,1.0,1007.6,0.41,0.63,133,0.94,1,16.093,262.9
