,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Overcast,cloudy,0.4831,0.1,rain,24.39,25.88,24.39,1,1007.4,1.34,2.14,211,0.92,6,10.291,262.4
1,2020-09-05 13:00:00,Humid and Overcast,cloudy,0.7629,0.1,rain,24.79,26.18,24.79,1,1006.4,1.35,2.13,209,0.9,6,7.681,262.0
2,2020-09-05 14:00:00,Humid and Overcast,cloudy,1.0986,0.11,rain,24.65,26.06,24.65,1,1005.4,1.28,1.97,206,0.88,5,5.654,261.8
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.2685,0.13,rain,24.14,25.68,24.14,1,1004.7,1.17,1.79,205,0.87,4,4.423,261.5
4,2020-09-05 16:00:00,Humid and Overcast,cloudy,1.1568,0.14,rain,23.45,25.2,23.45,1,1004.3,1.0,1.61,205,0.88,2,4.108,261.1
5,2020-09-05 17:00:00,Humid and Overcast,cloudy,0.9252,0.15,rain,22.53,24.46,22.53,1,1004.2,0.79,1.39,204,0.91,1,4.483,260.7
6,2020-09-05 18:00:00,Overcast,cloudy,0.7165,0.16,rain,21.74,23.72,21.74,1,1004.6,0.62,1.17,201,0.92,0,5.226,260.1
7,2020-09-05 19:00:00,Overcast,cloudy,0.5417,0.16,rain,21.15,23.06,21.15,1,1005.6,0.49,0.94,208,0.92,0,7.036,259.3
8,2020-09-05 20:00:00,Overcast,cloudy,0.412,0.16,rain,20.75,22.62,20.75,1,1006.8,0.41,0.73,227,0.92,0,9.478,258.5
9,2020-09-05 21:00:00,Overcast,cloudy,0.3519,0.15,rain,20.3,22.14,20.3,1,1007.6,0.37,0.61,217,0.9,0,12.702,258.1
10,2020-09-05 22:00:00,Overcast,cloudy,0.3381,0.15,rain,19.94,21.76,19.94,1,1007.6,0.35,0.61,144,0.88,0,16.093,258.1
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.348,0.16,rain,19.57,21.3,19.57,1,1007.4,0.34,0.67,15,0.85,0,16.093,258.3
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.3162,0.16,rain,19.12,20.73,19.12,1,1007.2,0.35,0.71,289,0.83,0,16.093,258.4
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.2169,0.15,rain,18.86,20.36,18.86,1,1007.0,0.36,0.72,294,0.81,0,16.093,258.7
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.1408,0.12,rain,18.78,20.2,18.78,1,1006.9,0.37,0.73,346,0.8,0,11.771,259.0
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.1251,0.12,rain,18.8,20.15,18.8,1,1006.9,0.38,0.7,307,0.8,0,8.478,259.2
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.1387,0.12,rain,18.43,19.73,18.43,1,1006.9,0.36,0.63,308,0.82,0,9.537,259.4
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.159,0.13,rain,17.66,18.9,17.66,1,1007.0,0.34,0.55,315,0.84,0,12.222,259.7
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1612,0.12,rain,17.2,18.43,17.2,1,1007.3,0.36,0.55,351,0.87,0,15.111,260.4
19,2020-09-06 07:00:00,Overcast,cloudy,0.1253,0.1,rain,17.8,19.15,17.8,1,1007.9,0.43,0.64,95,0.91,1,16.093,261.7
20,2020-09-06 08:00:00,Overcast,cloudy,0.0929,0.09,rain,19.24,20.7,19.24,1,1008.9,0.55,0.78,181,0.96,2,16.093,263.1
21,2020-09-06 09:00:00,Overcast,cloudy,0.1111,0.09,rain,20.85,22.34,20.85,1,1008.9,0.7,0.98,233,0.98,4,16.093,263.2
22,2020-09-06 10:00:00,Humid and Overcast,cloudy,0.2159,0.09,rain,22.37,23.83,22.37,1,1008.1,0.88,1.2,233,0.98,5,16.093,261.6
23,2020-09-06 11:00:00,Humid and Overcast,cloudy,0.4073,0.09,rain,24.0,25.37,24.0,1,1007.3,1.06,1.46,203,0.97,6,10.636,259.3
