,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0927,0.03,rain,34.67,37.78,20.59,0.44,1007.1,1.15,1.62,181,0.08,11,16.093,269.6
1,2020-09-05 13:00:00,Clear,clear-day,0.1272,0.04,rain,34.94,38.53,21.05,0.44,1006.1,1.32,1.99,194,0.2,10,16.093,269.7
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.2006,0.06,rain,34.67,39.28,22.16,0.48,1005.0,1.47,2.35,194,0.35,7,16.093,269.6
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2954,0.06,rain,34.29,40.01,23.24,0.53,1004.1,1.51,2.44,207,0.42,5,16.093,269.5
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3898,0.07,rain,33.78,40.12,23.86,0.56,1003.7,1.41,2.16,258,0.39,3,15.229,269.2
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4937,0.08,rain,32.99,39.19,23.96,0.59,1003.4,1.27,1.74,269,0.32,1,13.424,268.8
6,2020-09-05 18:00:00,Humid,clear-day,0.562,0.08,rain,31.88,37.76,24.0,0.63,1003.7,1.13,1.41,241,0.24,0,12.712,268.3
7,2020-09-05 19:00:00,Humid,clear-night,0.545,0.08,rain,30.33,35.18,23.6,0.67,1004.5,0.94,1.21,118,0.15,0,13.36,267.9
8,2020-09-05 20:00:00,Humid,clear-night,0.4967,0.08,rain,28.49,32.0,23.01,0.72,1005.5,0.76,1.07,7,0.06,0,14.735,267.5
9,2020-09-05 21:00:00,Humid,clear-night,0.4876,0.07,rain,27.04,29.57,22.7,0.77,1006.3,0.68,1.0,306,0.01,0,16.093,266.8
10,2020-09-05 22:00:00,Clear,clear-night,0.545,0.07,rain,25.94,27.44,22.14,0.8,1006.6,0.78,1.03,312,0.02,0,16.093,265.7
11,2020-09-05 23:00:00,Clear,clear-night,0.6405,0.08,rain,25.16,25.75,21.54,0.8,1006.7,0.94,1.13,325,0.04,0,16.093,264.5
12,2020-09-06 00:00:00,Clear,clear-night,0.7289,0.11,rain,24.53,25.16,21.1,0.81,1006.7,1.04,1.23,334,0.14,0,16.093,264.1
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.822,0.11,rain,24.07,24.7,20.96,0.83,1006.5,1.04,1.25,335,0.37,0,16.093,264.6
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.907,0.1,rain,23.65,24.27,20.83,0.84,1006.3,1.02,1.31,335,0.64,0,16.093,265.4
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.8275,0.09,rain,23.19,23.78,20.45,0.85,1006.1,1.0,1.36,337,0.81,0,15.797,265.9
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.5251,0.07,rain,22.58,23.11,19.84,0.85,1006.1,1.0,1.4,342,0.84,0,14.962,265.8
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.2655,0.05,rain,22.16,22.63,19.38,0.84,1006.2,1.0,1.42,347,0.81,0,14.341,265.5
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1765,0.03,rain,22.32,22.76,19.13,0.82,1006.5,0.95,1.39,353,0.72,0,13.856,265.5
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.1634,0.03,rain,23.79,24.18,19.33,0.76,1007.0,0.82,1.25,356,0.55,1,13.361,266.0
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.1699,0.03,rain,26.25,26.97,20.07,0.69,1007.6,0.68,1.12,357,0.34,2,13.151,266.4
21,2020-09-06 09:00:00,Clear,clear-day,0.2119,0.03,rain,28.33,30.29,20.42,0.62,1007.8,0.66,1.17,19,0.21,5,13.866,266.3
22,2020-09-06 10:00:00,Clear,clear-day,0.3363,0.05,rain,30.28,32.71,20.75,0.57,1007.4,0.83,1.47,73,0.15,7,16.078,265.3
23,2020-09-06 11:00:00,Clear,clear-day,0.5555,0.07,rain,32.06,35.1,21.12,0.52,1006.7,1.06,1.88,144,0.14,10,16.093,264.0
24,2020-09-06 12:00:00,Clear,clear-day,0.7717,0.09,rain,33.77,37.57,21.57,0.49,1005.9,1.25,2.2,184,0.15,11,16.093,263.4
