,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.1672,0.06,rain,35.09,40.56,22.84,0.49,1006.7,1.71,1.94,211,0.11,11,11.893,269.4
1,2020-09-05 13:00:00,Humid,clear-day,0.2237,0.08,rain,35.79,42.04,23.32,0.49,1005.7,1.86,2.25,221,0.13,10,14.33,269.6
2,2020-09-05 14:00:00,Humid,clear-day,0.2849,0.07,rain,36.03,43.46,24.15,0.51,1004.5,1.94,2.51,239,0.15,8,16.093,269.6
3,2020-09-05 15:00:00,Humid,clear-day,0.2943,0.06,rain,35.68,44.46,25.15,0.55,1003.7,1.92,2.57,222,0.16,5,16.093,269.6
4,2020-09-05 16:00:00,Humid,clear-day,0.2148,0.06,rain,34.92,45.25,26.26,0.61,1003.3,1.75,2.39,226,0.16,3,16.093,269.5
5,2020-09-05 17:00:00,Humid,clear-day,0.1251,0.05,rain,33.61,44.83,27.05,0.69,1003.1,1.52,2.07,283,0.15,1,16.093,269.1
6,2020-09-05 18:00:00,Humid,clear-day,0.082,0.05,rain,32.22,43.53,27.49,0.76,1003.2,1.34,1.83,248,0.13,0,16.093,268.8
7,2020-09-05 19:00:00,Humid,clear-night,0.072,0.06,rain,30.71,40.92,27.48,0.83,1003.9,1.21,1.65,217,0.09,0,16.093,268.5
8,2020-09-05 20:00:00,Humid,clear-night,0.0835,0.06,rain,29.5,38.25,27.23,0.88,1004.8,1.11,1.5,4,0.03,0,16.093,268.2
9,2020-09-05 21:00:00,Humid,clear-night,0.1044,0.06,rain,28.52,36.14,27.08,0.92,1005.4,1.05,1.37,329,0.01,0,14.957,267.6
10,2020-09-05 22:00:00,Humid,clear-night,0.1468,0.07,rain,27.83,34.83,27.13,0.96,1005.7,1.04,1.28,336,0.0,0,16.093,266.7
11,2020-09-05 23:00:00,Humid,clear-night,0.2332,0.08,rain,27.21,32.99,26.65,0.97,1005.7,1.06,1.26,358,0.0,0,16.093,265.7
