,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.2401,0.05,rain,31.33,33.91,20.74,0.53,1007.6,1.1,1.8,165,0.18,10,11.812,266.3
1,2020-09-05 13:00:00,Clear,clear-day,0.5123,0.07,rain,31.72,35.15,21.67,0.55,1006.4,1.15,1.8,172,0.19,10,10.455,266.8
2,2020-09-05 14:00:00,Humid,clear-day,0.891,0.07,rain,31.35,35.88,22.94,0.61,1005.4,1.15,1.66,172,0.2,8,10.036,267.5
3,2020-09-05 15:00:00,Humid,clear-day,1.1534,0.08,rain,30.77,36.46,24.2,0.68,1004.7,1.08,1.54,176,0.22,5,10.35,267.8
4,2020-09-05 16:00:00,Humid,clear-day,1.159,0.08,rain,30.09,36.84,25.42,0.76,1004.4,0.93,1.47,194,0.24,3,11.407,267.7
5,2020-09-05 17:00:00,Humid,clear-day,1.0436,0.08,rain,29.02,35.57,25.91,0.83,1004.3,0.74,1.4,216,0.26,1,13.16,267.5
6,2020-09-05 18:00:00,Humid,clear-day,0.8626,0.09,rain,27.74,33.06,25.78,0.89,1004.5,0.64,1.35,189,0.24,0,15.593,267.4
7,2020-09-05 19:00:00,Humid,clear-night,0.593,0.09,rain,26.47,29.74,25.02,0.92,1005.4,0.68,1.33,110,0.17,0,16.093,267.7
8,2020-09-05 20:00:00,Humid,clear-night,0.3449,0.08,rain,25.06,25.85,23.86,0.93,1006.4,0.77,1.32,13,0.07,0,16.093,267.8
9,2020-09-05 21:00:00,Humid,clear-night,0.2228,0.06,rain,24.02,24.92,22.94,0.94,1007.1,0.84,1.35,312,0.01,0,16.093,267.3
10,2020-09-05 22:00:00,Humid,clear-night,0.1836,0.05,rain,23.49,24.36,22.54,0.94,1007.4,0.89,1.41,305,0.01,0,16.093,265.7
11,2020-09-05 23:00:00,Clear,clear-night,0.1756,0.04,rain,22.99,23.76,21.65,0.92,1007.5,0.94,1.5,320,0.01,0,15.757,263.8
12,2020-09-06 00:00:00,Clear,clear-night,0.1727,0.04,rain,22.6,23.27,20.87,0.9,1007.5,0.97,1.55,328,0.03,0,14.26,262.9
13,2020-09-06 01:00:00,Clear,clear-night,0.1751,0.04,rain,22.2,22.8,20.31,0.89,1007.4,0.99,1.55,326,0.11,0,16.093,263.2
14,2020-09-06 02:00:00,Clear,clear-night,0.1807,0.05,rain,21.79,22.33,19.77,0.88,1007.1,0.99,1.53,324,0.21,0,16.093,264.0
15,2020-09-06 03:00:00,Clear,clear-night,0.1459,0.05,rain,21.4,21.87,19.11,0.87,1007.0,0.98,1.49,325,0.28,0,16.093,264.6
16,2020-09-06 04:00:00,Clear,clear-night,0.062,0.03,rain,20.66,21.01,18.1,0.85,1007.0,0.96,1.45,330,0.31,0,16.093,264.7
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0084,0.01,rain,20.01,20.25,17.15,0.84,1007.2,0.93,1.38,337,0.32,0,16.093,264.7
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,,20.04,20.22,16.68,0.81,1007.1,0.83,1.21,348,0.3,0,16.093,264.8
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,21.57,21.74,16.96,0.75,1007.6,0.62,0.88,1,0.23,1,16.093,265.2
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,24.06,24.29,17.9,0.68,1008.3,0.41,0.55,12,0.15,2,16.093,265.5
21,2020-09-06 09:00:00,Clear,clear-day,0.0276,0.01,rain,26.13,26.63,18.64,0.63,1008.7,0.42,0.53,37,0.1,5,16.093,265.2
22,2020-09-06 10:00:00,Clear,clear-day,0.1178,0.03,rain,28.06,29.66,19.7,0.6,1007.9,0.73,0.88,89,0.08,8,16.093,263.9
23,2020-09-06 11:00:00,Clear,clear-day,0.3079,0.05,rain,29.84,32.22,20.8,0.58,1007.1,1.14,1.38,134,0.08,10,16.093,262.3
24,2020-09-06 12:00:00,Clear,clear-day,0.5258,0.07,rain,31.42,34.58,21.44,0.55,1006.3,1.39,1.72,163,0.11,11,16.093,261.3
25,2020-09-06 13:00:00,Clear,clear-day,0.71,0.07,rain,32.23,35.87,21.77,0.54,1005.4,1.44,1.82,170,0.18,10,16.093,261.2
26,2020-09-06 14:00:00,Humid,clear-day,0.8621,0.07,rain,32.47,36.81,22.45,0.56,1004.5,1.41,1.83,167,0.28,8,16.093,261.4
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9583,0.07,rain,32.04,37.11,23.24,0.6,1004.0,1.33,1.77,165,0.36,5,15.29,261.8
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9816,0.07,rain,31.36,37.14,24.1,0.65,1003.9,1.2,1.62,172,0.45,3,12.314,262.1
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9372,0.07,rain,30.24,36.1,24.58,0.72,1004.1,1.04,1.44,179,0.51,1,9.404,262.4
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8306,0.08,rain,29.04,34.09,24.49,0.77,1004.6,0.91,1.37,156,0.49,0,9.588,262.5
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.6643,0.08,rain,27.33,30.71,23.94,0.82,1005.7,0.84,1.44,96,0.35,0,14.219,262.3
32,2020-09-06 20:00:00,Humid,clear-night,0.4864,0.08,rain,25.8,27.42,23.05,0.85,1006.9,0.81,1.57,29,0.17,0,16.093,262.0
33,2020-09-06 21:00:00,Humid,clear-night,0.336,0.07,rain,24.7,25.41,22.3,0.86,1007.8,0.83,1.63,344,0.05,0,16.093,261.8
34,2020-09-06 22:00:00,Clear,clear-night,0.2074,0.06,rain,24.05,24.79,21.83,0.87,1008.1,0.88,1.56,333,0.04,0,16.093,261.6
35,2020-09-06 23:00:00,Clear,clear-night,0.1092,0.05,rain,23.44,24.07,20.88,0.86,1008.2,0.96,1.46,336,0.03,0,16.093,261.5
36,2020-09-07 00:00:00,Clear,clear-night,0.0508,0.03,rain,22.89,23.42,19.92,0.83,1008.4,1.02,1.38,338,0.03,0,16.093,261.5
37,2020-09-07 01:00:00,Clear,clear-night,0.0171,0.02,rain,22.28,22.69,18.97,0.82,1008.4,1.02,1.32,337,0.02,0,16.093,261.6
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,21.6,21.9,17.99,0.8,1007.4,1.02,1.27,337,0.01,0,16.093,261.7
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,21.02,21.22,17.08,0.78,1006.6,1.03,1.27,337,0.0,0,16.093,262.0
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,20.04,20.12,15.96,0.77,1007.2,1.08,1.34,335,0.0,0,16.093,262.2
41,2020-09-07 05:00:00,Clear,clear-night,0.0,0.0,,19.16,19.16,15.02,0.77,1007.5,1.11,1.42,335,0.01,0,16.093,262.5
42,2020-09-07 06:00:00,Clear,clear-day,0.0051,0.02,rain,19.1,19.1,14.58,0.75,1008.0,1.04,1.33,347,0.06,0,16.093,262.9
43,2020-09-07 07:00:00,Clear,clear-day,0.0089,0.02,rain,21.15,21.17,15.53,0.7,1008.5,0.78,1.0,12,0.22,0,16.093,263.5
44,2020-09-07 08:00:00,Partly Cloudy,partly-cloudy-day,0.0325,0.02,rain,24.07,24.21,17.03,0.65,1009.2,0.51,0.63,45,0.41,2,16.093,264.1
45,2020-09-07 09:00:00,Partly Cloudy,partly-cloudy-day,0.0892,0.04,rain,26.52,26.94,18.08,0.6,1008.8,0.44,0.5,83,0.5,4,16.093,264.0
46,2020-09-07 10:00:00,Partly Cloudy,partly-cloudy-day,0.2046,0.06,rain,28.53,29.85,19.01,0.56,1008.5,0.69,0.72,114,0.45,6,16.093,263.1
47,2020-09-07 11:00:00,Partly Cloudy,partly-cloudy-day,0.3779,0.07,rain,30.42,32.23,19.79,0.53,1007.9,1.03,1.1,141,0.36,9,16.093,262.1
48,2020-09-07 12:00:00,Partly Cloudy,partly-cloudy-day,0.5368,0.07,rain,31.57,33.84,20.25,0.51,1007.2,1.26,1.36,160,0.38,9,16.093,261.3
