,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.0481,0.04,rain,34.52,40.12,23.09,0.52,1006.1,2.16,2.16,205,0.12,10,16.093,270.0
1,2020-09-05 13:00:00,Humid,clear-day,0.0234,0.05,rain,35.08,41.55,23.65,0.52,1005.1,2.52,2.54,217,0.16,10,16.093,269.9
2,2020-09-05 14:00:00,Humid,clear-day,0.0025,0.04,rain,35.38,42.81,24.3,0.53,1004.2,2.88,2.95,234,0.2,8,16.093,269.9
3,2020-09-05 15:00:00,Humid,clear-day,0.0,0.0,,35.32,43.72,24.99,0.55,1003.3,3.04,3.24,237,0.22,5,16.093,269.8
4,2020-09-05 16:00:00,Humid,clear-day,0.0,0.0,,34.8,43.51,25.31,0.58,1002.7,2.96,3.39,250,0.23,3,16.093,269.4
5,2020-09-05 17:00:00,Humid,clear-day,0.0045,0.01,rain,33.75,42.0,25.25,0.61,1002.4,2.72,3.4,248,0.23,1,16.093,268.8
6,2020-09-05 18:00:00,Humid,clear-day,0.0071,0.04,rain,32.5,40.42,25.36,0.66,1002.4,2.36,3.15,234,0.2,0,16.093,268.5
7,2020-09-05 19:00:00,Humid,clear-night,0.0127,0.04,rain,30.99,38.59,25.65,0.73,1003.1,1.8,2.55,188,0.13,0,16.093,268.4
8,2020-09-05 20:00:00,Humid,clear-night,0.0277,0.05,rain,29.67,36.77,25.93,0.8,1003.8,1.21,1.81,349,0.05,0,16.093,268.2
9,2020-09-05 21:00:00,Humid,clear-night,0.0424,0.05,rain,28.7,35.2,26.12,0.86,1004.4,0.9,1.29,279,0.0,0,16.093,267.9
10,2020-09-05 22:00:00,Humid,clear-night,0.0606,0.05,rain,27.97,33.93,26.19,0.9,1004.6,0.98,1.13,295,0.0,0,16.093,267.5
11,2020-09-05 23:00:00,Humid,clear-night,0.1028,0.06,rain,27.45,33.04,26.29,0.93,1004.6,1.21,1.27,25,0.0,0,16.093,267.0
12,2020-09-06 00:00:00,Humid,clear-night,0.121,0.07,rain,27.0,32.18,26.29,0.96,1004.6,1.34,1.36,24,0.04,0,16.093,266.6
13,2020-09-06 01:00:00,Humid,clear-night,0.1662,0.07,rain,26.6,30.94,26.1,0.97,1004.4,1.3,1.36,32,0.27,0,16.093,266.1
14,2020-09-06 02:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3972,0.1,rain,26.22,28.95,25.77,0.97,1004.2,1.26,1.52,34,0.54,0,16.093,265.7
15,2020-09-06 03:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5253,0.1,rain,25.76,27.58,25.26,0.97,1004.1,1.24,1.69,33,0.72,0,16.093,265.5
16,2020-09-06 04:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2829,0.07,rain,25.19,26.25,24.78,0.98,1004.1,1.23,1.77,27,0.77,0,16.093,265.4
17,2020-09-06 05:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0495,0.03,rain,24.76,25.86,24.52,0.99,1004.2,1.22,1.82,24,0.77,0,16.093,265.4
18,2020-09-06 06:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0042,0.02,rain,24.93,26.07,24.63,0.98,1004.6,1.19,1.8,26,0.71,0,16.093,265.6
19,2020-09-06 07:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.026,0.02,rain,25.9,27.73,24.7,0.93,1005.3,1.13,1.63,36,0.6,0,16.093,266.3
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0694,0.03,rain,27.4,30.99,24.21,0.83,1006.0,1.08,1.47,54,0.45,2,15.124,267.1
