,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0333,0.03,rain,33.48,44.61,27.04,0.69,1006.1,1.1,1.54,219,0.37,9,16.093,270.1
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0174,0.02,rain,34.31,45.17,26.69,0.65,1005.2,1.37,1.87,228,0.41,8,16.093,269.4
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,34.8,45.19,26.32,0.62,1004.4,1.76,2.29,266,0.47,7,16.093,268.5
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,34.87,45.25,26.29,0.61,1003.5,2.03,2.99,259,0.53,4,16.093,267.9
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0018,0.01,rain,34.4,45.41,26.75,0.65,1002.8,2.14,4.19,7,0.62,2,16.093,268.0
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0065,0.03,rain,33.35,45.07,27.38,0.71,1002.5,2.17,5.42,243,0.69,1,16.093,268.2
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0108,0.03,rain,32.01,43.52,27.67,0.78,1002.2,2.07,5.77,255,0.64,0,16.093,268.3
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.019,0.04,rain,30.65,40.62,27.36,0.83,1002.7,1.83,4.92,247,0.44,0,16.093,268.1
8,2020-09-05 20:00:00,Humid,clear-night,0.0413,0.04,rain,29.28,37.16,26.78,0.86,1003.5,1.53,3.6,6,0.18,0,16.093,267.9
9,2020-09-05 21:00:00,Humid,clear-night,0.0637,0.04,rain,28.35,34.86,26.36,0.89,1004.1,1.41,2.69,41,0.04,0,16.093,267.5
10,2020-09-05 22:00:00,Humid,clear-night,0.0797,0.05,rain,27.79,33.51,26.12,0.91,1004.2,1.57,2.37,100,0.05,0,16.093,267.2
11,2020-09-05 23:00:00,Humid,clear-night,0.1004,0.07,rain,27.46,32.76,26.02,0.92,1004.2,1.8,2.22,70,0.11,0,16.093,266.8
12,2020-09-06 00:00:00,Humid,clear-night,0.0967,0.07,rain,27.13,32.16,26.02,0.94,1004.1,1.85,2.0,54,0.14,0,16.093,266.2
13,2020-09-06 01:00:00,Humid,clear-night,0.0485,0.06,rain,26.69,30.96,25.89,0.95,1004.0,1.63,1.67,52,0.09,0,16.093,265.5
14,2020-09-06 02:00:00,Humid,clear-night,0.0084,0.04,rain,26.33,29.25,25.73,0.96,1004.0,1.35,1.39,58,0.03,0,16.093,264.7
15,2020-09-06 03:00:00,Humid,clear-night,0.0,0.0,,25.94,28.15,25.63,0.98,1004.1,1.2,1.26,63,0.0,0,16.093,264.5
16,2020-09-06 04:00:00,Humid,clear-night,0.0,0.0,,25.69,27.41,25.58,0.99,1004.0,1.23,1.39,67,0.0,0,16.093,264.9
17,2020-09-06 05:00:00,Humid,clear-night,0.0,0.0,,25.54,26.96,25.51,1.0,1004.0,1.35,1.72,73,0.0,0,16.093,265.4
18,2020-09-06 06:00:00,Humid,clear-day,0.0,0.0,,25.73,27.53,25.65,1.0,1004.4,1.54,1.86,81,0.0,0,16.093,266.1
19,2020-09-06 07:00:00,Humid,clear-day,0.0,0.0,,26.55,30.15,26.11,0.97,1005.0,1.85,1.86,93,0.0,1,16.093,267.0
20,2020-09-06 08:00:00,Humid,clear-day,0.0119,0.02,rain,27.95,34.5,26.61,0.92,1005.8,2.19,2.19,106,0.01,2,16.093,267.8
