,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.3152,0.05,rain,30.18,32.86,21.13,0.58,1007.8,1.16,1.9,166,0.26,10,11.341,264.9
1,2020-09-05 13:00:00,Humid,clear-day,0.5577,0.07,rain,31.0,34.87,22.35,0.6,1006.7,1.14,1.77,169,0.27,9,10.721,265.6
2,2020-09-05 14:00:00,Humid,clear-day,0.8545,0.07,rain,31.11,36.15,23.52,0.64,1005.7,1.07,1.51,166,0.27,8,11.212,266.4
3,2020-09-05 15:00:00,Humid,clear-day,1.0543,0.08,rain,30.6,36.56,24.52,0.7,1005.0,0.98,1.36,165,0.29,5,12.037,266.9
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0643,0.08,rain,29.77,36.38,25.5,0.78,1004.6,0.87,1.34,168,0.35,3,13.069,266.8
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9712,0.08,rain,28.35,34.11,25.74,0.86,1004.6,0.76,1.37,208,0.41,1,14.569,266.6
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8044,0.09,rain,26.89,30.72,25.19,0.9,1004.8,0.7,1.35,187,0.39,0,16.093,266.6
7,2020-09-05 19:00:00,Humid,clear-night,0.5491,0.09,rain,25.45,26.86,24.03,0.92,1005.7,0.72,1.23,102,0.28,0,16.093,267.1
8,2020-09-05 20:00:00,Humid,clear-night,0.3105,0.07,rain,24.18,24.97,22.56,0.91,1006.7,0.77,1.12,8,0.14,0,16.093,267.4
9,2020-09-05 21:00:00,Clear,clear-night,0.184,0.06,rain,23.19,23.89,21.31,0.89,1007.5,0.82,1.11,323,0.05,0,16.093,267.0
10,2020-09-05 22:00:00,Clear,clear-night,0.1321,0.05,rain,22.66,23.27,20.5,0.88,1007.8,0.88,1.22,317,0.03,0,16.093,265.4
11,2020-09-05 23:00:00,Clear,clear-night,0.1099,0.04,rain,22.33,22.87,19.89,0.86,1007.9,0.94,1.41,326,0.04,0,16.093,263.3
12,2020-09-06 00:00:00,Clear,clear-night,0.1008,0.03,rain,21.95,22.44,19.49,0.86,1007.9,0.99,1.54,331,0.06,0,16.093,262.3
13,2020-09-06 01:00:00,Clear,clear-night,0.1004,0.03,rain,21.4,21.85,19.01,0.86,1007.7,1.01,1.6,329,0.11,0,16.093,262.5
14,2020-09-06 02:00:00,Clear,clear-night,0.1051,0.04,rain,20.95,21.34,18.46,0.86,1007.5,1.02,1.64,326,0.17,0,16.093,263.2
15,2020-09-06 03:00:00,Clear,clear-night,0.0869,0.04,rain,20.65,20.96,17.86,0.84,1007.4,1.02,1.66,327,0.22,0,16.093,263.8
16,2020-09-06 04:00:00,Clear,clear-night,0.0402,0.03,rain,20.21,20.44,17.11,0.82,1007.6,1.04,1.66,329,0.24,0,16.093,264.1
17,2020-09-06 05:00:00,Clear,clear-night,0.0099,0.02,rain,19.83,19.98,16.49,0.81,1007.5,1.03,1.62,335,0.24,0,16.093,264.4
18,2020-09-06 06:00:00,Clear,clear-day,0.0048,0.01,rain,19.76,19.87,16.09,0.79,1007.4,0.95,1.43,349,0.22,0,16.093,264.7
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,20.87,20.96,16.18,0.75,1008.0,0.75,1.02,12,0.16,1,16.093,265.0
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,23.14,23.3,17.26,0.7,1008.5,0.53,0.61,23,0.09,2,16.093,265.2
21,2020-09-06 09:00:00,Clear,clear-day,0.0177,0.01,rain,25.6,26.12,18.74,0.66,1008.8,0.51,0.57,34,0.05,5,16.093,264.7
22,2020-09-06 10:00:00,Clear,clear-day,0.0796,0.03,rain,27.48,29.03,19.82,0.63,1008.2,0.79,0.89,111,0.05,8,16.093,263.4
23,2020-09-06 11:00:00,Clear,clear-day,0.2271,0.05,rain,29.16,31.35,20.67,0.6,1007.4,1.15,1.43,143,0.06,10,16.093,261.8
24,2020-09-06 12:00:00,Clear,clear-day,0.4166,0.07,rain,30.58,33.74,21.65,0.59,1006.5,1.36,1.78,160,0.12,11,16.093,260.9
25,2020-09-06 13:00:00,Humid,clear-day,0.6102,0.07,rain,31.44,35.58,22.52,0.59,1005.6,1.37,1.82,161,0.23,10,15.774,260.6
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8014,0.07,rain,31.58,36.56,23.31,0.62,1004.7,1.29,1.74,154,0.36,7,15.719,260.7
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9386,0.08,rain,31.11,36.74,24.04,0.66,1004.2,1.2,1.67,148,0.47,5,14.713,261.0
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9909,0.08,rain,30.36,36.41,24.7,0.72,1004.1,1.1,1.6,150,0.56,3,11.927,261.5
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9688,0.08,rain,29.03,34.16,24.57,0.77,1004.4,1.0,1.51,173,0.61,1,9.187,262.0
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8786,0.08,rain,27.7,31.43,24.03,0.8,1005.0,0.91,1.42,146,0.59,0,9.301,262.3
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.7258,0.08,rain,26.26,28.29,23.17,0.83,1006.1,0.84,1.33,69,0.47,0,13.49,262.1
32,2020-09-06 20:00:00,Clear,clear-night,0.5441,0.08,rain,24.9,25.53,22.02,0.84,1007.3,0.79,1.26,18,0.3,0,16.093,261.8
33,2020-09-06 21:00:00,Clear,clear-night,0.3662,0.08,rain,23.84,24.48,21.03,0.84,1008.2,0.8,1.25,341,0.19,0,16.093,261.5
34,2020-09-06 22:00:00,Clear,clear-night,0.1949,0.06,rain,23.17,23.73,20.27,0.84,1008.5,0.88,1.27,333,0.15,0,16.093,261.2
35,2020-09-06 23:00:00,Clear,clear-night,0.078,0.05,rain,22.7,23.18,19.64,0.83,1008.7,0.98,1.34,336,0.13,0,16.093,261.0
36,2020-09-07 00:00:00,Clear,clear-night,0.0301,0.02,rain,22.13,22.57,19.1,0.83,1009.0,1.06,1.37,338,0.1,0,16.093,260.8
37,2020-09-07 01:00:00,Clear,clear-night,0.01,0.01,rain,21.43,21.79,18.32,0.82,1008.6,1.07,1.34,337,0.06,0,16.093,260.9
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,20.88,21.14,17.51,0.81,1007.7,1.06,1.31,336,0.02,0,16.093,261.1
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,20.49,20.66,16.77,0.79,1007.1,1.07,1.32,335,0.0,0,16.093,261.3
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,19.96,20.06,16.1,0.78,1007.7,1.12,1.44,333,0.0,0,16.093,261.6
41,2020-09-07 05:00:00,Clear,clear-night,0.0,0.0,,19.45,19.5,15.59,0.78,1008.1,1.17,1.56,332,0.0,0,16.093,262.0
42,2020-09-07 06:00:00,Clear,clear-day,0.005,0.02,rain,19.31,19.32,15.22,0.77,1008.3,1.11,1.49,345,0.04,0,16.093,262.4
43,2020-09-07 07:00:00,Clear,clear-day,0.007,0.02,rain,20.76,20.79,15.67,0.73,1008.8,0.88,1.14,17,0.14,1,16.093,263.0
44,2020-09-07 08:00:00,Clear,clear-day,0.0237,0.02,rain,23.41,23.56,17.16,0.68,1009.4,0.62,0.75,59,0.26,2,16.093,263.4
45,2020-09-07 09:00:00,Partly Cloudy,partly-cloudy-day,0.0722,0.04,rain,26.03,26.56,18.77,0.64,1009.2,0.54,0.63,152,0.32,4,16.093,263.3
