,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5908,0.07,rain,24.9,25.91,23.88,0.94,1007.6,1.46,2.1,198,0.39,10,8.589,263.7
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8432,0.08,rain,25.3,26.48,25.14,0.99,1006.7,1.45,2.09,203,0.47,9,8.221,264.3
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1177,0.09,rain,24.91,26.33,24.91,1.0,1005.8,1.35,1.93,205,0.53,7,9.419,265.2
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2823,0.11,rain,24.0,25.65,24.0,1.0,1005.1,1.21,1.78,201,0.58,5,11.556,265.9
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2297,0.13,rain,23.09,25.04,23.09,1.0,1004.7,1.0,1.69,187,0.59,3,14.915,266.3
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0533,0.16,rain,22.41,24.52,22.41,1.0,1004.6,0.77,1.57,151,0.58,1,16.093,266.5
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.8858,0.15,rain,21.5,23.56,21.5,1.0,1004.8,0.6,1.42,73,0.53,0,16.093,266.6
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.7892,0.15,rain,20.73,22.65,20.73,1.0,1005.5,0.51,1.2,73,0.43,0,16.093,266.7
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.7721,0.14,rain,20.02,21.76,20.02,1.0,1006.5,0.48,0.97,48,0.31,0,16.093,266.6
9,2020-09-05 21:00:00,Clear,clear-night,0.7038,0.13,rain,19.39,20.94,19.39,1.0,1007.1,0.5,0.86,31,0.25,0,16.093,266.3
10,2020-09-05 22:00:00,Clear,clear-night,0.4711,0.1,rain,19.09,20.48,19.09,1.0,1007.3,0.59,0.91,28,0.24,0,16.093,265.7
11,2020-09-05 23:00:00,Clear,clear-night,0.2444,0.08,rain,18.94,20.18,18.94,1.0,1007.3,0.72,1.03,33,0.26,0,16.093,265.0
12,2020-09-06 00:00:00,Clear,clear-night,0.1272,0.05,rain,18.72,19.83,18.72,1.0,1007.3,0.81,1.15,34,0.29,0,16.093,264.3
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.0709,0.04,rain,18.29,19.28,18.29,1.0,1007.4,0.86,1.25,29,0.34,0,16.093,263.6
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0365,0.03,rain,18.01,18.89,18.01,1.0,1007.1,0.9,1.36,23,0.39,0,16.093,263.0
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0184,0.03,rain,17.87,18.68,17.87,1.0,1007.0,0.97,1.47,17,0.41,0,16.093,262.8
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0095,0.02,rain,17.55,18.27,17.55,1.0,1006.6,1.11,1.62,12,0.37,0,16.093,263.1
17,2020-09-06 05:00:00,Clear,clear-night,0.006,0.02,rain,17.18,17.85,17.18,1.0,1006.1,1.23,1.73,11,0.3,0,16.093,263.6
18,2020-09-06 06:00:00,Clear,clear-day,0.0061,0.02,rain,17.18,17.84,17.18,1.0,1006.4,1.21,1.61,27,0.24,0,16.093,264.1
19,2020-09-06 07:00:00,Clear,clear-day,0.0094,0.02,rain,18.16,18.79,18.16,1.0,1007.4,0.98,1.15,67,0.17,0,16.093,264.4
20,2020-09-06 08:00:00,Clear,clear-day,0.0185,0.01,rain,19.79,20.49,19.79,1.0,1008.3,0.7,0.72,123,0.11,2,16.093,264.5
21,2020-09-06 09:00:00,Clear,clear-day,0.0328,0.01,rain,21.11,21.91,21.11,1.0,1008.5,0.66,0.69,165,0.09,5,16.093,264.1
22,2020-09-06 10:00:00,Humid,clear-day,0.0964,0.03,rain,22.25,23.15,22.25,1.0,1008.0,0.96,1.02,181,0.13,8,16.093,262.9
23,2020-09-06 11:00:00,Humid,clear-day,0.2826,0.07,rain,23.38,24.37,23.31,1.0,1007.1,1.37,1.51,188,0.19,10,15.421,261.4
24,2020-09-06 12:00:00,Humid,clear-day,0.5178,0.08,rain,24.75,25.75,24.11,0.96,1006.3,1.6,1.9,194,0.26,10,14.223,260.3
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7075,0.08,rain,25.81,27.25,24.81,0.94,1005.5,1.6,2.05,198,0.34,10,12.491,259.9
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8595,0.08,rain,26.27,29.02,25.48,0.95,1004.7,1.49,2.09,198,0.43,8,10.922,259.7
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9557,0.09,rain,25.63,27.54,25.63,1.0,1004.2,1.33,2.04,199,0.51,5,10.532,259.8
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0138,0.1,rain,24.51,25.99,24.51,1.0,1004.1,1.12,1.89,204,0.61,3,11.632,260.2
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0802,0.12,rain,23.25,25.06,23.25,1.0,1004.3,0.88,1.68,205,0.68,1,13.532,260.7
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,1.0832,0.15,rain,22.22,24.12,22.22,1.0,1004.8,0.72,1.47,181,0.69,0,15.721,261.2
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.9558,0.15,rain,21.11,22.91,21.11,1.0,1005.8,0.66,1.28,126,0.59,0,16.093,261.7
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.7727,0.15,rain,20.18,21.83,20.18,1.0,1006.9,0.67,1.12,59,0.45,0,16.093,262.2
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.5564,0.14,rain,19.42,20.9,19.42,1.0,1007.7,0.7,1.07,18,0.34,0,16.093,262.1
34,2020-09-06 22:00:00,Clear,clear-night,0.2938,0.11,rain,19.18,20.49,19.18,1.0,1007.9,0.74,1.17,13,0.28,0,16.093,261.6
35,2020-09-06 23:00:00,Clear,clear-night,0.1178,0.08,rain,19.15,20.28,19.15,1.0,1008.0,0.81,1.33,22,0.23,0,16.093,260.8
36,2020-09-07 00:00:00,Clear,clear-night,0.0565,0.06,rain,18.96,19.96,18.96,1.0,1008.4,0.87,1.43,27,0.17,0,16.093,260.3
37,2020-09-07 01:00:00,Clear,clear-night,0.0218,0.04,rain,18.54,19.4,18.54,1.0,1008.0,0.92,1.42,25,0.1,0,16.093,260.1
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,18.22,18.98,18.22,1.0,1006.9,0.98,1.39,21,0.03,0,16.093,260.3
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,18.18,18.88,18.18,1.0,1005.8,1.03,1.41,20,0.0,0,16.093,260.5
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,18.03,18.65,18.03,1.0,1006.4,1.11,1.54,17,0.01,0,16.093,261.0
41,2020-09-07 05:00:00,Clear,clear-night,0.0027,0.01,rain,17.79,18.36,17.79,1.0,1006.7,1.17,1.67,18,0.05,0,16.093,261.5
42,2020-09-07 06:00:00,Clear,clear-day,0.005,0.02,rain,17.66,18.16,17.66,1.0,1007.2,1.14,1.6,33,0.07,0,16.093,262.0
43,2020-09-07 07:00:00,Clear,clear-day,0.0,0.0,,18.57,19.08,18.45,0.99,1007.8,0.93,1.21,71,0.07,0,16.093,262.3
44,2020-09-07 08:00:00,Clear,clear-day,0.0163,0.03,rain,20.1,20.68,19.5,0.96,1009.0,0.7,0.78,119,0.07,2,16.093,262.4
45,2020-09-07 09:00:00,Clear,clear-day,0.051,0.03,rain,21.52,22.15,20.32,0.93,1009.2,0.66,0.68,158,0.06,5,15.983,262.2
46,2020-09-07 10:00:00,Clear,clear-day,0.1336,0.05,rain,22.87,23.54,20.96,0.89,1008.6,0.92,0.98,176,0.05,8,14.103,261.2
47,2020-09-07 11:00:00,Clear,clear-day,0.2717,0.07,rain,24.44,25.11,21.65,0.85,1007.9,1.27,1.45,190,0.06,11,12.717,260.1
48,2020-09-07 12:00:00,Humid,clear-day,0.4374,0.08,rain,25.79,26.79,22.3,0.81,1007.3,1.47,1.76,200,0.16,11,12.533,259.4
