,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.6062,0.07,rain,28.68,34.62,25.65,0.84,1007.5,1.35,2.12,191,0.28,10,11.687,265.0
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8067,0.09,rain,28.86,35.98,26.5,0.87,1006.6,1.32,2.1,206,0.36,9,11.496,265.5
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0562,0.09,rain,28.45,36.71,27.57,0.95,1005.6,1.19,1.92,217,0.45,7,12.554,266.4
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2199,0.11,rain,27.98,37.41,27.98,1.0,1004.9,1.05,1.78,217,0.51,5,14.194,267.0
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1563,0.13,rain,27.38,37.58,27.38,1.0,1004.5,0.92,1.71,204,0.51,3,16.093,267.5
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9659,0.15,rain,26.7,35.02,26.7,1.0,1004.3,0.78,1.63,164,0.49,1,16.093,267.8
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7724,0.14,rain,25.92,28.53,25.92,1.0,1004.4,0.69,1.51,7,0.43,0,16.093,267.9
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.6236,0.13,rain,25.2,26.02,25.2,1.0,1005.2,0.65,1.32,51,0.32,0,16.093,267.7
8,2020-09-05 20:00:00,Humid,clear-night,0.5637,0.12,rain,24.34,25.96,24.34,1.0,1006.1,0.64,1.11,41,0.2,0,16.093,267.4
9,2020-09-05 21:00:00,Humid,clear-night,0.4967,0.1,rain,23.68,25.11,23.68,1.0,1006.7,0.68,1.02,22,0.13,0,16.093,266.9
10,2020-09-05 22:00:00,Humid,clear-night,0.3063,0.08,rain,23.27,24.62,23.27,1.0,1006.9,0.76,1.06,23,0.13,0,16.093,266.2
