,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4825,0.06,rain,24.2,25.21,23.74,0.97,1007.7,1.56,2.12,198,0.42,10,8.781,261.7
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7511,0.07,rain,24.29,25.44,24.29,1.0,1006.8,1.55,2.06,200,0.55,8,6.857,262.2
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0404,0.09,rain,23.53,24.9,23.53,1.0,1005.9,1.45,1.86,198,0.69,6,6.218,263.1
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.2201,0.11,rain,22.55,24.22,22.55,1.0,1005.3,1.31,1.71,190,0.77,5,7.357,263.8
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,1.202,0.13,rain,21.59,23.67,21.59,1.0,1005.0,1.09,1.67,172,0.79,3,10.822,264.1
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,1.065,0.15,rain,20.62,22.89,20.62,1.0,1004.9,0.83,1.62,121,0.76,1,15.37,264.4
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.9208,0.16,rain,19.86,22.13,19.86,1.0,1005.2,0.64,1.49,77,0.71,0,16.093,264.6
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.8167,0.15,rain,19.4,21.49,19.4,1.0,1006.0,0.53,1.24,77,0.64,0,16.093,264.9
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.764,0.14,rain,18.87,20.69,18.87,1.0,1007.0,0.49,0.96,41,0.55,0,16.093,265.2
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.6882,0.13,rain,18.35,19.96,18.35,1.0,1007.7,0.51,0.82,22,0.47,0,16.093,265.1
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.5036,0.1,rain,17.86,19.33,17.86,1.0,1008.0,0.61,0.87,24,0.43,0,16.093,264.6
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.3109,0.09,rain,17.32,18.6,17.32,1.0,1008.0,0.74,1.0,33,0.4,0,16.093,263.8
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.1854,0.07,rain,16.95,18.08,16.95,1.0,1008.0,0.84,1.13,37,0.36,0,16.093,263.1
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.1113,0.05,rain,16.72,17.74,16.72,1.0,1008.2,0.89,1.26,31,0.32,0,16.093,262.3
