,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 11:45:00,Clear,clear-day,0.0332,0.05,rain,15.9,16.98,15.9,1,1008.1,1.87,2.53,182,0.14,12,4.754,260.1
1,2020-09-05 12:45:00,Partly Cloudy,partly-cloudy-day,0.0488,0.05,rain,16.45,17.64,16.45,1,1007.0,1.85,2.5,203,0.4,9,7.496,260.4
2,2020-09-05 13:45:00,Mostly Cloudy,partly-cloudy-day,0.0621,0.06,rain,15.94,17.29,15.94,1,1006.0,1.74,2.24,213,0.73,6,13.85,260.4
3,2020-09-05 14:45:00,Overcast,cloudy,0.0654,0.06,rain,15.13,16.73,15.13,1,1005.2,1.6,1.97,208,0.96,4,16.093,260.2
4,2020-09-05 15:45:00,Overcast,cloudy,0.0533,0.06,rain,13.72,15.77,13.72,1,1004.8,1.45,1.76,173,0.98,3,16.093,259.8
5,2020-09-05 16:45:00,Overcast,cloudy,0.0372,0.07,rain,12.74,15.04,12.74,1,1004.7,1.31,1.54,68,0.94,1,12.787,259.1
6,2020-09-05 17:45:00,Overcast,cloudy,0.0258,0.07,rain,11.86,14.34,11.86,1,1005.1,1.16,1.37,301,0.91,0,10.099,258.4
7,2020-09-05 18:45:00,Overcast,cloudy,0.0145,0.06,rain,11.33,13.7,11.33,1,1006.2,1.05,1.21,298,0.9,0,9.727,257.5
8,2020-09-05 19:45:00,Overcast,cloudy,0.0051,0.05,rain,10.62,12.74,10.62,1,1007.7,0.95,1.03,317,0.9,0,10.379,256.5
9,2020-09-05 20:45:00,Overcast,cloudy,0.0,0.0,,10.06,11.88,10.06,1,1008.8,0.87,0.93,12,0.89,0,11.447,255.8
10,2020-09-05 21:45:00,Overcast,cloudy,0.0,0.0,,9.79,11.3,9.79,1,1009.3,0.83,0.95,67,0.88,0,12.827,255.7
11,2020-09-05 22:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,9.68,10.85,9.68,1,1009.5,0.82,1.05,53,0.85,0,14.625,256.0
12,2020-09-05 23:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,9.58,10.44,9.58,1,1009.4,0.81,1.1,29,0.78,0,16.093,256.2
13,2020-09-06 00:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,9.7,10.28,9.7,1,1009.3,0.81,1.03,18,0.61,0,16.093,256.2
