,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4759,0.06,rain,23.33,24.6,23.33,1.0,1007.6,1.31,2.13,216,0.37,10,7.143,263.7
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7536,0.07,rain,23.02,24.48,23.02,1.0,1006.7,1.34,2.39,224,0.4,9,12.137,263.9
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0326,0.1,rain,22.4,24.07,22.4,1.0,1005.8,1.29,2.54,226,0.43,8,16.093,264.4
3,2020-09-05 15:00:00,Partly Cloudy,partly-cloudy-day,1.1876,0.14,rain,21.64,23.5,21.64,1.0,1005.1,1.21,2.53,214,0.45,5,16.093,265.1
4,2020-09-05 16:00:00,Partly Cloudy,partly-cloudy-day,1.1483,0.17,rain,21.3,23.29,21.3,1.0,1004.7,1.08,2.28,174,0.49,3,16.093,265.7
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.9932,0.16,rain,20.92,22.91,20.92,1.0,1004.4,0.92,1.94,27,0.51,1,16.093,266.3
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.763,0.15,rain,20.32,22.21,20.32,1.0,1004.6,0.83,1.69,332,0.5,0,16.093,266.7
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.4575,0.12,rain,19.49,21.26,19.49,1.0,1005.2,0.83,1.59,47,0.44,0,16.093,266.6
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.2024,0.08,rain,18.82,20.42,18.82,1.0,1006.2,0.87,1.53,29,0.35,0,16.093,266.4
9,2020-09-05 21:00:00,Clear,clear-night,0.0832,0.06,rain,18.36,19.77,18.36,1.0,1007.2,0.9,1.46,20,0.29,0,16.093,266.2
10,2020-09-05 22:00:00,Clear,clear-night,0.0522,0.05,rain,18.0,19.26,18.0,1.0,1007.3,0.91,1.36,19,0.24,0,16.093,266.0
11,2020-09-05 23:00:00,Clear,clear-night,0.0487,0.04,rain,17.93,19.11,17.93,1.0,1007.2,0.92,1.28,21,0.21,0,16.093,265.9
12,2020-09-06 00:00:00,Clear,clear-night,0.0414,0.03,rain,17.92,19.03,17.92,1.0,1007.0,0.94,1.27,23,0.17,0,16.093,265.4
13,2020-09-06 01:00:00,Clear,clear-night,0.0203,0.03,rain,17.9,18.94,17.9,1.0,1006.8,1.0,1.37,22,0.15,0,16.093,264.6
14,2020-09-06 02:00:00,Clear,clear-night,0.0056,0.02,rain,17.95,18.94,17.95,1.0,1006.2,1.08,1.52,19,0.13,0,16.093,263.7
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,17.91,18.85,17.91,1.0,1005.4,1.14,1.63,17,0.11,0,16.093,263.2
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,17.74,18.65,17.74,1.0,1005.3,1.18,1.72,10,0.09,0,16.093,263.3
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,17.63,18.56,17.63,1.0,1005.6,1.19,1.76,7,0.08,0,16.093,263.7
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,,17.67,18.63,17.67,1.0,1005.9,1.1,1.61,28,0.07,0,16.093,264.1
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,18.51,19.5,18.51,1.0,1006.4,0.83,1.17,82,0.06,0,16.093,264.5
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,20.16,21.11,20.16,1.0,1007.5,0.55,0.68,152,0.05,2,16.093,264.9
21,2020-09-06 09:00:00,Clear,clear-day,0.0111,0.01,rain,21.39,22.34,21.39,1.0,1008.1,0.54,0.57,199,0.07,5,16.093,264.5
