,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4277,0.06,rain,26.27,28.93,25.18,0.94,1007.7,1.48,2.0,215,0.37,10,8.847,262.8
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6843,0.07,rain,26.15,28.65,25.48,0.96,1006.8,1.49,2.1,219,0.42,9,9.967,263.1
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9667,0.09,rain,25.37,26.76,25.37,1.0,1005.9,1.41,2.08,220,0.46,7,12.846,263.7
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.146,0.12,rain,24.55,26.05,24.55,1.0,1005.2,1.28,1.99,211,0.5,5,15.708,264.3
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1443,0.14,rain,23.91,25.68,23.91,1.0,1004.8,1.08,1.82,193,0.53,3,16.093,264.9
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0299,0.16,rain,23.29,25.16,23.29,1.0,1004.7,0.84,1.62,52,0.56,1,16.093,265.4
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8672,0.16,rain,22.56,24.4,22.56,1.0,1004.9,0.67,1.45,302,0.54,0,16.093,265.8
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.6869,0.14,rain,22.05,23.8,22.05,1.0,1005.6,0.58,1.35,82,0.46,0,16.093,265.8
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.553,0.11,rain,21.48,23.07,21.48,1.0,1006.6,0.54,1.26,46,0.36,0,16.093,265.7
9,2020-09-05 21:00:00,Clear,clear-night,0.4444,0.1,rain,21.03,22.49,21.03,1.0,1007.2,0.53,1.19,31,0.29,0,16.093,265.5
10,2020-09-05 22:00:00,Clear,clear-night,0.29,0.08,rain,20.77,22.17,20.77,1.0,1007.3,0.56,1.12,26,0.27,0,16.093,265.4
11,2020-09-05 23:00:00,Clear,clear-night,0.1541,0.06,rain,20.44,21.74,20.44,1.0,1007.3,0.62,1.07,26,0.27,0,16.093,265.2
12,2020-09-06 00:00:00,Clear,clear-night,0.0801,0.05,rain,20.12,21.3,20.12,1.0,1007.5,0.67,1.07,26,0.27,0,16.093,264.7
13,2020-09-06 01:00:00,Clear,clear-night,0.0338,0.04,rain,19.95,21.03,19.95,1.0,1007.5,0.73,1.17,23,0.3,0,16.093,263.9
