,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5342,0.07,rain,26.94,30.42,24.58,0.87,1007.7,1.55,1.99,205,0.44,9,5.079,263.1
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8179,0.08,rain,27.25,31.86,25.49,0.9,1006.8,1.55,2.04,208,0.44,9,6.215,263.6
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1146,0.09,rain,26.95,32.03,26.59,0.98,1005.8,1.46,1.96,207,0.42,7,9.551,264.4
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2808,0.11,rain,26.14,29.15,26.14,1.0,1005.2,1.29,1.84,200,0.42,5,13.252,265.0
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2299,0.13,rain,25.42,26.97,25.42,1.0,1004.8,1.03,1.68,184,0.45,3,16.093,265.5
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0592,0.17,rain,24.53,26.37,24.53,1.0,1004.7,0.73,1.48,150,0.49,1,16.093,265.9
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9111,0.17,rain,23.56,25.37,23.56,1.0,1004.9,0.51,1.32,107,0.48,0,16.093,266.1
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.8619,0.16,rain,23.06,24.77,23.06,1.0,1005.6,0.41,1.21,94,0.39,0,16.093,266.2
8,2020-09-05 20:00:00,Humid,clear-night,0.8831,0.15,rain,22.65,24.22,22.65,1.0,1006.5,0.37,1.11,66,0.28,0,16.093,266.1
9,2020-09-05 21:00:00,Humid,clear-night,0.8018,0.13,rain,22.3,23.75,22.3,1.0,1007.1,0.37,1.04,59,0.22,0,16.093,266.0
10,2020-09-05 22:00:00,Clear,clear-night,0.5101,0.11,rain,22.02,23.37,22.02,1.0,1007.2,0.42,0.99,44,0.23,0,16.093,265.7
11,2020-09-05 23:00:00,Clear,clear-night,0.228,0.08,rain,21.83,23.1,21.83,1.0,1007.2,0.51,0.95,34,0.28,0,16.093,265.3
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0898,0.05,rain,21.55,22.78,21.55,1.0,1007.2,0.58,0.98,28,0.36,0,16.093,264.8
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.0338,0.04,rain,21.12,22.25,21.12,1.0,1007.4,0.64,1.08,20,0.48,0,16.093,264.1
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0068,0.02,rain,20.86,21.89,20.86,1.0,1006.7,0.7,1.22,13,0.6,0,16.093,263.2
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,20.49,21.4,20.49,1.0,1006.3,0.8,1.37,8,0.65,0,16.093,263.0
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,19.74,20.51,19.74,1.0,1006.3,0.97,1.56,3,0.58,0,16.093,263.1
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,18.86,19.48,18.86,1.0,1006.4,1.13,1.73,4,0.46,0,16.093,263.4
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0065,0.02,rain,18.58,19.16,18.58,1.0,1006.6,1.14,1.64,28,0.35,0,16.093,263.7
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,19.69,20.3,19.52,0.99,1007.3,0.94,1.17,83,0.24,0,16.093,264.3
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,21.86,22.54,20.76,0.94,1008.1,0.68,0.68,155,0.13,2,16.093,264.7
21,2020-09-06 09:00:00,Humid,clear-day,0.0,0.0,,23.67,24.48,22.32,0.92,1008.4,0.67,0.67,200,0.09,5,14.585,264.3
22,2020-09-06 10:00:00,Humid,clear-day,0.0614,0.03,rain,25.16,26.26,23.77,0.92,1008.1,1.02,1.02,205,0.14,7,14.853,263.0
23,2020-09-06 11:00:00,Humid,clear-day,0.242,0.06,rain,26.1,28.37,24.55,0.91,1007.0,1.46,1.47,198,0.22,9,15.981,261.2
24,2020-09-06 12:00:00,Humid,clear-day,0.4709,0.08,rain,27.07,31.17,25.11,0.89,1006.3,1.7,1.77,194,0.3,10,16.093,260.2
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6543,0.08,rain,27.76,32.94,25.66,0.88,1005.5,1.67,1.89,197,0.38,9,16.093,259.8
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8172,0.08,rain,28.06,34.22,26.29,0.9,1004.7,1.53,1.9,199,0.46,7,16.093,259.9
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9593,0.09,rain,27.51,34.13,27.03,0.97,1004.3,1.34,1.88,201,0.54,5,16.093,260.0
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0798,0.1,rain,26.68,32.5,26.68,1.0,1004.2,1.12,1.84,206,0.62,3,16.093,260.1
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.1978,0.13,rain,25.37,26.82,25.37,1.0,1004.4,0.87,1.75,209,0.69,1,16.093,260.3
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3004,0.17,rain,24.3,25.96,24.3,1.0,1004.9,0.69,1.65,187,0.69,0,16.093,260.7
31,2020-09-06 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.3922,0.19,rain,23.42,25.0,23.42,1.0,1005.8,0.62,1.53,124,0.6,0,16.093,261.3
32,2020-09-06 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,1.3894,0.19,rain,22.89,24.35,22.89,1.0,1007.0,0.59,1.4,52,0.47,0,16.093,262.1
33,2020-09-06 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,1.137,0.18,rain,22.44,23.79,22.44,1.0,1007.7,0.59,1.31,9,0.37,0,16.093,262.2
34,2020-09-06 22:00:00,Clear,clear-night,0.6504,0.15,rain,22.05,23.31,22.05,1.0,1008.0,0.59,1.27,9,0.3,0,16.093,261.7
35,2020-09-06 23:00:00,Clear,clear-night,0.2863,0.12,rain,21.78,22.96,21.78,1.0,1008.0,0.6,1.26,23,0.26,0,16.093,260.9
36,2020-09-07 00:00:00,Clear,clear-night,0.1433,0.09,rain,21.43,22.56,21.43,1.0,1007.9,0.64,1.27,31,0.2,0,16.093,260.3
37,2020-09-07 01:00:00,Clear,clear-night,0.055,0.07,rain,20.99,22.02,20.99,1.0,1007.9,0.73,1.28,24,0.11,0,16.093,260.2
38,2020-09-07 02:00:00,Clear,clear-night,0.0052,0.03,rain,20.7,21.64,20.7,1.0,1007.3,0.84,1.29,16,0.03,0,16.093,260.2
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,20.5,21.36,20.5,1.0,1006.4,0.92,1.35,12,0.0,0,16.093,260.4
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,20.07,20.83,20.07,1.0,1006.6,0.99,1.49,9,0.02,0,16.093,260.7
41,2020-09-07 05:00:00,Clear,clear-night,0.0019,0.01,rain,19.58,20.26,19.58,1.0,1007.0,1.03,1.61,13,0.07,0,16.093,261.2
42,2020-09-07 06:00:00,Clear,clear-day,0.0051,0.04,rain,19.41,20.08,19.41,1.0,1007.4,1.01,1.54,35,0.1,0,16.093,261.5
43,2020-09-07 07:00:00,Clear,clear-day,0.0071,0.03,rain,20.28,21.0,20.28,1.0,1008.0,0.87,1.17,84,0.11,0,16.093,261.8
44,2020-09-07 08:00:00,Clear,clear-day,0.0249,0.03,rain,22.01,22.84,21.74,0.98,1009.0,0.71,0.76,143,0.11,2,15.169,262.0
45,2020-09-07 09:00:00,Humid,clear-day,0.0689,0.04,rain,23.84,24.73,23.07,0.95,1009.0,0.72,0.72,184,0.11,5,12.201,261.8
46,2020-09-07 10:00:00,Humid,clear-day,0.1553,0.06,rain,25.47,26.8,24.1,0.92,1008.5,0.97,1.0,196,0.1,8,11.099,260.8
47,2020-09-07 11:00:00,Humid,clear-day,0.2921,0.08,rain,26.81,29.77,24.16,0.85,1007.9,1.27,1.47,199,0.1,10,11.139,259.8
48,2020-09-07 12:00:00,Humid,clear-day,0.4537,0.09,rain,27.57,31.43,24.41,0.83,1007.4,1.44,1.76,201,0.2,11,12.678,259.2
