,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0176,0.01,rain,32.77,44.21,27.39,0.73,1006.3,0.87,1.77,223,0.66,7,16.093,269.1
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0105,0.01,rain,33.51,44.74,27.08,0.69,1005.4,1.34,2.11,238,0.72,7,16.093,268.6
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,33.99,44.9,26.79,0.66,1004.5,1.92,2.5,248,0.77,5,16.093,268.1
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,34.07,45.07,26.82,0.66,1003.6,2.11,2.68,240,0.79,4,16.093,267.7
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0047,0.01,rain,33.69,45.39,27.28,0.69,1003.1,1.73,2.58,84,0.79,2,16.093,267.5
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0085,0.03,rain,32.71,44.78,27.74,0.75,1002.7,1.16,2.4,8,0.76,1,16.093,267.3
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0108,0.03,rain,31.49,43.16,27.94,0.82,1002.5,0.93,2.36,281,0.68,0,16.093,267.2
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0125,0.03,rain,30.28,40.48,27.69,0.86,1003.2,1.23,2.56,304,0.56,0,16.093,267.3
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0283,0.04,rain,28.95,36.99,27.09,0.9,1003.9,1.72,2.81,0,0.42,0,16.093,267.2
9,2020-09-05 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0754,0.05,rain,28.03,34.66,26.7,0.92,1004.4,2.02,2.87,21,0.32,0,16.093,266.9
10,2020-09-05 22:00:00,Humid,clear-night,0.2254,0.1,rain,27.42,33.18,26.47,0.95,1004.6,2.09,2.7,74,0.27,0,16.093,265.9
11,2020-09-05 23:00:00,Humid,clear-night,0.496,0.16,rain,27.02,32.17,26.24,0.96,1004.6,2.08,2.43,63,0.25,0,16.093,264.7
12,2020-09-06 00:00:00,Humid,clear-night,0.6075,0.19,rain,26.63,30.93,26.01,0.96,1004.6,2.09,2.26,60,0.22,0,16.093,264.0
13,2020-09-06 01:00:00,Humid,clear-night,0.3828,0.17,rain,26.19,28.79,25.6,0.97,1004.3,2.13,2.21,57,0.17,0,16.093,263.9
14,2020-09-06 02:00:00,Humid,clear-night,0.1456,0.1,rain,25.89,27.99,25.45,0.97,1004.1,2.14,2.16,55,0.12,0,16.093,264.0
15,2020-09-06 03:00:00,Humid,clear-night,0.0564,0.08,rain,25.58,27.09,25.42,0.99,1003.9,2.04,2.06,57,0.09,0,16.093,264.2
16,2020-09-06 04:00:00,Humid,clear-night,0.021,0.05,rain,25.33,26.49,25.25,1.0,1004.1,1.74,1.8,64,0.07,0,16.093,264.4
17,2020-09-06 05:00:00,Humid,clear-night,0.0039,0.02,rain,25.13,26.28,25.06,1.0,1004.4,1.4,1.62,74,0.06,0,16.093,264.8
18,2020-09-06 06:00:00,Humid,clear-day,0.0,0.0,,25.28,26.52,25.11,0.99,1004.7,1.27,1.47,82,0.05,0,16.093,265.3
19,2020-09-06 07:00:00,Humid,clear-day,0.0086,0.02,rain,26.04,28.54,25.56,0.97,1005.5,1.42,1.42,86,0.03,1,16.093,266.3
20,2020-09-06 08:00:00,Humid,clear-day,0.0139,0.02,rain,27.36,32.8,26.15,0.93,1006.2,1.67,1.67,91,0.01,2,16.093,267.3
21,2020-09-06 09:00:00,Humid,clear-day,0.0152,0.02,rain,28.56,35.45,26.52,0.89,1006.8,1.89,1.89,107,0.0,5,16.093,267.8
22,2020-09-06 10:00:00,Humid,clear-day,0.0096,0.03,rain,29.39,37.1,26.6,0.85,1006.7,2.05,2.05,137,0.0,8,16.093,267.5
23,2020-09-06 11:00:00,Humid,clear-day,0.0065,0.03,rain,30.03,38.24,26.54,0.82,1006.4,2.21,2.23,159,0.02,10,16.093,266.8
24,2020-09-06 12:00:00,Humid,clear-day,0.0077,0.03,rain,30.67,39.53,26.66,0.79,1005.8,2.36,2.5,151,0.12,11,16.093,266.1
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0079,0.03,rain,31.38,41.17,26.93,0.77,1005.1,2.55,2.8,129,0.4,8,16.093,265.5
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0118,0.03,rain,31.9,42.38,27.14,0.76,1004.2,2.71,3.03,115,0.71,6,16.093,264.8
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0176,0.03,rain,32.1,43.01,27.31,0.76,1003.3,2.71,3.03,115,0.87,4,16.093,264.5
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.022,0.03,rain,32.08,43.4,27.54,0.77,1003.0,2.45,2.68,116,0.85,2,16.093,264.8
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0272,0.01,rain,31.52,42.42,27.52,0.79,1002.9,2.1,2.2,130,0.73,1,16.093,265.3
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0333,0.01,rain,30.57,40.55,27.41,0.83,1003.2,1.95,1.97,156,0.58,0,16.093,265.4
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0493,0.04,rain,29.53,38.02,27.04,0.87,1004.1,2.07,2.1,127,0.36,0,16.093,265.2
32,2020-09-06 20:00:00,Humid,clear-night,0.0925,0.05,rain,28.46,35.15,26.44,0.89,1005.1,2.26,2.3,80,0.13,0,16.093,264.9
33,2020-09-06 21:00:00,Humid,clear-night,0.1697,0.07,rain,27.62,33.07,26.01,0.91,1005.7,2.28,2.32,50,0.01,0,16.093,264.5
34,2020-09-06 22:00:00,Humid,clear-night,0.3476,0.13,rain,26.96,31.38,25.75,0.93,1006.0,2.09,2.21,47,0.03,0,16.093,264.0
35,2020-09-06 23:00:00,Humid,clear-night,0.654,0.2,rain,26.47,29.55,25.55,0.95,1006.0,1.84,2.42,55,0.09,0,16.093,263.5
36,2020-09-07 00:00:00,Possible Light Rain and Humid,rain,0.7836,0.25,rain,26.05,28.44,25.43,0.96,1005.9,1.68,2.76,59,0.13,0,16.093,263.2
37,2020-09-07 01:00:00,Humid,clear-night,0.5464,0.2,rain,25.67,27.26,25.14,0.97,1005.7,1.65,2.85,56,0.1,0,16.093,263.2
