,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0087,0.02,rain,33.75,44.2,26.59,0.66,1006.3,0.84,1.46,238,0.49,8,16.093,268.5
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,33.92,44.05,26.37,0.65,1005.3,1.18,1.81,233,0.53,8,16.093,268.2
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,33.73,43.4,26.14,0.65,1004.2,1.7,2.33,209,0.57,6,16.093,267.8
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,33.57,43.15,26.14,0.65,1003.4,2.0,3.0,239,0.61,4,16.093,267.5
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,33.56,43.65,26.43,0.66,1002.7,1.99,3.96,249,0.65,2,16.093,267.3
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,33.21,43.66,26.73,0.69,1002.3,1.88,4.92,236,0.68,1,16.093,267.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0066,0.02,rain,32.4,42.76,26.91,0.73,1002.3,1.76,5.24,237,0.67,0,16.093,267.1
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0063,0.02,rain,31.16,40.56,26.79,0.78,1002.9,1.6,4.7,208,0.59,0,16.093,267.2
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0056,0.03,rain,29.79,37.72,26.49,0.82,1003.8,1.45,3.8,138,0.5,0,16.093,267.4
9,2020-09-05 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0071,0.03,rain,28.75,35.39,26.21,0.86,1004.4,1.52,3.15,64,0.41,0,16.093,267.1
10,2020-09-05 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0157,0.01,rain,28.17,34.07,26.0,0.88,1004.3,1.89,2.84,101,0.33,0,16.093,266.5
11,2020-09-05 23:00:00,Humid,clear-night,0.0326,0.02,rain,27.74,33.13,25.87,0.9,1004.2,2.38,2.66,71,0.26,0,16.093,265.6
12,2020-09-06 00:00:00,Humid,clear-night,0.0412,0.03,rain,27.29,32.29,25.87,0.92,1004.0,2.66,2.66,69,0.21,0,16.093,265.0
13,2020-09-06 01:00:00,Humid,clear-night,0.0286,0.02,rain,26.74,31.0,25.83,0.95,1003.9,2.64,2.64,69,0.2,0,16.093,264.6
14,2020-09-06 02:00:00,Humid,clear-night,0.014,0.03,rain,26.3,29.16,25.72,0.97,1003.7,2.48,2.48,58,0.19,0,16.093,264.3
15,2020-09-06 03:00:00,Humid,clear-night,0.0073,0.04,rain,25.87,27.96,25.65,0.99,1003.7,2.36,2.36,61,0.17,0,16.093,264.3
16,2020-09-06 04:00:00,Humid,clear-night,0.0047,0.03,rain,25.62,27.2,25.62,1.0,1003.8,2.28,2.29,68,0.14,0,16.093,264.5
17,2020-09-06 05:00:00,Humid,clear-night,0.0,0.0,,25.51,26.87,25.51,1.0,1003.9,2.22,2.24,77,0.11,0,16.093,265.0
18,2020-09-06 06:00:00,Humid,clear-day,0.0,0.0,,25.73,27.55,25.64,0.99,1004.2,2.18,2.2,83,0.08,0,16.093,265.7
19,2020-09-06 07:00:00,Humid,clear-day,0.0084,0.02,rain,26.62,30.25,26.01,0.96,1004.9,2.14,2.14,85,0.05,1,16.093,266.8
20,2020-09-06 08:00:00,Humid,clear-day,0.019,0.02,rain,28.16,34.41,26.23,0.89,1005.7,2.15,2.15,88,0.02,2,16.093,267.8
21,2020-09-06 09:00:00,Humid,clear-day,0.0266,0.03,rain,29.5,37.17,26.5,0.84,1006.2,2.24,2.24,101,0.04,5,16.093,268.3
22,2020-09-06 10:00:00,Humid,clear-day,0.0218,0.03,rain,30.47,38.89,26.46,0.79,1006.1,2.48,2.48,126,0.08,8,16.093,268.2
23,2020-09-06 11:00:00,Humid,clear-day,0.0108,0.03,rain,31.2,39.94,26.35,0.75,1005.7,2.72,2.72,144,0.16,10,16.093,267.5
24,2020-09-06 12:00:00,Humid,clear-day,0.0249,0.03,rain,31.85,40.99,26.36,0.73,1005.2,2.78,2.78,128,0.3,9,16.093,266.7
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2585,0.06,rain,32.56,42.35,26.53,0.71,1004.0,2.64,2.67,105,0.55,8,16.093,265.6
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8375,0.12,rain,33.0,43.4,26.76,0.7,1003.0,2.41,2.63,103,0.81,5,16.093,264.5
27,2020-09-06 15:00:00,Humid and Overcast,cloudy,1.0837,0.13,rain,33.07,43.8,26.92,0.7,1002.5,2.2,2.52,121,0.98,4,16.093,264.0
28,2020-09-06 16:00:00,Humid and Overcast,cloudy,0.538,0.11,rain,32.75,43.58,27.07,0.72,1002.3,1.92,2.22,139,1.0,2,16.093,264.6
29,2020-09-06 17:00:00,Humid and Overcast,cloudy,0.0601,0.04,rain,31.98,42.53,27.15,0.76,1002.4,1.67,1.87,167,0.98,1,16.093,265.5
30,2020-09-06 18:00:00,Humid and Overcast,cloudy,0.0,0.0,,30.89,40.62,27.1,0.8,1003.2,1.73,1.79,198,0.93,0,16.093,265.9
31,2020-09-06 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,29.97,38.67,26.92,0.84,1004.1,2.3,2.3,163,0.86,0,16.093,265.4
32,2020-09-06 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0103,0.02,rain,28.98,36.32,26.58,0.87,1004.9,3.05,3.05,155,0.78,0,16.093,264.7
33,2020-09-06 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0388,0.04,rain,28.23,34.5,26.25,0.89,1005.2,3.37,3.37,142,0.72,0,16.093,264.2
34,2020-09-06 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1449,0.11,rain,27.73,33.21,25.95,0.9,1005.3,2.95,2.96,114,0.73,0,16.093,263.8
35,2020-09-06 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3351,0.15,rain,27.39,32.27,25.67,0.9,1005.3,2.33,2.38,75,0.75,0,16.093,263.5
36,2020-09-07 00:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3932,0.17,rain,26.99,31.23,25.52,0.92,1005.2,2.06,2.17,50,0.7,0,16.093,263.4
37,2020-09-07 01:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.218,0.12,rain,26.43,29.38,25.36,0.94,1005.0,2.3,2.43,48,0.55,0,16.093,263.4
38,2020-09-07 02:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.097,0.07,rain,25.98,28.19,25.3,0.96,1004.7,2.69,2.9,54,0.38,0,16.093,263.5
39,2020-09-07 03:00:00,Humid,clear-night,0.094,0.05,rain,25.55,26.99,25.26,0.98,1004.5,2.94,3.67,61,0.26,0,16.093,263.6
40,2020-09-07 04:00:00,Humid,clear-night,0.0617,0.04,rain,25.26,26.43,25.26,1.0,1004.5,2.99,4.95,68,0.21,0,16.093,263.9
41,2020-09-07 05:00:00,Humid,clear-night,0.0241,0.02,rain,25.06,26.25,25.06,1.0,1004.6,2.96,6.27,76,0.18,0,16.093,264.2
42,2020-09-07 06:00:00,Humid,clear-day,0.0245,0.02,rain,25.19,26.46,25.19,1.0,1005.0,2.94,6.77,85,0.15,0,16.093,264.3
43,2020-09-07 07:00:00,Humid,clear-day,0.1974,0.08,rain,26.02,28.62,25.99,1.0,1005.5,2.99,6.2,94,0.1,1,16.093,264.3
44,2020-09-07 08:00:00,Humid,clear-day,0.7152,0.19,rain,27.27,33.21,26.67,0.97,1006.3,3.01,5.14,103,0.05,2,12.407,263.9
45,2020-09-07 09:00:00,Rain and Humid,rain,1.2368,0.26,rain,28.3,35.52,26.94,0.92,1006.7,2.89,4.07,108,0.06,5,10.73,263.5
46,2020-09-07 10:00:00,Rain and Humid,rain,1.4458,0.28,rain,28.9,36.61,26.89,0.89,1006.7,2.55,3.01,107,0.13,8,14.849,262.9
47,2020-09-07 11:00:00,Rain and Humid,rain,1.4636,0.27,rain,29.19,36.89,26.72,0.87,1006.4,2.17,2.22,103,0.24,9,16.093,262.2
48,2020-09-07 12:00:00,Rain and Humid,rain,1.1939,0.25,rain,29.5,37.35,26.62,0.85,1006.0,1.95,1.95,103,0.35,9,16.093,261.9
