,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.0857,0.03,rain,27.01,29.81,23.29,0.8,1008.2,1.72,2.02,242,0.23,11,16.093,262.4
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2183,0.05,rain,27.31,31.11,24.51,0.85,1007.1,1.76,2.08,242,0.4,9,16.093,262.2
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4342,0.06,rain,26.78,31.08,25.99,0.95,1006.0,1.7,2.01,236,0.6,7,16.093,262.2
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6091,0.07,rain,25.92,28.24,25.92,1.0,1005.4,1.57,1.87,240,0.73,5,16.093,262.5
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6594,0.08,rain,24.85,25.02,24.85,1.0,1005.1,1.35,1.65,249,0.77,3,16.093,263.3
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6356,0.11,rain,23.9,26.0,23.9,1.0,1005.0,1.08,1.39,250,0.75,1,16.093,264.2
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5443,0.13,rain,22.94,24.99,22.94,1.0,1005.3,0.83,1.2,228,0.69,0,16.093,264.8
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.3834,0.12,rain,22.13,24.09,22.13,1.0,1006.2,0.63,1.0,165,0.57,0,16.093,264.7
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.2552,0.1,rain,21.4,23.25,21.4,1.0,1007.2,0.45,0.82,88,0.42,0,16.093,264.4
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.1956,0.09,rain,20.79,22.47,20.79,1.0,1007.9,0.37,0.74,37,0.32,0,16.093,264.3
