,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.0877,0.04,rain,25.98,27.1,22.84,0.83,1008.2,1.79,2.1,235,0.2,11,16.093,260.9
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2048,0.06,rain,26.37,28.86,24.21,0.88,1006.9,1.79,2.08,238,0.43,9,15.957,260.7
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3926,0.07,rain,25.75,27.85,25.75,1.0,1005.8,1.68,1.93,237,0.69,6,12.268,260.8
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5657,0.08,rain,24.44,25.92,24.44,1.0,1005.2,1.53,1.75,230,0.85,4,11.337,261.1
4,2020-09-05 16:00:00,Humid and Overcast,cloudy,0.6724,0.09,rain,23.05,24.96,23.05,1.0,1005.0,1.3,1.6,228,0.88,3,14.248,261.9
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.7236,0.12,rain,21.9,24.09,21.9,1.0,1005.0,1.04,1.43,249,0.87,1,16.093,262.9
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.6521,0.14,rain,20.78,23.0,20.78,1.0,1005.4,0.83,1.28,216,0.82,0,16.093,263.5
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.4341,0.12,rain,19.9,21.97,19.9,1.0,1006.4,0.68,1.13,152,0.74,0,16.093,263.6
8,2020-09-05 20:00:00,Mostly Cloudy,partly-cloudy-night,0.2424,0.09,rain,19.11,20.97,19.11,1.0,1007.4,0.58,0.99,62,0.63,0,16.093,263.5
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.1616,0.07,rain,18.52,20.12,18.52,1.0,1008.2,0.54,0.95,27,0.54,0,16.093,263.5
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.1234,0.06,rain,18.09,19.42,18.09,1.0,1008.6,0.58,0.97,25,0.48,0,16.093,263.6
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.0944,0.05,rain,17.72,18.81,17.72,1.0,1008.9,0.67,1.03,35,0.42,0,16.093,263.5
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0672,0.04,rain,17.39,18.3,17.39,1.0,1009.0,0.75,1.12,42,0.34,0,16.093,263.0
13,2020-09-06 01:00:00,Clear,clear-night,0.0311,0.03,rain,17.18,17.96,17.18,1.0,1008.7,0.79,1.21,45,0.21,0,16.093,261.9
14,2020-09-06 02:00:00,Clear,clear-night,0.0063,0.02,rain,17.06,17.71,17.06,1.0,1007.9,0.84,1.31,47,0.07,0,16.093,260.7
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,17.07,17.58,17.07,1.0,1007.4,0.9,1.41,48,0.0,0,16.093,259.9
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,16.69,17.05,16.69,1.0,1007.3,1.0,1.52,46,0.0,0,16.093,259.7
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,16.16,16.4,15.91,0.98,1007.3,1.09,1.61,46,0.0,0,16.093,259.8
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,,16.01,16.22,15.65,0.98,1007.5,1.1,1.57,66,0.0,0,16.093,260.3
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,17.13,17.4,16.46,0.96,1008.0,0.99,1.33,111,0.0,0,16.093,261.5
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,19.23,19.63,18.08,0.93,1008.7,0.87,1.05,172,0.0,2,16.093,262.9
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,,21.47,21.99,19.57,0.89,1008.7,0.91,1.01,228,0.0,5,16.093,263.1
22,2020-09-06 10:00:00,Clear,clear-day,0.0125,0.02,rain,23.38,23.97,20.72,0.85,1008.3,1.19,1.33,227,0.01,8,16.093,261.9
23,2020-09-06 11:00:00,Clear,clear-day,0.0471,0.03,rain,25.24,26.08,21.44,0.8,1007.8,1.55,1.76,229,0.02,11,16.093,260.2
24,2020-09-06 12:00:00,Humid,clear-day,0.1222,0.05,rain,26.32,28.31,22.52,0.8,1006.6,1.74,2.01,232,0.12,11,16.093,259.2
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2808,0.06,rain,26.47,28.98,24.13,0.87,1005.7,1.73,2.07,233,0.34,10,15.728,259.0
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.533,0.08,rain,25.65,27.7,25.65,1.0,1004.7,1.64,2.05,231,0.61,7,12.568,259.1
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7601,0.09,rain,24.22,25.77,24.22,1.0,1004.3,1.48,1.95,229,0.78,5,11.032,259.0
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9189,0.12,rain,22.87,24.9,22.87,1.0,1004.4,1.24,1.73,230,0.85,3,11.632,258.6
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,1.0902,0.16,rain,21.75,24.13,21.75,1.0,1004.7,0.95,1.45,227,0.86,1,13.22,258.2
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,1.2006,0.19,rain,20.65,23.03,20.65,1.0,1005.5,0.73,1.21,203,0.8,0,14.795,258.2
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,1.157,0.17,rain,19.69,21.9,19.69,1.0,1006.7,0.6,1.0,147,0.67,0,16.093,259.0
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,1.0001,0.16,rain,18.8,20.75,18.8,1.0,1008.0,0.53,0.83,87,0.5,0,16.093,259.9
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.7454,0.13,rain,18.17,19.87,18.17,1.0,1008.9,0.54,0.81,50,0.39,0,16.093,260.3
