,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.2294,0.09,rain,33.83,41.09,24.55,0.58,1005.9,1.95,2.12,224,0.02,11,16.093,270.1
1,2020-09-05 13:00:00,Humid,clear-day,0.1123,0.08,rain,34.49,42.45,24.87,0.57,1005.0,2.2,2.35,222,0.05,10,16.093,270.5
2,2020-09-05 14:00:00,Humid,clear-day,0.0128,0.05,rain,34.9,43.43,25.17,0.57,1004.2,2.43,2.56,263,0.1,8,16.093,271.0
3,2020-09-05 15:00:00,Humid,clear-day,0.0,0.0,,34.91,43.97,25.5,0.58,1003.7,2.53,2.74,250,0.16,5,16.093,271.1
4,2020-09-05 16:00:00,Humid,clear-day,0.0,0.0,,34.46,44.1,25.95,0.61,1003.0,2.45,3.07,269,0.25,3,16.093,270.5
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,33.52,43.52,26.39,0.66,1002.6,2.27,3.44,258,0.33,1,16.093,269.9
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,32.19,41.79,26.53,0.72,1002.4,2.07,3.44,252,0.34,0,16.093,269.4
7,2020-09-05 19:00:00,Humid,clear-night,0.0,0.0,,30.76,39.17,26.32,0.77,1003.1,1.86,2.89,198,0.23,0,16.093,269.2
8,2020-09-05 20:00:00,Humid,clear-night,0.0,0.0,,29.33,36.07,25.86,0.82,1004.1,1.62,2.14,39,0.09,0,16.093,269.0
9,2020-09-05 21:00:00,Humid,clear-night,0.0,0.0,,28.37,33.86,25.49,0.84,1004.7,1.4,1.55,353,0.0,0,16.093,268.7
10,2020-09-05 22:00:00,Humid,clear-night,0.0,0.0,,27.81,32.49,25.17,0.86,1004.9,1.18,1.23,13,0.0,0,16.093,268.0
11,2020-09-05 23:00:00,Humid,clear-night,0.0,0.0,,27.47,31.68,24.96,0.86,1004.9,1.03,1.09,50,0.01,0,16.093,267.2
12,2020-09-06 00:00:00,Humid,clear-night,0.0,0.0,,27.23,31.16,24.85,0.87,1004.7,1.04,1.09,57,0.07,0,16.093,266.6
13,2020-09-06 01:00:00,Humid,clear-night,0.0,0.0,,27.01,30.61,24.68,0.87,1004.5,1.27,1.3,46,0.22,0,16.093,266.4
14,2020-09-06 02:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,26.79,30.04,24.5,0.87,1004.2,1.59,1.6,29,0.41,0,16.093,266.4
15,2020-09-06 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0208,0.02,rain,26.44,29.08,24.42,0.89,1003.9,1.81,1.81,18,0.51,0,16.093,266.3
16,2020-09-06 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1502,0.05,rain,25.81,27.59,24.45,0.92,1003.6,1.9,1.91,22,0.52,0,16.093,266.1
17,2020-09-06 05:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4488,0.09,rain,25.23,26.23,24.45,0.95,1003.8,1.94,2.05,34,0.48,0,16.093,266.0
18,2020-09-06 06:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6611,0.11,rain,24.96,26.0,24.33,0.96,1004.2,1.97,2.14,43,0.47,0,16.093,266.2
19,2020-09-06 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5918,0.11,rain,25.45,26.79,24.65,0.95,1004.9,2.04,2.17,47,0.51,0,16.093,266.8
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.467,0.08,rain,26.54,29.48,24.8,0.9,1005.7,2.06,2.16,52,0.55,2,12.046,267.5
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4022,0.09,rain,27.82,32.43,25.04,0.85,1006.1,1.97,2.14,59,0.54,4,10.335,267.4
22,2020-09-06 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3676,0.1,rain,28.89,34.39,25.06,0.8,1006.0,1.65,2.13,65,0.45,6,14.576,266.7
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3552,0.11,rain,29.93,36.02,24.94,0.75,1005.6,1.27,2.24,44,0.34,8,16.093,265.7
24,2020-09-06 12:00:00,Humid,clear-day,0.2929,0.11,rain,30.84,37.44,24.94,0.71,1005.1,1.11,2.4,350,0.3,9,16.093,265.0
