,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.2466,0.1,rain,33.85,41.18,24.6,0.59,1006.0,2.0,2.16,225,0.02,11,16.093,270.1
1,2020-09-05 13:00:00,Humid,clear-day,0.1273,0.09,rain,34.53,42.53,24.9,0.57,1005.0,2.24,2.38,225,0.04,10,16.093,270.5
2,2020-09-05 14:00:00,Humid,clear-day,0.025,0.05,rain,34.96,43.52,25.17,0.57,1004.1,2.45,2.55,263,0.08,8,16.093,271.0
3,2020-09-05 15:00:00,Humid,clear-day,0.0,0.0,,34.98,44.08,25.51,0.58,1003.3,2.54,2.74,248,0.13,5,16.093,271.1
4,2020-09-05 16:00:00,Humid,clear-day,0.0,0.0,,34.5,44.19,25.97,0.61,1002.7,2.47,3.11,265,0.23,3,16.093,270.6
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,33.53,43.62,26.44,0.67,1002.3,2.29,3.53,264,0.32,1,16.093,270.0
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,32.2,42.0,26.65,0.73,1002.3,2.1,3.54,253,0.33,0,16.093,269.5
7,2020-09-05 19:00:00,Humid,clear-night,0.0,0.0,,30.77,39.41,26.46,0.78,1003.2,1.89,2.96,200,0.23,0,16.093,269.3
8,2020-09-05 20:00:00,Humid,clear-night,0.0,0.0,,29.35,36.24,25.98,0.82,1004.1,1.66,2.17,38,0.08,0,16.093,269.1
9,2020-09-05 21:00:00,Humid,clear-night,0.0,0.0,,28.39,33.99,25.59,0.85,1004.7,1.44,1.55,356,0.0,0,16.093,268.7
10,2020-09-05 22:00:00,Humid,clear-night,0.0,0.0,,27.83,32.61,25.26,0.86,1004.9,1.22,1.22,13,0.0,0,16.093,268.0
11,2020-09-05 23:00:00,Humid,clear-night,0.0,0.0,,27.46,31.69,24.99,0.86,1004.9,1.05,1.06,48,0.01,0,16.093,267.1
12,2020-09-06 00:00:00,Humid,clear-night,0.0,0.0,,27.2,31.09,24.84,0.87,1004.7,1.07,1.07,55,0.07,0,16.093,266.5
13,2020-09-06 01:00:00,Humid,clear-night,0.0,0.0,,26.96,30.47,24.62,0.87,1004.5,1.31,1.32,45,0.22,0,16.093,266.3
14,2020-09-06 02:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,26.72,29.85,24.42,0.87,1004.2,1.64,1.65,29,0.39,0,16.093,266.4
15,2020-09-06 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0256,0.02,rain,26.38,28.93,24.35,0.89,1003.9,1.86,1.87,19,0.49,0,16.093,266.3
16,2020-09-06 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1751,0.06,rain,25.77,27.49,24.36,0.92,1003.7,1.94,1.96,23,0.49,0,16.093,266.2
17,2020-09-06 05:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.5115,0.1,rain,25.17,26.16,24.34,0.95,1003.9,1.97,2.08,35,0.46,0,16.093,266.0
18,2020-09-06 06:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7421,0.12,rain,24.92,25.94,24.24,0.96,1004.2,1.99,2.15,43,0.45,0,16.093,266.2
19,2020-09-06 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6469,0.11,rain,25.38,26.68,24.52,0.95,1005.0,2.02,2.15,46,0.5,0,16.093,266.8
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.488,0.09,rain,26.47,29.26,24.69,0.9,1005.8,2.03,2.11,50,0.55,2,12.218,267.4
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4078,0.09,rain,27.73,32.18,24.95,0.85,1006.2,1.91,2.07,57,0.54,4,10.5,267.4
22,2020-09-06 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.374,0.1,rain,28.79,34.19,25.02,0.8,1006.0,1.59,2.06,63,0.45,6,14.606,266.6
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3688,0.11,rain,29.86,35.96,24.98,0.75,1005.7,1.21,2.19,42,0.34,8,16.093,265.6
24,2020-09-06 12:00:00,Humid,clear-day,0.311,0.12,rain,30.81,37.5,25.03,0.71,1005.1,1.06,2.38,344,0.3,9,16.093,264.9
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1383,0.09,rain,31.81,39.33,25.3,0.69,1004.4,1.24,2.63,309,0.37,9,16.093,264.8
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.022,0.06,rain,32.7,41.13,25.65,0.67,1003.6,1.52,2.84,287,0.46,7,16.093,264.8
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0143,0.05,rain,33.15,42.29,25.97,0.66,1003.0,1.63,2.76,263,0.51,5,16.093,264.9
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0331,0.06,rain,33.19,42.96,26.34,0.67,1002.7,1.53,2.26,260,0.51,3,16.093,265.1
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0865,0.08,rain,32.75,42.82,26.64,0.7,1002.4,1.37,1.66,331,0.49,1,16.093,265.5
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1153,0.08,rain,31.67,41.26,26.7,0.75,1002.7,1.24,1.39,312,0.43,0,16.093,265.7
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.061,0.08,rain,30.22,38.44,26.45,0.8,1003.5,1.14,1.38,331,0.32,0,16.093,265.6
32,2020-09-06 20:00:00,Humid,clear-night,0.015,0.05,rain,28.76,35.14,25.98,0.85,1004.7,1.09,1.46,5,0.19,0,16.093,265.4
33,2020-09-06 21:00:00,Humid,clear-night,0.0052,0.01,rain,27.67,32.7,25.6,0.89,1005.8,1.27,1.68,30,0.11,0,16.093,265.1
34,2020-09-06 22:00:00,Humid,clear-night,0.0053,0.01,rain,27.08,31.44,25.4,0.91,1006.0,1.76,2.0,46,0.07,0,16.093,264.5
35,2020-09-06 23:00:00,Humid,clear-night,0.0152,0.05,rain,26.74,30.54,25.28,0.92,1005.7,2.32,2.41,62,0.06,0,16.093,263.8
36,2020-09-07 00:00:00,Humid,clear-night,0.0257,0.05,rain,26.38,29.22,25.32,0.94,1005.5,2.6,2.61,73,0.07,0,16.093,263.5
37,2020-09-07 01:00:00,Humid,clear-night,0.0216,0.05,rain,25.9,27.98,25.31,0.97,1005.4,2.47,2.49,78,0.11,0,16.093,263.6
38,2020-09-07 02:00:00,Humid,clear-night,0.0142,0.04,rain,25.56,27.05,25.21,0.98,1005.2,2.18,2.21,80,0.17,0,16.093,264.0
39,2020-09-07 03:00:00,Humid,clear-night,0.0111,0.03,rain,25.25,26.41,25.25,1.0,1005.2,1.96,1.99,82,0.24,0,16.093,264.2
40,2020-09-07 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0141,0.04,rain,25.04,26.23,25.04,1.0,1005.1,1.81,1.85,84,0.34,0,16.093,264.4
