,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.1191,0.04,rain,27.19,31.47,25.2,0.89,1008.1,1.38,1.73,266,0.3,10,16.093,264.3
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3641,0.06,rain,26.84,31.08,25.78,0.94,1007.2,1.46,1.97,284,0.33,9,16.093,264.1
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7765,0.08,rain,25.88,28.0,25.88,1.0,1006.1,1.47,2.11,206,0.37,8,16.093,264.2
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0368,0.09,rain,25.09,25.19,25.09,1.0,1005.5,1.39,2.13,243,0.39,5,16.093,264.5
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9232,0.11,rain,24.94,25.28,24.94,1.0,1005.1,1.19,1.97,242,0.37,3,15.848,265.1
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6792,0.12,rain,24.66,26.6,24.66,1.0,1004.9,0.93,1.72,226,0.33,1,12.217,265.9
6,2020-09-05 18:00:00,Humid,clear-day,0.4954,0.12,rain,24.18,25.92,24.18,1.0,1005.1,0.7,1.44,201,0.28,0,11.719,266.2
7,2020-09-05 19:00:00,Humid,clear-night,0.3693,0.11,rain,23.4,25.06,23.4,1.0,1005.8,0.54,1.09,165,0.2,0,15.729,266.0
8,2020-09-05 20:00:00,Humid,clear-night,0.2677,0.09,rain,22.49,24.03,22.49,1.0,1006.8,0.42,0.74,124,0.11,0,16.093,265.7
9,2020-09-05 21:00:00,Clear,clear-night,0.1873,0.08,rain,21.77,23.24,21.77,1.0,1007.4,0.38,0.57,96,0.06,0,16.093,265.5
10,2020-09-05 22:00:00,Clear,clear-night,0.1301,0.07,rain,21.32,22.74,21.32,1.0,1007.6,0.44,0.65,77,0.06,0,16.093,265.7
11,2020-09-05 23:00:00,Clear,clear-night,0.1408,0.06,rain,20.9,22.19,20.9,1.0,1007.6,0.53,0.83,62,0.07,0,16.093,265.8
12,2020-09-06 00:00:00,Clear,clear-night,0.1513,0.06,rain,20.69,21.88,20.69,1.0,1007.6,0.58,0.96,55,0.09,0,16.093,265.6
13,2020-09-06 01:00:00,Clear,clear-night,0.0797,0.04,rain,20.57,21.69,20.57,1.0,1007.7,0.55,1.01,55,0.12,0,16.093,264.6
14,2020-09-06 02:00:00,Clear,clear-night,0.0161,0.03,rain,20.42,21.49,20.42,1.0,1007.5,0.5,1.05,61,0.16,0,16.093,263.5
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,19.95,20.92,19.95,1.0,1006.6,0.52,1.11,66,0.19,0,16.093,262.9
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,19.07,19.9,19.07,1.0,1006.5,0.65,1.25,69,0.21,0,16.093,262.8
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,18.4,19.15,18.4,1.0,1006.7,0.79,1.37,75,0.22,0,16.093,263.1
18,2020-09-06 06:00:00,Clear,clear-night,0.0062,0.02,rain,18.29,19.05,18.29,1.0,1007.0,0.81,1.3,90,0.22,0,16.093,263.7
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,19.21,20.01,19.21,1.0,1007.4,0.65,0.94,120,0.22,0,16.093,264.6
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,21.39,22.24,21.39,1.0,1008.1,0.45,0.53,255,0.22,2,16.093,265.6
21,2020-09-06 09:00:00,Humid,clear-day,0.0,0.0,,23.4,24.27,22.77,0.96,1008.3,0.44,0.45,242,0.21,4,16.093,265.7
22,2020-09-06 10:00:00,Humid,clear-day,0.0241,0.02,rain,25.19,26.39,23.5,0.9,1008.2,0.71,0.82,119,0.18,7,16.093,264.6
23,2020-09-06 11:00:00,Humid,clear-day,0.0707,0.03,rain,26.75,29.66,24.19,0.86,1007.5,1.07,1.36,320,0.16,10,16.093,263.1
24,2020-09-06 12:00:00,Humid,clear-day,0.1498,0.04,rain,27.64,32.05,25.01,0.86,1006.5,1.33,1.78,266,0.19,11,16.093,262.1
25,2020-09-06 13:00:00,Humid,clear-day,0.3048,0.06,rain,27.31,31.89,25.62,0.91,1005.7,1.46,2.04,283,0.31,10,16.093,261.9
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.586,0.08,rain,26.4,29.61,26.23,0.99,1004.8,1.53,2.22,189,0.45,7,14.488,261.9
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8724,0.1,rain,25.54,26.99,25.54,1.0,1004.4,1.49,2.29,233,0.53,5,10.66,261.7
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.135,0.13,rain,25.27,25.86,25.27,1.0,1004.3,1.34,2.24,241,0.57,3,7.416,261.1
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.503,0.17,rain,24.69,24.99,24.69,1.0,1004.5,1.13,2.11,235,0.56,1,5.218,260.7
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.8464,0.2,rain,23.98,25.89,23.98,1.0,1005.0,0.95,1.93,216,0.48,0,6.408,260.8
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,2.0285,0.2,rain,23.15,24.81,23.15,1.0,1006.1,0.81,1.66,179,0.32,0,12.422,261.5
32,2020-09-06 20:00:00,Clear,clear-night,2.0035,0.2,rain,22.19,23.69,22.19,1.0,1007.3,0.71,1.38,134,0.12,0,16.093,262.4
33,2020-09-06 21:00:00,Clear,clear-night,1.6008,0.18,rain,21.43,22.81,21.43,1.0,1008.1,0.65,1.21,102,0.01,0,16.093,262.8
34,2020-09-06 22:00:00,Clear,clear-night,0.8365,0.14,rain,20.97,22.29,20.97,1.0,1008.4,0.63,1.15,88,0.01,0,16.093,262.3
